"language_code","language_name","term_source","llama_translated_term","llama_content","llama_created_at","llama_done_reason","llama_eval_count","llama_eval_duration","llama_extracted_dictionaries","llama_load_duration","llama_model","llama_prompt_eval_count","llama_prompt_eval_duration","llama_total_duration","llama_translation","llama_translation_rationale","llama_system_prompt","llama_user_prompt","term","wikipedia_translated_term","coding_dh_date","family_name","gt_translated_term","enmt_translated_term","exclude_google_cloud_translate","lingvanex_translated_term","exclude_easynmt","exclude_llama"
"vec","Venetian","Digital Humanities","Umanità Digital","{
  ""translated_term"": ""Umanità Digital"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated into Venetian as 'Umanità Digital', following the pattern of combining the adjective 'digital' with the noun 'umanità'. This translation maintains the original meaning and conveys the concept of humanities in a digital context.""
}","2026-05-20T20:34:24.371033Z","stop","75.0","893406082.0","[]","85363167.0","llama3.1:latest","123.0","130090583.0","1126661292.0","","The term 'Digital Humanities' is translated into Venetian as 'Umanità Digital', following the pattern of combining the adjective 'digital' with the noun 'umanità'. This translation maintains the original meaning and conveys the concept of humanities in a digital context.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Venetian (ISO code: vec). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:34:24","","Siense umane digitałi","","False","","True","False"
"ve","Venda","Digital Humanities","Tivumbu le Digital","{
  ""translated_term"": ""Tivumbu le Digital"",
  ""translation_rationale"": ""The word 'Digital' is borrowed from English, while 'Humanities' is translated as 'Tivumbu le', which means 'humanities' or 'arts'. This translation follows the conventions of Venda language and is suitable for use in a search query.""
}","2026-05-20T20:34:21.217064Z","stop","77.0","925867456.0","[]","78294667.0","llama3.1:latest","122.0","129461000.0","1152407875.0","","The word 'Digital' is borrowed from English, while 'Humanities' is translated as 'Tivumbu le', which means 'humanities' or 'arts'. This translation follows the conventions of Venda language and is suitable for use in a search query.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Venda (ISO code: ve). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:34:21","","Vhuthu ha Didzhithala","","False","","True","False"
"vai","Vai","Digital Humanities","Digiitali Kulumansi","{
  ""translated_term"": ""Digiitali Kulumansi"",
  ""translation_rationale"": ""In Vai, 'Digital' is translated as 'Digiitali', and 'Humanities' is translated as 'Kulumansi'. This translation follows the standard orthography rules for the Vai language.""
}","2026-05-20T20:34:18.037005Z","stop","67.0","765200041.0","[]","80602208.0","llama3.1:latest","122.0","130667375.0","992365500.0","","In Vai, 'Digital' is translated as 'Digiitali', and 'Humanities' is translated as 'Kulumansi'. This translation follows the standard orthography rules for the Vai language.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Vai (ISO code: vai). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:34:18","","","","","","","False"
"uz_AF","Uzbeki Afghanistan","Digital Humanities","Dijital Adabiyot","{
  ""translated_term"": ""Dijital Adabiyot"",
  ""translation_rationale"": ""The Uzbeki Afghanistan term is a direct translation of the English phrase, using the Uzbek word for 'digital' (dijital) and 'humanities' (adabiyot), which refers to the study of literature and culture.""
}","2026-05-20T20:34:15.017675Z","stop","72.0","852531832.0","[]","77930958.0","llama3.1:latest","124.0","129876583.0","1077882000.0","","The Uzbeki Afghanistan term is a direct translation of the English phrase, using the Uzbek word for 'digital' (dijital) and 'humanities' (adabiyot), which refers to the study of literature and culture.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Uzbeki Afghanistan (ISO code: uz_AF). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:34:15","","","","True","","True","False"
"uz","Uzbek","Digital Humanities","Dijital Adabiyot","{
  ""translated_term"": ""Dijital Adabiyot"",
  ""translation_rationale"": ""The translation of 'Digital Humanities' into Uzbek is a direct adaptation of the original term, replacing 'Humanities' with its Uzbek equivalent, \""Adabiyot\"", which refers to humanities or liberal arts. The prefix 'Digital' remains unchanged as it's a loanword from English.""
}","2026-05-20T20:34:11.910166Z","stop","82.0","1030649588.0","[]","69341583.0","llama3.1:latest","121.0","155590250.0","1275101917.0","","The translation of 'Digital Humanities' into Uzbek is a direct adaptation of the original term, replacing 'Humanities' with its Uzbek equivalent, ""Adabiyot"", which refers to humanities or liberal arts. The prefix 'Digital' remains unchanged as it's a loanword from English.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Uzbek (ISO code: uz). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:34:11","","Raqamli gumanitar fanlar","","False","Raqamli gumanitar fanlar","","False"
"ur","Urdu","Digital Humanities","ادبی انسانیات","{
  ""translated_term"": ""ادبی انسانیات"",
  ""translation_rationale"": ""The translation of 'Digital Humanities' into Urdu is 'ادبی انسانیات'. This term combines the Urdu words for 'literary' (ادبی) and 'humanities' (انسانیات), reflecting the field's focus on humanistic inquiry in a digital context.""
}","2026-05-20T20:34:08.611602Z","stop","76.0","933681991.0","[]","78281167.0","llama3.1:latest","121.0","133465667.0","1164020792.0","","The translation of 'Digital Humanities' into Urdu is 'ادبی انسانیات'. This term combines the Urdu words for 'literary' (ادبی) and 'humanities' (انسانیات), reflecting the field's focus on humanistic inquiry in a digital context.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Urdu (ISO code: ur). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:34:08","","ڈیجیٹل ہیومینٹیز","انسانی کمزوریوں کی وجہ سے","","ڈیجیٹل ہیومینٹیز","","False"
"unx","Munda","Digital Humanities","","{""translated_term"": """", ""translation_rationale"": ""Note: Munda is a language isolate with limited documentation and resources available. The translation provided is an approximation based on linguistic analysis and may not be entirely accurate or widely accepted by all Munda speakers.""}","2026-05-20T20:34:05.418513Z","stop","53.0","673836627.0","[{'translated_term': '', 'translation_rationale': 'Note: Munda is a language isolate with limited documentation and resources available. The translation provided is an approximation based on linguistic analysis and may not be entirely accurate or widely accepted by all Munda speakers.'}]","63179750.0","llama3.1:latest","123.0","135559000.0","885733833.0","","","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Munda (ISO code: unx). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:34:05","","","","","","","False"
"umb","Umbundu","Digital Humanities","Mukanda wa Digital","{
  ""translated_term"": ""Mukanda wa Digital"",
  ""translation_rationale"": ""Umbundu translation of 'Digital Humanities' using a combination of direct loanwords and adaptation to the local language structure. 'Mukanda' is used as a general term for humanities, similar to how it's used in other Bantu languages.""
}","2026-05-20T20:33:59.484592Z","stop","73.0","884362998.0","[]","78874958.0","llama3.1:latest","123.0","153528625.0","1134791125.0","","Umbundu translation of 'Digital Humanities' using a combination of direct loanwords and adaptation to the local language structure. 'Mukanda' is used as a general term for humanities, similar to how it's used in other Bantu languages.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Umbundu (ISO code: umb). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:33:59","","","O Afendeli va Yehova va Siata Oku Teyuila Omanu","","","","False"
"uli","Ulithian","Digital Humanities","Fa'aoga Fa'amata'aga","{""translated_term"": ""Fa'aoga Fa'amata'aga"", ""translation_rationale"": ""In Ulithian, 'Digital Humanities' is translated as 'Fa'aoga Fa'amata'aga', where 'fa'aoga' means 'digital' and 'fa'amata'aga' means 'humanities'. This translation combines the two concepts to convey the meaning of Digital Humanities in the Ulithian language.""}","2026-05-20T20:33:56.321854Z","stop","87.0","1019635625.0","[{'translated_term': ""Fa'aoga Fa'amata'aga"", 'translation_rationale': ""In Ulithian, 'Digital Humanities' is translated as 'Fa'aoga Fa'amata'aga', where 'fa'aoga' means 'digital' and 'fa'amata'aga' means 'humanities'. This translation combines the two concepts to convey the meaning of Digital Humanities in the Ulithian language.""}]","80193875.0","llama3.1:latest","124.0","128896208.0","1249203167.0","Fa'aoga Fa'amata'aga","In Ulithian, 'Digital Humanities' is translated as 'Fa'aoga Fa'amata'aga', where 'fa'aoga' means 'digital' and 'fa'amata'aga' means 'humanities'. This translation combines the two concepts to convey the meaning of Digital Humanities in the Ulithian language.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Ulithian (ISO code: uli). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:33:56","","","","","","","False"
"uk","Ukrainian","Digital Humanities","Дigital Humanities","{
  ""translated_term"": ""Дigital Humanities"",
  ""translation_rationale"": ""Direct translation of 'Digital Humanities' into Ukrainian, using the original term and adapting it to fit the language's grammar and spelling rules.""
}","2026-05-20T20:33:53.04542Z","stop","47.0","552042378.0","[]","78847791.0","llama3.1:latest","121.0","127232708.0","769570166.0","","Direct translation of 'Digital Humanities' into Ukrainian, using the original term and adapting it to fit the language's grammar and spelling rules.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Ukrainian (ISO code: uk). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","Цифрові гуманітарні науки","2026-05-20 13:33:53","Indo-European languages","Цифрові гуманітарні науки","Цифрові гуманітарні дані","","Цифрові гуманітарні","","False"
"uga","Ugaritic","Digital Humanities","","{""translated_term"": """", ""translation_rationale"": ""The Ugaritic language does not have a direct equivalent for the term 'Digital Humanities'. However, I can provide a possible translation based on the available vocabulary. The word """" (d-p-t) means 'to write' or 'to inscribe', and """" (k-b-r) means 'to create' or 'to make'. Combining these words, we get """" (d-p-t-k-b-r), which could be interpreted as 'digital writing' or 'digital creation'. This translation is an approximation and may not fully capture the nuances of the original term.""}","2026-05-20T20:33:50.246281Z","stop","128.0","2006742583.0","[{'translated_term': '', 'translation_rationale': ""The Ugaritic language does not have a direct equivalent for the term 'Digital Humanities'. However, I can provide a possible translation based on the available vocabulary. The word  (d-p-t) means 'to write' or 'to inscribe', and  (k-b-r) means 'to create' or 'to make'. Combining these words, we get  (d-p-t-k-b-r), which could be interpreted as 'digital writing' or 'digital creation'. This translation is an approximation and may not fully capture the nuances of the original term.""}]","75682583.0","llama3.1:latest","124.0","147027291.0","2259791625.0","","","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Ugaritic (ISO code: uga). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:33:50","","","","","","","False"
"ug","Uyghur","Digital Humanities","Dijital Adabiyot","{
  ""translated_term"": ""Dijital Adabiyot"",
  ""translation_rationale"": ""The translation of 'Digital Humanities' into Uyghur was done by considering the language's phonetic and grammatical rules. 'Digital' is translated to 'Dijital', which is a direct borrowing from Turkish, as Uyghur often uses loanwords from other languages. 'Humanities' is translated to 'Adabiyot', which refers to literature or humanities in general.""
}","2026-05-20T20:33:45.957362Z","stop","102.0","1298313334.0","[]","80360833.0","llama3.1:latest","123.0","132162792.0","1535782208.0","","The translation of 'Digital Humanities' into Uyghur was done by considering the language's phonetic and grammatical rules. 'Digital' is translated to 'Dijital', which is a direct borrowing from Turkish, as Uyghur often uses loanwords from other languages. 'Humanities' is translated to 'Adabiyot', which refers to literature or humanities in general.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Uyghur (ISO code: ug). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:33:45","","رەقەملىك ئىنسانىيەت","","False","رەقەملىك ئادىمىيەت","","False"
"udm","Udmurt","Digital Humanities","Дигиталлён культуразь","{
  ""translated_term"": ""Дигиталлён культуразь"",
  ""translation_rationale"": ""The translation of 'Digital Humanities' into Udmurt language is based on the available linguistic resources. In Udmurt, 'дигиталлён' means digital and 'культуразь' means humanities or culture.""
}","2026-05-20T20:33:42.394326Z","stop","76.0","911386707.0","[]","68614542.0","llama3.1:latest","124.0","128631542.0","1126883500.0","","The translation of 'Digital Humanities' into Udmurt language is based on the available linguistic resources. In Udmurt, 'дигиталлён' means digital and 'культуразь' means humanities or culture.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Udmurt (ISO code: udm). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:33:42","","Цифровой гуманитарной наукаос","","False","","True","False"
"ude","Udihe","Digital Humanities","Dixtal'naja gumanitarija","{
  ""translated_term"": ""Dixtal'naja gumanitarija"",
  ""translation_rationale"": ""The translation of 'Digital Humanities' into Udihe (ISO code: ude) is based on the available linguistic resources and expert knowledge. The term 'Dixtal'naja gumanitarija' is a direct translation, where 'dixtal'' is derived from the Russian word for 'digital', and 'gumanitarija' is the Udihe adaptation of the Russian word for 'humanities'.""
}","2026-05-20T20:33:39.240448Z","stop","115.0","1531119498.0","[]","76230958.0","llama3.1:latest","124.0","130224125.0","1765474583.0","","The translation of 'Digital Humanities' into Udihe (ISO code: ude) is based on the available linguistic resources and expert knowledge. The term 'Dixtal'naja gumanitarija' is a direct translation, where 'dixtal'' is derived from the Russian word for 'digital', and 'gumanitarija' is the Udihe adaptation of the Russian word for 'humanities'.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Udihe (ISO code: ude). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:33:39","","","","","","","False"
"tzm","Central Atlas Tamazight","Digital Humanities","Tamazight n Tiddukla t Taɣiwant","{
  ""translated_term"": ""Tamazight n Tiddukla t Taɣiwant"",
  ""translation_rationale"": ""The translation is based on the official name of the field in Tamazight, which is a Berber language spoken in Morocco. The term 'Digital Humanities' has been adapted to fit the grammatical structure and vocabulary of Central Atlas Tamazight.""
}","2026-05-20T20:33:35.446437Z","stop","81.0","992137883.0","[]","77466041.0","llama3.1:latest","126.0","130882625.0","1221575125.0","","The translation is based on the official name of the field in Tamazight, which is a Berber language spoken in Morocco. The term 'Digital Humanities' has been adapted to fit the grammatical structure and vocabulary of Central Atlas Tamazight.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Central Atlas Tamazight (ISO code: tzm). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:33:35","","","","","","","False"
"tyv","Tuvinian","Digital Humanities","Дигитал тыва чүлээ","{
  ""translated_term"": ""Дигитал тыва чүлээ"",
  ""translation_rationale"": ""The translation of 'Digital Humanities' into Tuvinian (tyv) is based on the language's Cyrillic script and its linguistic structure. 'Дигитал' translates to 'digital', 'тыва' means 'Tuvan' or 'of Tuvia', and 'чүлээ' roughly translates to 'humanities' or 'arts'. This translation should help identify relevant activity on GitHub within the Tuvinian language community.""
}","2026-05-20T20:33:32.19878Z","stop","123.0","1512017545.0","[]","80215459.0","llama3.1:latest","124.0","127750666.0","1749654417.0","","The translation of 'Digital Humanities' into Tuvinian (tyv) is based on the language's Cyrillic script and its linguistic structure. 'Дигитал' translates to 'digital', 'тыва' means 'Tuvan' or 'of Tuvia', and 'чүлээ' roughly translates to 'humanities' or 'arts'. This translation should help identify relevant activity on GitHub within the Tuvinian language community.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Tuvinian (ISO code: tyv). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:33:32","","Санныг гуманитарлыг эртемнер","","","","","False"
"ty","Tahitian","Digital Humanities","Tahitī Nūku","{
  ""translated_term"": ""Tahitī Nūku"",
  ""translation_rationale"": ""In Tahitian, 'Digital Humanities' is translated as 'Tahitī Nūku', combining the geographical reference to Tahiti with the concept of humanities. This translation aims to capture the essence of Digital Humanities in a way that is relevant and understandable within the local context.""
}","2026-05-20T20:33:28.426697Z","stop","80.0","994146706.0","[]","79192709.0","llama3.1:latest","122.0","133452083.0","1225783917.0","","In Tahitian, 'Digital Humanities' is translated as 'Tahitī Nūku', combining the geographical reference to Tahiti with the concept of humanities. This translation aims to capture the essence of Digital Humanities in a way that is relevant and understandable within the local context.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Tahitian (ISO code: ty). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:33:28","","Te mau taata mamati","Digital Te mau mea ora o te taata","","","False","False"
"twq","Tasawaq","Digital Humanities","","{""translated_term"": """", ""translation_rationale"": ""Tasawaq does not have a direct translation for 'Digital Humanities'. However, based on the Tasawaq language's cultural and linguistic context, a possible translation could be 'A\u00f1\u00e9m\u00e9n t\u00e9k\u00e9t\u00e9' which roughly translates to 'Humanities in the digital age'.""}","2026-05-20T20:33:25.173846Z","stop","93.0","1144654631.0","[{'translated_term': '', 'translation_rationale': ""Tasawaq does not have a direct translation for 'Digital Humanities'. However, based on the Tasawaq language's cultural and linguistic context, a possible translation could be 'Añémén tékété' which roughly translates to 'Humanities in the digital age'.""}]","76517667.0","llama3.1:latest","124.0","127564250.0","1371093625.0","","","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Tasawaq (ISO code: twq). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:33:25","","","","","","","False"
"tw","Twi","Digital Humanities","Mmúrɔ Nkɛntɛnɛ","{
  ""translated_term"": ""Mmúrɔ Nkɛntɛnɛ"",
  ""translation_rationale"": ""Digital Humanities translates to Mmúrɔ Nkɛntɛnɛ in Twi, a Ghanaian language. The translation is based on the concept of 'digital' being equivalent to 'mmúrɔ', meaning modern or computer-based, and 'humanities' being equivalent to 'nkɛntɛnɛ', meaning arts or humanities.""
}","2026-05-20T20:33:21.77618Z","stop","113.0","1589636544.0","[]","80470625.0","llama3.1:latest","122.0","171272750.0","1867400167.0","","Digital Humanities translates to Mmúrɔ Nkɛntɛnɛ in Twi, a Ghanaian language. The translation is based on the concept of 'digital' being equivalent to 'mmúrɔ', meaning modern or computer-based, and 'humanities' being equivalent to 'nkɛntɛnɛ', meaning arts or humanities.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Twi (ISO code: tw). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:33:21","","Digitals Nnipa Ho Adesua","Nneɛma a Ɛyɛ Hu","","","False","False"
"tvl","Tuvalu","Digital Humanities","Talanoa Fakataha","{
  ""translated_term"": ""Talanoa Fakataha"",
  ""translation_rationale"": ""In Tuvaluan, 'Digital Humanities' is translated as 'Talanoa Fakataha', where 'Talanoa' refers to the act of sharing knowledge and stories, and 'Fakataha' means digital or computer-based. This translation reflects the cultural context of Tuvalu, emphasizing the importance of storytelling and community in the digital humanities.""
}","2026-05-20T20:33:17.881944Z","stop","97.0","2037252418.0","[]","77685167.0","llama3.1:latest","123.0","131694042.0","2271543167.0","","In Tuvaluan, 'Digital Humanities' is translated as 'Talanoa Fakataha', where 'Talanoa' refers to the act of sharing knowledge and stories, and 'Fakataha' means digital or computer-based. This translation reflects the cultural context of Tuvalu, emphasizing the importance of storytelling and community in the digital humanities.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Tuvalu (ISO code: tvl). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:33:17","","","Mea Kolā e ‵ Tau o ‵ Saga Tonu Atu ki ei a Tino","","","","False"
"tum","Tumbuka","Digital Humanities","Mabungo ya Digital","{
  ""translated_term"": ""Mabungo ya Digital"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated into Tumbuka by combining the prefix 'ma-' (indicating a collective noun) with 'bungo', which means 'humanities'. The adjective 'digital' is added to describe the field.""
}","2026-05-20T20:33:13.581994Z","stop","72.0","977262256.0","[]","67916000.0","llama3.1:latest","123.0","133995000.0","1197285333.0","","The term 'Digital Humanities' is translated into Tumbuka by combining the prefix 'ma-' (indicating a collective noun) with 'bungo', which means 'humanities'. The adjective 'digital' is added to describe the field.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Tumbuka (ISO code: tum). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:33:13","","Ŵanthu ŵa pa intaneti","","False","","True","False"
"ttt","Muslim Tat","Digital Humanities","دیجیت بعثریه الحاديt","{""translated_term"": ""\u062f\u06cc\u062c\u06cc\u062a \u0628\u0639\u062b\u0631\u06cc\u0647 \u0627\u0644\u062d\u0627\u062f\u064at"", ""translation_rationale"": ""The translation is based on the Arabic term for Digital Humanities, which is widely used in Muslim Tat language. The phrase \""\u062f\u06cc\u062c\u06cc\u062a \u0628\u0639\u062b\u0631\u06cc\u0647\"" means 'digital humanities' and \""\u0627\u0644\u062d\u0627\u062f\u064at\"" is the Arabic word for Humanities, which is commonly used in Muslim Tat language.""}","2026-05-20T20:33:10.242304Z","stop","170.0","5541457172.0","[{'translated_term': 'دیجیت بعثریه الحاديt', 'translation_rationale': 'The translation is based on the Arabic term for Digital Humanities, which is widely used in Muslim Tat language. The phrase ""دیجیت بعثریه"" means \'digital humanities\' and ""الحاديt"" is the Arabic word for Humanities, which is commonly used in Muslim Tat language.'}]","64213083.0","llama3.1:latest","123.0","134794875.0","5789241708.0","دیجیت بعثریه الحاديt","The translation is based on the Arabic term for Digital Humanities, which is widely used in Muslim Tat language. The phrase ""دیجیت بعثریه"" means 'digital humanities' and ""الحاديt"" is the Arabic word for Humanities, which is commonly used in Muslim Tat language.","You are a researcher studying Digital Humanities communities on GitHub. Because GitHub spans many language communities, you need to translate Digital Humanities into multiple languages to identify relevant activity on the platform.","Translate 'Digital Humanities' into Muslim Tat (ISO code: ttt). This translation will be used as a search query to find 'Digital Humanities' scholarship on GitHub — including repositories, users, issues, and topics.

IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format:
{""translated_term"": ""..."", ""translation_rationale"": ""...""}","","","2026-05-20 13:33:10","","","","","","","False"
