language_code,language_name,term_source,claude_translated_term,claude_output_tokens,claude_created,claude_stop_reason,claude_model,claude_input_tokens,claude_total_tokens,claude_translation_rationale,claude_translation,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_system_prompt,ollama_user_prompt,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation,exclude_openai,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,openai_system_prompt,openai_user_prompt,exclude_claude,claude_system_prompt,claude_user_prompt,coding_dh_date_x,coding_dh_date_y,family_name
mwv,Mentawai,Digital Humanities,Pengetahuan Digital,80.0,2026-04-19T15:34:02.525528,end_turn,claude-sonnet-4-5-20250929,77.0,157.0,"Mentawai has limited technical vocabulary, so borrowing 'Digital' and using 'Pengetahuan' (knowledge/learning) from Malay/Indonesian, which influences Mentawai, is the most practical approach for this modern academic concept.",,,,2026-04-19 15:34:02,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mentawai (ISO code: mwv). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Tumudu Sia"", ""translation_rationale"": ""Combining 'Digital' and 'Humanities' in Mentawai language, using the prefix 'tumu-' meaning digital/computer-related and 'dhu-sia' meaning human/knowledge.""}",llama3.1,2026-04-19T19:25:41.582262Z,1095458541.0,79119083.0,74.0,339916583.0,58.0,659516253.0,stop,Tumudu Sia,"Combining 'Digital' and 'Humanities' in Mentawai language, using the prefix 'tumu-' meaning digital/computer-related and 'dhu-sia' meaning human/knowledge.","[{'translated_term': 'Tumudu Sia', 'translation_rationale': ""Combining 'Digital' and 'Humanities' in Mentawai language, using the prefix 'tumu-' meaning digital/computer-related and 'dhu-sia' meaning human/knowledge.""}]",Tumudu Sia,False,Kehumanitian Digital,53.0,1776628480.0,stop,gpt-4o-2024-08-06,70.0,123.0,"The translation combines 'kehumanitian' meaning 'humanities' and 'digital', reflecting a direct adaptation as there is no specific term in Mentawai.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mentawai (ISO code: mwv). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mentawai (ISO code: mwv). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Austronesian languages
mwr,Marwari,Digital Humanities,डिजिटल मानविकी,89.0,2026-04-19T15:33:57.816618,end_turn,claude-sonnet-4-5-20250929,76.0,165.0,"Direct translation combining 'डिजिटल' (digital) borrowed from English as commonly used in Marwari, and 'मानविकी' (humanities) derived from 'मानव' (human) following standard Marwari academic terminology patterns.",,,,2026-04-19 15:33:57,False,डिजिटल मानविकी,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Marwari (ISO code: mwr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Dijitil gahrajnani vidyā"", ""translation_rationale"": ""Combining Marwari words for digital (dijitil) and humanities (gahrajnani), with the suffix -vidyā indicating a field of study or knowledge.""}",llama3.1,2026-04-19T19:25:38.470432Z,1154664208.0,76820375.0,75.0,330983500.0,64.0,728116045.0,stop,Dijitil gahrajnani vidyā,"Combining Marwari words for digital (dijitil) and humanities (gahrajnani), with the suffix -vidyā indicating a field of study or knowledge.","[{'translated_term': 'Dijitil gahrajnani vidyā', 'translation_rationale': 'Combining Marwari words for digital (dijitil) and humanities (gahrajnani), with the suffix -vidyā indicating a field of study or knowledge.'}]",Dijitil gahrajnani vidyā,False,डिजिटल मानविकी,86.0,1776628478.0,stop,gpt-4o-2024-08-06,70.0,156.0,"The term 'Digital Humanities' can be directly translated as 'डिजिटल मानविकी' in Marwari, where 'डिजिटल' stands for 'Digital' and 'मानविकी' stands for 'Humanities'. This translation maintains the original meaning while using the available contemporary vocabulary in Marwari.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Marwari (ISO code: mwr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Marwari (ISO code: mwr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Indo-European languages
mwk,Kita Maninkakan,Digital Humanities,Nizamuko fɛɛrɛ,81.0,2026-04-19T15:33:54.232088,end_turn,claude-sonnet-4-5-20250929,80.0,161.0,Combines 'nizamuko' (digital/electronic) and 'fɛɛrɛ' (knowledge/learning/humanities) to convey the concept of Digital Humanities in Kita Maninkakan,,,,2026-04-19 15:33:54,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Kita Maninkakan (ISO code: mwk). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Tiwiriwoo Wumansi"", ""translation_rationale"": ""Compound of 'tiwiri' (digital) and 'wumansi' (humanities), adapted from the Akan language's influence on Kita Maninkakan""}",llama3.1,2026-04-19T19:25:35.292486Z,1064197708.0,73793125.0,77.0,337743958.0,56.0,636484125.0,stop,Tiwiriwoo Wumansi,"Compound of 'tiwiri' (digital) and 'wumansi' (humanities), adapted from the Akan language's influence on Kita Maninkakan","[{'translated_term': 'Tiwiriwoo Wumansi', 'translation_rationale': ""Compound of 'tiwiri' (digital) and 'wumansi' (humanities), adapted from the Akan language's influence on Kita Maninkakan""}]",Tiwiriwoo Wumansi,False,Humanités numeriki,90.0,1776628476.0,stop,gpt-4o-2024-08-06,72.0,162.0,"The translation 'Humanités numeriki' is an attempt to use terms that could be adapted from French-based vocabulary 'Humanités' (Humanities) and 'numeriki' (Digital) as there is a lack of standardized terminology in Kita Maninkakan, which is closely related to French-influenced words for technical concepts.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Kita Maninkakan (ISO code: mwk). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Kita Maninkakan (ISO code: mwk). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Niger-Kordofanian languages
mvy,Indus Kohistani,Digital Humanities,ڈیجیٹل انسانیات,109.0,2026-04-19T15:33:50.751089,end_turn,claude-sonnet-4-5-20250929,79.0,188.0,"Indus Kohistani uses Arabic script and borrows technical terms from Urdu/Persian. 'Digital' is borrowed as 'ڈیجیٹل' and 'Humanities' translates to 'انسانیات' (insaniyat), following the pattern of related Dardic languages in Pakistan.",,,,2026-04-19 15:33:50,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Indus Kohistani (ISO code: mvy). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""ڈیجیٹل انساینسیز"", ""translation_rationale"": ""literally 'digital sciences' in Urdu, adapted to Indus Kohistani""}",llama3.1,2026-04-19T19:25:32.212467Z,877275209.0,79933542.0,76.0,333357250.0,40.0,450966417.0,stop,ڈیجیٹل انساینسیز,"literally 'digital sciences' in Urdu, adapted to Indus Kohistani","[{'translated_term': 'ڈیجیٹل انساینسیز', 'translation_rationale': ""literally 'digital sciences' in Urdu, adapted to Indus Kohistani""}]",ڈیجیٹل انساینسیز,False,ڈیجیٹل ہیومنیٹیز,58.0,1776628474.0,stop,gpt-4o-2024-08-06,72.0,130.0,"Indus Kohistani often incorporates loanwords for modern concepts, retaining close phonetic approximations to the English terms due to the lack of indigenous equivalents.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Indus Kohistani (ISO code: mvy). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Indus Kohistani (ISO code: mvy). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Indo-European languages
mua,Mundang,Digital Humanities,Njɨ́ lé dígítál,101.0,2026-04-19T15:33:41.432542,end_turn,claude-sonnet-4-5-20250929,75.0,176.0,"Mundang lacks a direct equivalent for 'Digital Humanities'. The translation uses 'njɨ́ lé' (knowledge/learning) combined with 'dígítál' (borrowed term for digital), as Mundang typically borrows modern technological terms from French or English while using native terms for academic concepts.",,,,2026-04-19 15:33:41,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mundang (ISO code: mua). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Dijitaal Mwenda Mviro"", ""translation_rationale"": ""Combining 'Digital' and 'Mwenda Mviro', a term that roughly translates to 'Humanities' in Mundang, by replacing the root word for 'human' with its equivalent""}",llama3.1,2026-04-19T19:25:25.973264Z,1156684792.0,78914833.0,73.0,335604167.0,64.0,723177209.0,stop,Dijitaal Mwenda Mviro,"Combining 'Digital' and 'Mwenda Mviro', a term that roughly translates to 'Humanities' in Mundang, by replacing the root word for 'human' with its equivalent","[{'translated_term': 'Dijitaal Mwenda Mviro', 'translation_rationale': ""Combining 'Digital' and 'Mwenda Mviro', a term that roughly translates to 'Humanities' in Mundang, by replacing the root word for 'human' with its equivalent""}]",Dijitaal Mwenda Mviro,False,Digitali Gwɗɗinga,75.0,1776628472.0,stop,gpt-4o-2024-08-06,69.0,144.0,"The term 'Digital Humanities' is translated by combining 'Digitali' for 'Digital' and 'Gwɗɗinga' for an approximate term for 'Humanities', reflecting the interdisciplinary focus of applying digital methods to the study of human culture.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mundang (ISO code: mua). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mundang (ISO code: mua). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Nilo-Saharan languages
mtr,Mewari,Digital Humanities,डिजिटल मानविकी,105.0,2026-04-19T15:33:36.308193,end_turn,claude-sonnet-4-5-20250929,76.0,181.0,"Mewari uses Devanagari script like Hindi/Rajasthani. 'Digital' is transliterated as 'डिजिटल' (commonly used loanword), and 'Humanities' translates to 'मानविकी' (standard term for humanities/human sciences in Indic languages).",,,,2026-04-19 15:33:36,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mewari (ISO code: mtr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": "" Digital Bhāshā Vigyān"", ""translation_rationale"": ""Breakdown of 'Digital Humanities' into Mewari language, using Hindi loanwords as they are widely used and understood in the region. 'Bhāshā' means language, and 'Vigyān' means knowledge/science.""}",llama3.1,2026-04-19T19:25:22.790777Z,1291183459.0,99408042.0,75.0,365635834.0,71.0,805676502.0,stop, Digital Bhāshā Vigyān,"Breakdown of 'Digital Humanities' into Mewari language, using Hindi loanwords as they are widely used and understood in the region. 'Bhāshā' means language, and 'Vigyān' means knowledge/science.","[{'translated_term': ' Digital Bhāshā Vigyān', 'translation_rationale': ""Breakdown of 'Digital Humanities' into Mewari language, using Hindi loanwords as they are widely used and understood in the region. 'Bhāshā' means language, and 'Vigyān' means knowledge/science.""}]", Digital Bhāshā Vigyān,False,डिजिटल ह्यूमॅनिटीज,66.0,1776628470.0,stop,gpt-4o-2024-08-06,71.0,137.0,"Mewari, being a Rajasthani language, mostly incorporates loanwords for modern technological terms due to lack of direct equivalents, hence the transliterated form is used.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mewari (ISO code: mtr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mewari (ISO code: mtr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Indo-European languages
mro,Mru,Digital Humanities,Digital Humanities,89.0,2026-04-19T15:33:32.626375,end_turn,claude-sonnet-4-5-20250929,75.0,164.0,"Mru is a Tibeto-Burman language spoken in Bangladesh and Myanmar with limited lexical resources for modern technical terms. No established translation exists for 'Digital Humanities' in Mru, so the English term is retained as a loanword, which is common practice for specialized academic terminology in smaller languages.",,,,2026-04-19 15:33:32,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mru (ISO code: mro). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": """", ""translation_rationale"": ""The term 'Digital Humanities' doesn't directly translate to Mru, as it's a loanword in many languages and its meaning is still evolving. However, I can attempt to translate the phrase into a more conceptually equivalent expression: ""Khwir pahkhrang chik khrawm."" This translates to 'The humanities of digital things' or 'Humanities on/with computers.'""}",llama3.1,2026-04-19T19:25:19.484642Z,1515329167.0,77516958.0,74.0,334594959.0,94.0,1074878329.0,stop,,"The term 'Digital Humanities' doesn't directly translate to Mru, as it's a loanword in many languages and its meaning is still evolving. However, I can attempt to translate the phrase into a more conceptually equivalent expression: ",[],,False,,,,,,,,,,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mru (ISO code: mro). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mru (ISO code: mro). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Sino-Tibetan languages
mrj,Western Mari,Digital Humanities,Цифровой гуманитар наукывлӓ,98.0,2026-04-19T15:33:27.814057,end_turn,claude-sonnet-4-5-20250929,74.0,172.0,"Western Mari translation combining 'Цифровой' (digital, from Russian loanword commonly used for digital technology) with 'гуманитар наукывлӓ' (humanitarian sciences/humanities), following the pattern used in related Uralic languages for academic terminology.",,,,2026-04-19 15:33:27,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Western Mari (ISO code: mrj). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Символлаликанда"", ""translation_rationale"": ""derived from the Mari language term for 'digital' (символла) and '-humanities'""}",llama3.1,2026-04-19T19:25:15.947575Z,882761459.0,76757500.0,74.0,331755000.0,41.0,462277922.0,stop,Символлаликанда,derived from the Mari language term for 'digital' (символла) and '-humanities',"[{'translated_term': 'Символлаликанда', 'translation_rationale': ""derived from the Mari language term for 'digital' (символла) and '-humanities'""}]",Символлаликанда,False,Цифровой гуманитаристика,78.0,1776628465.0,stop,gpt-4o-2024-08-06,70.0,148.0,"The term 'Цифровой гуманитаристика' is a direct translation of 'Digital Humanities' combining 'цифровой' meaning 'digital' and 'гуманитаристика' for 'humanities', reflecting the interdisciplinary use of digital tools in humanities research.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Western Mari (ISO code: mrj). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Western Mari (ISO code: mrj). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Uralic languages
mrd,Western Magar,Digital Humanities,डिजिटल मानविकी,114.0,2026-04-19T15:33:23.000985,end_turn,claude-sonnet-4-5-20250929,76.0,190.0,This is a transliteration into Devanagari script (used for Western Magar) of 'Digital Humanities' where 'Digital' is borrowed as a loanword and 'मानविकी' (mānavikī) represents 'humanities' derived from 'मानव' (human/mankind) following similar patterns in related Indo-Aryan languages.,,,,2026-04-19 15:33:23,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Western Magar (ISO code: mrd). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Kʉyel ɗam tɛv"", ""translation_rationale"": ""Combining 'kʉyel', meaning digital/computer, with 'dam tɛv', which roughly translates to humanities or human knowledge.""}",llama3.1,2026-04-19T19:25:13.038526Z,1086369000.0,80043041.0,75.0,333408084.0,58.0,655768789.0,stop,Kʉyel ɗam tɛv,"Combining 'kʉyel', meaning digital/computer, with 'dam tɛv', which roughly translates to humanities or human knowledge.","[{'translated_term': 'Kʉyel ɗam tɛv', 'translation_rationale': ""Combining 'kʉyel', meaning digital/computer, with 'dam tɛv', which roughly translates to humanities or human knowledge.""}]",Kʉyel ɗam tɛv,False,डिजिटल मानविकी,71.0,1776628463.0,stop,gpt-4o-2024-08-06,71.0,142.0,"Western Magar often borrows terms for modern concepts from English or Nepali due to a lack of native equivalents, so 'डिजिटल मानविकी' is a loan translation using Nepali terms for 'Digital' and 'Humanities'.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Western Magar (ISO code: mrd). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Western Magar (ISO code: mrd). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Sino-Tibetan languages
mos,Mossi,Digital Humanities,Nooma ne sɩɩre,69.0,2026-04-19T15:33:13.988475,end_turn,claude-sonnet-4-5-20250929,75.0,144.0,"Combines 'nooma' (knowledge/wisdom) with 'sɩɩre' (digital/electronic), reflecting the interdisciplinary nature of digital humanities in Mossi language",,,,2026-04-19 15:33:13,False,,False,SẼN BE SEBRÃ PƲGẼ ME,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mossi (ISO code: mos). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Wɔtari Fufuo Digital"", ""translation_rationale"": ""Combining Mossi term for 'digital' (Wɔtari) with the broader field of Humanities (Fufuo). Wɔtari is derived from wa, meaning 'thing', and tari, meaning 'on screen' or 'electronic'. Fufuo encompasses knowledge, literature, and culture, thus Digital Humanities becomes Wɔtari Fufuo Digital in Mossi.""}",llama3.1,2026-04-19T19:25:06.885329Z,1663599875.0,80515417.0,73.0,337849042.0,106.0,1215333583.0,stop,Wɔtari Fufuo Digital,"Combining Mossi term for 'digital' (Wɔtari) with the broader field of Humanities (Fufuo). Wɔtari is derived from wa, meaning 'thing', and tari, meaning 'on screen' or 'electronic'. Fufuo encompasses knowledge, literature, and culture, thus Digital Humanities becomes Wɔtari Fufuo Digital in Mossi.","[{'translated_term': 'Wɔtari Fufuo Digital', 'translation_rationale': ""Combining Mossi term for 'digital' (Wɔtari) with the broader field of Humanities (Fufuo). Wɔtari is derived from wa, meaning 'thing', and tari, meaning 'on screen' or 'electronic'. Fufuo encompasses knowledge, literature, and culture, thus Digital Humanities becomes Wɔtari Fufuo Digital in Mossi.""}]",Wɔtari Fufuo Digital,False,Digitâales Sâada Yelgi,66.0,1776628458.0,stop,gpt-4o-2024-08-06,69.0,135.0,The translation captures the essence of 'Digital Humanities' by combining 'digitâales' (digital) and 'sâada yelgi' (humanities) in Mossi.,,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mossi (ISO code: mos). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mossi (ISO code: mos). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,Niger-Kordofanian languages
moh,Mohawk,Digital Humanities,Tewaterihwaién:tis kaién:tere,100.0,2026-04-19T15:33:08.972088,end_turn,claude-sonnet-4-5-20250929,75.0,175.0,"Combines 'tewaterihwaién:tis' (digital/electronic/computational) with 'kaién:tere' (things/matters/knowledge), literally meaning 'digital knowledge/matters', which captures the essence of Digital Humanities as the application of digital/computational methods to humanistic inquiry.",,,,2026-04-19 15:33:08,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mohawk (ISO code: moh). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": """", ""translation_rationale"": ""Note: Due to the complexity and nuances of the Mohawk language, a direct translation of 'Digital Humanities' is not straightforward. The concept of 'digital humanities' does not have an equivalent in traditional Mohawk culture or language. However, one possible approach could be to use a combination of words that approximate its meaning.""}",llama3.1,2026-04-19T19:25:03.191213Z,1307881333.0,77966583.0,73.0,329370167.0,77.0,877603421.0,stop,,"Note: Due to the complexity and nuances of the Mohawk language, a direct translation of 'Digital Humanities' is not straightforward. The concept of 'digital humanities' does not have an equivalent in traditional Mohawk culture or language. However, one possible approach could be to use a combination of words that approximate its meaning.","[{'translated_term': '', 'translation_rationale': ""Note: Due to the complexity and nuances of the Mohawk language, a direct translation of 'Digital Humanities' is not straightforward. The concept of 'digital humanities' does not have an equivalent in traditional Mohawk culture or language. However, one possible approach could be to use a combination of words that approximate its meaning.""}]",,False,Tsi niionkwarihò:ten tsi wahonatawi'tsheró:ten,90.0,1776628455.0,stop,gpt-4o-2024-08-06,69.0,159.0,"The translation aims to reflect the interdisciplinary nature of Digital Humanities by using Mohawk words for 'our knowledge' (niionkwarihò:ten) and 'technology' (wahonatawi'tsheró:ten), connecting digital innovations with cultural knowledge.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mohawk (ISO code: moh). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Mohawk (ISO code: moh). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,North American Indian languages
moe,Innu-aimun,Digital Humanities,tshishe-aitun masinaikana,82.0,2026-04-19T15:33:03.336867,end_turn,claude-sonnet-4-5-20250929,79.0,161.0,"Combines 'tshishe-aitun' (digital/electronic technology) with 'masinaikana' (writings/books/knowledge), reflecting the technological and scholarly aspects of Digital Humanities in Innu-aimun",,,,2026-04-19 15:33:03,False,,False,,False,,False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Innu-aimun (ISO code: moe). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Pikummapitaaupu"", ""translation_rationale"": ""Combining 'piku' (digital), 'maapitaau' (humanities) in Innu-aimun. Note: This is an approximation as the language does not have a direct equivalent for Digital Humanities""}",llama3.1,2026-04-19T19:24:59.852424Z,1194631458.0,83161916.0,77.0,341381625.0,66.0,750502297.0,stop,Pikummapitaaupu,"Combining 'piku' (digital), 'maapitaau' (humanities) in Innu-aimun. Note: This is an approximation as the language does not have a direct equivalent for Digital Humanities","[{'translated_term': 'Pikummapitaaupu', 'translation_rationale': ""Combining 'piku' (digital), 'maapitaau' (humanities) in Innu-aimun. Note: This is an approximation as the language does not have a direct equivalent for Digital Humanities""}]",Pikummapitaaupu,False,Kashkunuhtikumaht Tshiashinakanik,113.0,1776628453.0,stop,gpt-4o-2024-08-06,72.0,185.0,"The term 'Digital Humanities' does not have a direct translation in Innu-aimun. 'Kashkunuhtikumaht' can mean 'studying' or 'research', and 'tshiashinakanik' refers to 'the human things', capturing the essence of humanities. This translation creates an approximate equivalent by combining these concepts to reflect the interdisciplinary approach of Digital Humanities.",,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Innu-aimun (ISO code: moe). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",False,You are a Digital Humanities scholar who speaks many languages.,"Translate 'Digital Humanities' into Innu-aimun (ISO code: moe). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}",,,North American Indian languages
