"language_code","term","language_name","term_source","wikipedia_translated_term","coding_dh_date","exclude_google_cloud_translate","gt_translated_term","exclude_easynmt","enmt_translated_term","exclude_lingvanex","lingvanex_translated_term","exclude_ollama","ollama_system_prompt","ollama_user_prompt","ollama_content","ollama_model","ollama_created_at","ollama_total_duration","ollama_load_duration","ollama_prompt_eval_count","ollama_prompt_eval_duration","ollama_eval_count","ollama_eval_duration","ollama_done_reason","ollama_translated_term","ollama_translation_rationale","ollama_extracted_dictionaries","ollama_translation","coding_dh_date_x","coding_dh_date_y","family_name"
"kj","","Kwanyama, Kuanyama","Digital Humanities","","2026-04-19 16:28:48","","","False","Kala u na etaleko liwa li na sha novanhu","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Kwanyama, Kuanyama (ISO code: kj). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Omukwitu wa Digital"", ""translation_rationale"": ""Kwanyama equivalent for 'Digital' is 'mukwitu', which means computer or digital, added to 'Humanities'""}","llama3.1","2026-04-19T21:28:48.530413Z","940430916.0","82257583.0","78.0","282006625.0","48.0","562006913.0","stop","Omukwitu wa Digital","Kwanyama equivalent for 'Digital' is 'mukwitu', which means computer or digital, added to 'Humanities'","[{'translated_term': 'Omukwitu wa Digital', 'translation_rationale': ""Kwanyama equivalent for 'Digital' is 'mukwitu', which means computer or digital, added to 'Humanities'""}]","Omukwitu wa Digital","","","Niger-Kordofanian languages"
"kiu","","Kirmanjki","Digital Humanities","","2026-04-19 16:28:45","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Kirmanjki (ISO code: kiu). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""DŽiðeĺnij Humanejtij"", ""translation_rationale"": ""The term 'Digital Humanities' has been translated directly from English, following the phonetic and orthographic patterns of the Kirmanjki language.""}","llama3.1","2026-04-19T21:28:45.573443Z","1067031500.0","82526250.0","76.0","326944083.0","56.0","641265912.0","stop","DŽiðeĺnij Humanejtij","The term 'Digital Humanities' has been translated directly from English, following the phonetic and orthographic patterns of the Kirmanjki language.","[{'translated_term': 'DŽiðeĺnij Humanejtij', 'translation_rationale': ""The term 'Digital Humanities' has been translated directly from English, following the phonetic and orthographic patterns of the Kirmanjki language.""}]","DŽiðeĺnij Humanejtij","","","Indo-European languages"
"ki","","Kikuyu, Gikuyu","Digital Humanities","","2026-04-19 16:28:42","","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Kikuyu, Gikuyu (ISO code: ki). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Njia za Digita za Umma wa Kihistoria"",
  ""translation_rationale"": ""Combining Gikuyu words for 'digital' (njia za digita), 'humanities' is a bit of a direct translation from the original English term, but I've used 'umma wa ki-historia', which refers to humanities as study of human culture and history.""
}","llama3.1","2026-04-19T21:28:42.487851Z","1438068625.0","79514125.0","78.0","284704042.0","90.0","1048161503.0","stop","Njia za Digita za Umma wa Kihistoria","Combining Gikuyu words for 'digital' (njia za digita), 'humanities' is a bit of a direct translation from the original English term, but I've used 'umma wa ki-historia', which refers to humanities as study of human culture and history.","[]","","","","Niger-Kordofanian languages"
"kht","","Khamti","Digital Humanities","","2026-04-19 16:28:39","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Khamti (ISO code: kht). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Mɛiˈhɔːt maʔ lɛɪk pɤy "", ""translation_rationale"": ""Combination of \""Digital\"" and \""Humanities\"", with Khamti pronunciation.""} 

(Note: This translation is provided based on my understanding of the Khamti language, but I'm a large language model, not a native speaker. Please verify the accuracy of the translation.)","llama3.1","2026-04-19T21:28:39.025849Z","1511680292.0","79786625.0","75.0","297357667.0","95.0","1107681169.0","stop","Mɛiˈhɔːt maʔ lɛɪk pɤy ","Combination of ""Digital"" and ""Humanities"", with Khamti pronunciation.","[{'translated_term': 'Mɛiˈhɔːt maʔ lɛɪk pɤy ', 'translation_rationale': 'Combination of ""Digital"" and ""Humanities"", with Khamti pronunciation.'}]","Mɛiˈhɔːt maʔ lɛɪk pɤy ","","","Sino-Tibetan languages"
"kho","","Khotanese","Digital Humanities","","2026-04-19 16:28:35","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Khotanese (ISO code: kho). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""bhāvandhiṣaṇḍha"", ""translation_rationale"": ""From Sanskrit \u00b4Digital Humanities\u0027, using bh\u0101van- (knowledge) and ṣaṇḍha (dismembered or separated)""}","llama3.1","2026-04-19T21:28:35.487671Z","1210795792.0","82181000.0","75.0","282924625.0","71.0","825483207.0","stop","bhāvandhiṣaṇḍha","From Sanskrit ´Digital Humanities', using bhāvan- (knowledge) and ṣaṇḍha (dismembered or separated)","[{'translated_term': 'bhāvandhiṣaṇḍha', 'translation_rationale': ""From Sanskrit ´Digital Humanities', using bhāvan- (knowledge) and ṣaṇḍha (dismembered or separated)""}]","bhāvandhiṣaṇḍha","","","Indo-European languages"
"kfr","","Kachhi","Digital Humanities","","2026-04-19 16:28:28","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Kachhi (ISO code: kfr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Kha\Ndbl Digital Humanities"", ""translation_rationale"": ""Transliteration of 'Digital' as Kha\Ndbl and 'Humanities' as a general term for liberal arts, following standard linguistic practices in the region.""}","llama3.1","2026-04-19T21:28:28.993118Z","1016887541.0","80974166.0","75.0","285696375.0","55.0","634943998.0","stop","Kha\Ndbl Digital Humanities","Transliteration of 'Digital' as Kha\Ndbl and 'Humanities' as a general term for liberal arts, following standard linguistic practices in the region.","[]","","","","Indo-European languages"
"kde","","Makonde","Digital Humanities","","2026-04-19 16:28:25","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Makonde (ISO code: kde). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Makonde ya Digitali"", ""translation_rationale"": ""Combination of the Makonde language and the English term 'Digital'.""}","llama3.1","2026-04-19T21:28:25.951822Z","769492875.0","77759958.0","73.0","282868792.0","35.0","398789249.0","stop","Makonde ya Digitali","Combination of the Makonde language and the English term 'Digital'.","[{'translated_term': 'Makonde ya Digitali', 'translation_rationale': ""Combination of the Makonde language and the English term 'Digital'.""}]","Makonde ya Digitali","","","Niger-Kordofanian languages"
"kbd","","Kabardian","Digital Humanities","","2026-04-19 16:28:19","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Kabardian (ISO code: kbd). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Çымызты публицистика"",
  ""translation_rationale"": ""Combination of 'digital' (чымызты, from Russian) and 'humanities' (публицистика, from Russian, as there is no direct equivalent in Kabardian)""
}","llama3.1","2026-04-19T21:28:19.590709Z","1158619125.0","79084459.0","75.0","288337875.0","67.0","772104620.0","stop","Çымызты публицистика","Combination of 'digital' (чымызты, from Russian) and 'humanities' (публицистика, from Russian, as there is no direct equivalent in Kabardian)","[]","","","","Caucasian languages"
"jrb","","Judeo-Arabic","Digital Humanities","","2026-04-19 16:28:16","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Judeo-Arabic (ISO code: jrb). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""דיגיטאליי הומניאס"",
  ""translation_rationale"": ""Combination of Hebrew prefix 'דיגיטאלי' (digital) and the suffix '-יי הומניאס' from 'Digital Humanities', with an adaptation to Judeo-Arabic grammar""
}","llama3.1","2026-04-19T21:28:16.410822Z","1357047375.0","80125250.0","77.0","283702625.0","83.0","970291589.0","stop","דיגיטאליי הומניאס","Combination of Hebrew prefix 'דיגיטאלי' (digital) and the suffix '-יי הומניאס' from 'Digital Humanities', with an adaptation to Judeo-Arabic grammar","[]","","","","Afro-Asiatic languages"
"ilo","","Ilokano","Digital Humanities","","2026-04-19 16:28:13","","Digital a Humanities","False","Digital Humanies","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Ilokano (ISO code: ilo). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Dagitrikan a Dakamatiktik"",
  ""translation_rationale"": ""Combination of Ilokano words 'dagiti' (digital), 'rian' (humanities), and the suffix '-an' to form a new word, with 'dakamati' meaning 'the study of' or 'scholarship'.""
}","llama3.1","2026-04-19T21:28:13.032801Z","1319476667.0","79784875.0","75.0","290183917.0","79.0","926846453.0","stop","Dagitrikan a Dakamatiktik","Combination of Ilokano words 'dagiti' (digital), 'rian' (humanities), and the suffix '-an' to form a new word, with 'dakamati' meaning 'the study of' or 'scholarship'.","[]","","","","Austronesian languages"
"ht","","Haitian","Digital Humanities","","2026-04-19 16:28:02","","Syans Imanitè Dijital","False","Reflechi sou fason lèzòm pral viv","False","Syans imanitè dijital","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Haitian (ISO code: ht). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Santròm Bilijal"", ""translation_rationale"": ""Combination of 'Santòm' (computer) and 'Bilyal' from the French term, Digital Humanities""}","llama3.1","2026-04-19T21:28:02.225809Z","911591875.0","80657584.0","73.0","289395625.0","46.0","528425962.0","stop","Santròm Bilijal","Combination of 'Santòm' (computer) and 'Bilyal' from the French term, Digital Humanities","[{'translated_term': 'Santròm Bilijal', 'translation_rationale': ""Combination of 'Santòm' (computer) and 'Bilyal' from the French term, Digital Humanities""}]","Santròm Bilijal","","","Indo-European languages"
"hnj","","Hmong Njua","Digital Humanities","","2026-04-19 16:27:59","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Hmong Njua (ISO code: hnj). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""txaiv ntawv kev thiab"",
  ""translation_rationale"": ""combination of 'txaiv' (computer) and 'ntawv kev thiab' (humanities)""
}","llama3.1","2026-04-19T21:27:59.292027Z","967037625.0","80330375.0","77.0","286391042.0","51.0","586045327.0","stop","txaiv ntawv kev thiab","combination of 'txaiv' (computer) and 'ntawv kev thiab' (humanities)","[]","","","","Hmong-Mien languages"
"hne","","Chhattisgarhi","Digital Humanities","","2026-04-19 16:27:56","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Chhattisgarhi (ISO code: hne). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""डिजिटल मानव विज्ञान"", ""translation_rationale"": ""Combining the Hindi words 'Digital' and 'मानव विज्ञान', which is a direct borrowing from English as Chhattisgarhi does not have an equivalent term. The phrase should be understood in context to its original English meaning.""}","llama3.1","2026-04-19T21:27:56.305917Z","1258189500.0","101000625.0","77.0","284979875.0","74.0","850639123.0","stop","डिजिटल मानव विज्ञान","Combining the Hindi words 'Digital' and 'मानव विज्ञान', which is a direct borrowing from English as Chhattisgarhi does not have an equivalent term. The phrase should be understood in context to its original English meaning.","[{'translated_term': 'डिजिटल मानव विज्ञान', 'translation_rationale': ""Combining the Hindi words 'Digital' and 'मानव विज्ञान', which is a direct borrowing from English as Chhattisgarhi does not have an equivalent term. The phrase should be understood in context to its original English meaning.""}]","डिजिटल मानव विज्ञान","","","Indo-European languages"
"hit","","Hittite","Digital Humanities","","2026-04-19 16:27:50","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Hittite (ISO code: hit). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""šulmuḫuša ṭēmi"",
  ""translation_rationale"": ""Composition of šulmu (good) and ḫuša (hand, skill), with the addition of a term for the written or digital arts, equivalent to 'ṭēmi' (craftsmanship)""
}","llama3.1","2026-04-19T21:27:50.111775Z","1249875917.0","84129542.0","74.0","276658083.0","75.0","868001038.0","stop","šulmuḫuša ṭēmi","Composition of šulmu (good) and ḫuša (hand, skill), with the addition of a term for the written or digital arts, equivalent to 'ṭēmi' (craftsmanship)","[]","","","","Indo-European languages"
"he","","Hebrew (modern)","Digital Humanities","","2026-04-19 16:27:46","","מדעי הרוח הדיגיטליים","False","Humanital Humanities","False","מדעי הרוח הדיגיטליים","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Hebrew (modern) (ISO code: he). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""אנושיות דיגיטלית"", ""translation_rationale"": ""Literal translation of 'Digital Humanities' into Hebrew, combining the adjective 'digital' with the noun 'humanities'""}","llama3.1","2026-04-19T21:27:46.842613Z","1009486041.0","84244083.0","75.0","300221125.0","53.0","610132375.0","stop","אנושיות דיגיטלית","Literal translation of 'Digital Humanities' into Hebrew, combining the adjective 'digital' with the noun 'humanities'","[{'translated_term': 'אנושיות דיגיטלית', 'translation_rationale': ""Literal translation of 'Digital Humanities' into Hebrew, combining the adjective 'digital' with the noun 'humanities'""}]","אנושיות דיגיטלית","","","Afro-Asiatic languages"
"gn","","Guaraní","Digital Humanities","","2026-04-19 16:27:43","","Humanidades Digitales rehegua","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Guaraní (ISO code: gn). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Tayala Tekuéra Mbyai"", ""translation_rationale"": ""Combining 'Digital' and 'Humanities', I've translated it using Guaraní words. 'Tayala' roughly translates to 'digital' or 'electronic', 'Tekuéra' means 'of the people' or 'human', and 'Mbyai' is a suffix used for fields of study, similar to '-istics'. This translation captures the essence of the Digital Humanities concept in the Guaraní language.""}","llama3.1","2026-04-19T21:27:43.815405Z","1683001333.0","82289875.0","74.0","286111209.0","111.0","1283733757.0","stop","Tayala Tekuéra Mbyai","Combining 'Digital' and 'Humanities', I've translated it using Guaraní words. 'Tayala' roughly translates to 'digital' or 'electronic', 'Tekuéra' means 'of the people' or 'human', and 'Mbyai' is a suffix used for fields of study, similar to '-istics'. This translation captures the essence of the Digital Humanities concept in the Guaraní language.","[{'translated_term': 'Tayala Tekuéra Mbyai', 'translation_rationale': ""Combining 'Digital' and 'Humanities', I've translated it using Guaraní words. 'Tayala' roughly translates to 'digital' or 'electronic', 'Tekuéra' means 'of the people' or 'human', and 'Mbyai' is a suffix used for fields of study, similar to '-istics'. This translation captures the essence of the Digital Humanities concept in the Guaraní language.""}]","Tayala Tekuéra Mbyai","","","South American Indian languages"
"glk","","Gilaki","Digital Humanities","","2026-04-19 16:27:40","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Gilaki (ISO code: glk). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""بناى دیجیتالی انسانی"", ""translation_rationale"": ""Literally \""Digital Humanistic studies\"" in Persian, as Gilaki is a Northern Talysh language, which is closely related to the Persian language. Therefore, I use the same root and suffixes.""}","llama3.1","2026-04-19T21:27:40.110653Z","1124018875.0","83484958.0","74.0","280379125.0","64.0","741672416.0","stop","بناى دیجیتالی انسانی","Literally ""Digital Humanistic studies"" in Persian, as Gilaki is a Northern Talysh language, which is closely related to the Persian language. Therefore, I use the same root and suffixes.","[{'translated_term': 'بناى دیجیتالی انسانی', 'translation_rationale': 'Literally ""Digital Humanistic studies"" in Persian, as Gilaki is a Northern Talysh language, which is closely related to the Persian language. Therefore, I use the same root and suffixes.'}]","بناى دیجیتالی انسانی","","","Indo-European languages"
"gez","","Geez","Digital Humanities","","2026-04-19 16:27:33","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Geez (ISO code: gez). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""\u062f\u06af\u06cc\u067e\u0648\u0631\u0627\u0644 \u062d\u0645\u0629\u064b\u062a\u064a\u0648\u0627\u0646\u064a\u0629"", ""translation_rationale"": ""Geez language translation of 'Digital Humanities', combining elements from classical Amharic and Ge'ez script""}","llama3.1","2026-04-19T21:27:33.603298Z","1473218292.0","83428917.0","73.0","279641833.0","94.0","1085291002.0","stop","دگیپورال حمةًتيوانية","Geez language translation of 'Digital Humanities', combining elements from classical Amharic and Ge'ez script","[{'translated_term': 'دگیپورال حمةًتيوانية', 'translation_rationale': ""Geez language translation of 'Digital Humanities', combining elements from classical Amharic and Ge'ez script""}]","دگیپورال حمةًتيوانية","","","Afro-Asiatic languages"
"frp","","Arpitan / Franco-Provençal","Digital Humanities","","2026-04-19 16:27:26","","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Arpitan / Franco-Provençal (ISO code: frp). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Umânités digitâles"",
  ""translation_rationale"": "" Borrowing from French, adapted to Arpitan phonology and spelling conventions""
}","llama3.1","2026-04-19T21:27:26.422982Z","821234958.0","78150750.0","82.0","278323333.0","40.0","452965079.0","stop","Umânités digitâles"," Borrowing from French, adapted to Arpitan phonology and spelling conventions","[]","","","","Indo-European languages"
"fon","","Fon","Digital Humanities","","2026-04-19 16:27:23","False","Gbɛtɔ́ Dijitalu","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Fon (ISO code: fon). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Wɔmɛna Wɛtɛn"", ""translation_rationale"": ""Literally 'Modern Humanities', combining Fon's modern prefix 'Wɔ-' with the concept of Humanities.""}","llama3.1","2026-04-19T21:27:23.575695Z","942110042.0","74543584.0","72.0","276696333.0","50.0","576916293.0","stop","Wɔmɛna Wɛtɛn","Literally 'Modern Humanities', combining Fon's modern prefix 'Wɔ-' with the concept of Humanities.","[{'translated_term': 'Wɔmɛna Wɛtɛn', 'translation_rationale': ""Literally 'Modern Humanities', combining Fon's modern prefix 'Wɔ-' with the concept of Humanities.""}]","Wɔmɛna Wɛtɛn","","","Niger-Kordofanian languages"
"fan","","Fang","Digital Humanities","","2026-04-19 16:27:17","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Fang (ISO code: fan). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Hmongov Thaj Tsaug"", ""translation_rationale"": ""Combining 'Digital' from English and the Fang word for Humanities, which in Fang is similar to combining it with 'Taj', meaning 'study of man's creation' or 'human sciences'.""}","llama3.1","2026-04-19T21:27:17.044314Z","1098390500.0","78780125.0","72.0","276450584.0","63.0","724629041.0","stop","Hmongov Thaj Tsaug","Combining 'Digital' from English and the Fang word for Humanities, which in Fang is similar to combining it with 'Taj', meaning 'study of man's creation' or 'human sciences'.","[{'translated_term': 'Hmongov Thaj Tsaug', 'translation_rationale': ""Combining 'Digital' from English and the Fang word for Humanities, which in Fang is similar to combining it with 'Taj', meaning 'study of man's creation' or 'human sciences'.""}]","Hmongov Thaj Tsaug","","","Niger-Kordofanian languages"
"evn","","Evenki","Digital Humanities","","2026-04-19 16:27:13","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Evenki (ISO code: evn). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""S\303\274\304\205\305\203\306\255\312\304\205\310\307\311\313\312"", ""translation_rationale"": ""Borrowing from Russian 'Ð´Ð¸Ð³Ð¸Ñ‚Ð°Ð» \u0027Ð¼Ð°Ð½Ð¸ÑÑ‚Ð²ÐµÐ·ÑŒ' (Digital Humanities), using the existing Evenki terminology and phonetic adaptation""}","llama3.1","2026-04-19T21:27:13.924452Z","1625361292.0","78233417.0","74.0","281360958.0","107.0","1237396082.0","stop","SÃ¼ÄÅÆ­ÊÄÈÇÉËÊ","Borrowing from Russian 'Ð´Ð¸Ð³Ð¸Ñ‚Ð°Ð» 'Ð¼Ð°Ð½Ð¸ÑÑ‚Ð²ÐµÐ·ÑŒ' (Digital Humanities), using the existing Evenki terminology and phonetic adaptation","[{'translated_term': 'SÃ¼Ä\x85Å\x83Æ\xadÊÄ\x85ÈÇÉËÊ', 'translation_rationale': ""Borrowing from Russian 'Ð´Ð¸Ð³Ð¸Ñ‚Ð°Ð» 'Ð¼Ð°Ð½Ð¸Ñ\x81Ñ‚Ð²ÐµÐ·ÑŒ' (Digital Humanities), using the existing Evenki terminology and phonetic adaptation""}]","SÃ¼ÄÅÆ­ÊÄÈÇÉËÊ","","","Altaic languages"
"es","","Spanish; Castilian","Digital Humanities","","2026-04-19 16:27:10","","Humanidades digitales","False","Humanidades digitales","False","Humanidades digitales","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Spanish; Castilian (ISO code: es). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Humanidades Digitales"",
  ""translation_rationale"": ""Combination of 'Humanidades' (humanities) and the adjective 'Digitales' (digital)""
}","llama3.1","2026-04-19T21:27:10.281942Z","846623375.0","70405000.0","75.0","278711083.0","42.0","484537999.0","stop","Humanidades Digitales","Combination of 'Humanidades' (humanities) and the adjective 'Digitales' (digital)","[]","","","","Indo-European languages"
"el","","Greek, Modern","Digital Humanities","","2026-04-19 16:27:04","","Ψηφιακές Ανθρωπιστικές Επιστήμες","False","Ψηφιακές Ανθρωπιστικές Επιστήμες","False","Ψηφιακές Ανθρωπιστικές Επιστήμες","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Greek, Modern (ISO code: el). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Δigitalkés Anthropologies"",
  ""translation_rationale"": ""Breakdown of 'Digital' and 'Humanities' into Greek, using prefix Διγίταλ- (from digital) and plural form of ανθρωπολογία (humanities)""
}","llama3.1","2026-04-19T21:27:04.32764Z","1084038083.0","78139625.0","74.0","279570875.0","62.0","708370540.0","stop","Δigitalkés Anthropologies","Breakdown of 'Digital' and 'Humanities' into Greek, using prefix Διγίταλ- (from digital) and plural form of ανθρωπολογία (humanities)","[]","","","","Indo-European languages"
"dyu","","Dyula","Digital Humanities","","2026-04-19 16:27:01","False","Adamadenw ka lɔnniya","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Dyula (ISO code: dyu). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Tiŋba nti Digitala"", ""translation_rationale"": ""Literally 'Digital Humanities' in Dyula, preserving the word order and structure of the original term.""}","llama3.1","2026-04-19T21:27:01.227626Z","868234500.0","83801541.0","74.0","281568333.0","43.0","490486371.0","stop","Tiŋba nti Digitala","Literally 'Digital Humanities' in Dyula, preserving the word order and structure of the original term.","[{'translated_term': 'Tiŋba nti Digitala', 'translation_rationale': ""Literally 'Digital Humanities' in Dyula, preserving the word order and structure of the original term.""}]","Tiŋba nti Digitala","","","Niger-Kordofanian languages"
"dv","","Divehi; Maldivian;","Digital Humanities","","2026-04-19 16:26:58","","ދިރާގު ހިއުމަނިޓީސް އެވެ","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Divehi; Maldivian; (ISO code: dv). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Dhivehi Veyilingu"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated by combining the Divehi word for 'digital' (veyilingu) with the language name, as is common in Maldivian language naming conventions.""
}","llama3.1","2026-04-19T21:26:58.340392Z","1091143666.0","75801500.0","78.0","276613875.0","63.0","720568789.0","stop","Dhivehi Veyilingu","The term 'Digital Humanities' is translated by combining the Divehi word for 'digital' (veyilingu) with the language name, as is common in Maldivian language naming conventions.","[]","","","","Indo-European languages"
"dtm","","Tomo Kan Dogon","Digital Humanities","","2026-04-19 16:26:55","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Tomo Kan Dogon (ISO code: dtm). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Kaw Toma Dugba"", ""translation_rationale"": ""Literal translation of 'Digital Humanities' using basic vocabulary in Dogon language, combining 'kaw' (digital), 'toma' (human) and 'dugba' (knowledge/learning/study).""}","llama3.1","2026-04-19T21:26:55.233601Z","1122311167.0","78878542.0","77.0","287061667.0","64.0","738299998.0","stop","Kaw Toma Dugba","Literal translation of 'Digital Humanities' using basic vocabulary in Dogon language, combining 'kaw' (digital), 'toma' (human) and 'dugba' (knowledge/learning/study).","[{'translated_term': 'Kaw Toma Dugba', 'translation_rationale': ""Literal translation of 'Digital Humanities' using basic vocabulary in Dogon language, combining 'kaw' (digital), 'toma' (human) and 'dugba' (knowledge/learning/study).""}]","Kaw Toma Dugba","","","Nilo-Saharan languages"
