language_code,language_name,language_family,has_missing_rationale,missing_rationale_services,has_mixed_script,mixed_script_services,has_romanization,romanization_services,has_script_disagreement,script_disagr_services,has_source_term,source_term_services,has_placeholder_term,placeholder_term_services,has_repetition_loop,repetition_loop_services,has_extreme_term_length,extreme_term_length_services,has_unicode_escape,unicode_escape_services,has_short_translation,short_translation_services,has_any_mixing,any_mixing_services,has_refusal_rationale,refusal_rationale_services,has_transliteration_rationale,transliteration_rationale_services,has_placeholder_rationale,placeholder_rationale_services,has_language_name_term,language_name_term_services,has_unexpected_rationale_language,unexpected_rationale_language_services,quality_flags,flag_count
kaw,Kawi,Austronesian languages,True,OpenAI,False,,False,,True,Llama;OpenAI;Qwen,False,,False,,False,,False,,False,,True,Qwen,False,,True,DeepSeek;Gemma;OpenAI,True,Claude;Gemini;Gemma;OpenAI,False,,True,Llama;Mistral,False,,missing_rationale;script_disagreement;short_translation;refusal_rationale;transliteration_rationale;language_name_term,6
ken,Kenyang,Niger-Kordofanian languages,True,OpenAI,False,,False,,True,Qwen,True,Claude;DeepSeek;Gemini;OpenAI,False,,False,,False,,False,,False,,False,,True,Claude;DeepSeek;Gemini;Gemma,True,Gemma;Qwen,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
kca,Khanty,Uralic languages,True,DeepSeek,False,,False,,True,Llama,False,,False,,False,,False,,False,,False,,True,Gemma,True,DeepSeek;Mistral;OpenAI,True,Gemini;Gemma;Mistral,False,,False,,True,Qwen,missing_rationale;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
kjg,Khmu,Austro-Asiatic languages,True,Gemma;Mistral,False,,True,Qwen,True,Gemma;Llama;Mistral;OpenAI;Qwen,True,OpenAI,False,,False,,False,,False,,False,,False,,True,Claude;DeepSeek;Gemini;Gemma;OpenAI;Qwen,True,Gemini;Qwen,False,,False,,False,,missing_rationale;romanization;script_disagreement;source_term;refusal_rationale;transliteration_rationale,6
thq,Kochila Tharu,Indo-European languages,False,,True,Gemma,False,,True,Gemma;Llama;Qwen,False,,False,,False,,False,,False,,False,,True,Gemma,True,DeepSeek;Gemma,True,Claude;Gemini;Gemma;OpenAI,False,,False,,True,Qwen,mixed_script;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
knn,Konkani (individual language),Indo-European languages,False,,True,Qwen,False,,True,Gemma;Llama;Mistral;Qwen,False,,False,,False,,False,,False,,False,,True,Qwen,True,OpenAI,True,Claude;DeepSeek;Gemini;Gemma;OpenAI,False,,False,,True,Qwen,mixed_script;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
kfo,Koro,Niger-Kordofanian languages,True,Gemma,False,,False,,True,DeepSeek;Gemini,True,Claude;DeepSeek;Gemini;Mistral;OpenAI,False,,False,,False,,False,,False,,False,,True,Claude;DeepSeek;OpenAI;Qwen,True,DeepSeek;Gemini;Gemma;OpenAI;Qwen,False,,True,Gemma;Llama,False,,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;language_name_term,6
kpy,Koryak,Chukotko-Kamchatkan languages,True,Gemma,False,,False,,True,Llama,False,,False,,False,,False,,False,,True,Mistral,False,,True,DeepSeek;Gemini;Gemma;Qwen,True,Gemini;Qwen,True,DeepSeek,False,,False,,missing_rationale;script_disagreement;short_translation;refusal_rationale;transliteration_rationale;placeholder_rationale,6
ses,Koyraboro Senni,Nilo-Saharan languages,True,DeepSeek;Gemma;Mistral;OpenAI,False,,False,,True,Qwen,True,Gemini;OpenAI,False,,False,,False,,False,,False,,False,,True,DeepSeek;Gemma;OpenAI,True,Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
kro,Kru languages,Niger-Kordofanian languages,True,Gemini;Gemma;Llama,False,,False,,False,,True,Claude;DeepSeek;OpenAI,True,Claude,True,Llama,False,,False,,False,,False,,True,DeepSeek;Gemini;Gemma,True,Gemini;Llama;OpenAI;Qwen,False,,False,,False,,missing_rationale;source_term;placeholder_term;repetition_loop;refusal_rationale;transliteration_rationale,6
kut,Kutenai,Language isolate,True,DeepSeek;Gemma;OpenAI,False,,False,,False,,True,Claude;DeepSeek;OpenAI,True,Claude,False,,False,,False,,True,Mistral,False,,True,Claude;DeepSeek;Gemma;Mistral;OpenAI,True,OpenAI;Qwen,False,,False,,False,,missing_rationale;source_term;placeholder_term;short_translation;refusal_rationale;transliteration_rationale,6
kxv,Kuvi,Dravidian languages,True,Gemma;Mistral,False,,False,,True,Claude;DeepSeek;Gemini;Gemma;Llama;Mistral;OpenAI,True,Mistral;OpenAI,False,,False,,False,,False,,True,Mistral,False,,True,Claude;DeepSeek;Gemma;OpenAI,True,Claude;DeepSeek;Gemini;Gemma;OpenAI,False,,False,,False,,missing_rationale;script_disagreement;source_term;short_translation;refusal_rationale;transliteration_rationale,6
bzx,Kɛlɛngaxo Bozo,Nilo-Saharan languages,True,Gemma,False,,False,,False,,True,Claude;OpenAI,False,,False,,False,,False,,True,Mistral,False,,True,Gemma;Qwen,True,Claude;Gemini;Gemma,False,,True,DeepSeek;Llama;Mistral,False,,missing_rationale;source_term;short_translation;refusal_rationale;transliteration_rationale;language_name_term,6
lmn,Lambadi,Indo-European languages,False,,False,,True,Gemma;Mistral,True,Claude;DeepSeek;Gemini;Gemma;Llama;Mistral;OpenAI;Qwen,True,Qwen,False,,False,,False,,False,,False,,True,Gemma;Mistral,True,OpenAI,True,Claude;Gemini;Gemma;OpenAI;Qwen,False,,False,,False,,romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale,6
lep,Lepcha,Sino-Tibetan languages,True,DeepSeek;Llama;Mistral;OpenAI,False,,True,Gemma,True,Claude;DeepSeek;Gemini;Gemma;Llama;Mistral;Qwen,False,,False,,False,,False,,False,,False,,True,Gemma,True,Claude;DeepSeek;Gemma;Llama;Qwen,True,Claude;Gemini;Gemma;OpenAI;Qwen,False,,False,,False,,missing_rationale;romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale,6
lif,Limbu,Sino-Tibetan languages,False,,False,,True,Gemma,True,Gemma;Llama;Qwen,True,Qwen,False,,False,,False,,False,,False,,True,Gemma,True,DeepSeek;OpenAI;Qwen,True,Claude;DeepSeek;Gemini;Gemma;OpenAI;Qwen,False,,False,,False,,romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale,6
luy,Luyia,Niger-Kordofanian languages,True,Gemma,False,,False,,False,,True,DeepSeek;Mistral;OpenAI,False,,False,,False,,False,,True,Mistral,False,,True,Gemini;Mistral,True,Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;source_term;short_translation;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
mnc,Manchu,Altaic languages,True,Gemma;OpenAI,False,,True,Mistral,True,Claude;Gemini;Mistral;Qwen,False,,False,,False,,False,,False,,False,,True,Gemma;Mistral,True,Gemini;Gemma;Qwen,True,Claude;Gemini;Gemma;Mistral;Qwen,False,,False,,False,,missing_rationale;romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale,6
mfv,Mandjak,Niger-Kordofanian languages,True,Gemma,False,,False,,True,Qwen,True,Claude;DeepSeek;Gemini;OpenAI,False,,False,,False,,False,,False,,False,,True,Claude;DeepSeek;Gemini;Gemma,True,DeepSeek;Gemini;OpenAI,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
mni,Manipuri,Sino-Tibetan languages,False,,False,,True,Gemma,True,DeepSeek;Gemini;Gemma;Llama;Mistral;Qwen,True,Llama;Qwen,False,,False,,False,,False,,False,,True,Gemma;Qwen,True,Claude;DeepSeek;Gemma;OpenAI;Qwen,True,Claude;DeepSeek;Gemini;Gemma;OpenAI;Qwen,False,,False,,False,,romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale,6
mns,Mansi,Uralic languages,True,Gemma,False,,False,,True,Gemma;Llama,False,,False,,False,,False,,False,,False,,True,DeepSeek;Gemini;Gemma;OpenAI,True,Gemini;OpenAI,True,Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
mdt,Mbere,Niger-Kordofanian languages,True,DeepSeek;Gemma,False,,False,,False,,True,Claude;OpenAI,False,,False,,False,,False,,False,,False,,True,Claude;DeepSeek;Gemma,True,Gemini;Gemma,True,DeepSeek,True,DeepSeek;Gemma;Llama;Mistral;Qwen,False,,missing_rationale;source_term;refusal_rationale;transliteration_rationale;placeholder_rationale;language_name_term,6
mgo,Metaʼ,Niger-Kordofanian languages,True,DeepSeek;OpenAI,False,,False,,True,Gemma,True,Claude;DeepSeek;Gemini;OpenAI,False,,False,,False,,False,,False,,False,,True,DeepSeek;Mistral;OpenAI,True,Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
cdo,Min Dong Chinese,Sino-Tibetan languages,False,,False,,True,Gemini;Gemma,True,Gemini;Gemma;Llama,False,,False,,False,,False,,False,,False,,True,Gemini;Gemma,True,Llama,True,Gemini;Gemma,False,,False,,True,Qwen,romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
nan,Min Nan Chinese,Sino-Tibetan languages,False,,False,,True,Gemma,True,Gemma;Llama,False,,False,,False,,False,,True,Llama,False,,True,Gemma,False,,True,Gemma;Mistral,False,,False,,True,Qwen,romanization;script_disagreement;unicode_escape;any_mixing;transliteration_rationale;unexpected_rationale_language,6
mdf,Moksha,Uralic languages,True,Gemma,False,,False,,True,Gemma;Llama;Mistral;Qwen,False,,False,,False,,False,,False,,False,,True,Gemma,True,Qwen,True,Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
mnw,Mon,Austro-Asiatic languages,True,Mistral,False,,False,,True,Gemma;Llama;Mistral;Qwen,True,Llama,False,,False,,False,,False,,False,,False,,True,DeepSeek;Gemini,True,Claude;DeepSeek;Gemini;Gemma;Llama;OpenAI,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
mro,Mru,Sino-Tibetan languages,False,,False,,False,,True,Claude;DeepSeek;Gemini;Gemma;Mistral;OpenAI;Qwen,True,Claude,False,,False,,False,,False,,False,,True,Gemma,True,Claude;DeepSeek;Gemini;Gemma,True,Claude;DeepSeek;Gemini;Gemma;OpenAI;Qwen,True,Gemini,False,,False,,script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;placeholder_rationale,6
ttt,Muslim Tat,Indo-European languages,True,Mistral,False,,False,,True,DeepSeek;Gemini;Gemma;Llama;Mistral;Qwen,False,,False,,False,,False,,False,,False,,True,Llama,True,OpenAI;Qwen,True,Gemma;Qwen,False,,False,,True,Qwen,missing_rationale;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
tnr,Ménik,Niger-Kordofanian languages,False,,False,,False,,True,Qwen,True,Claude;DeepSeek;Gemini;OpenAI,False,,False,,False,,False,,False,,False,,True,Claude;DeepSeek;Gemini;Mistral;OpenAI,True,Gemini;Gemma,True,Gemini,False,,True,Qwen,script_disagreement;source_term;refusal_rationale;transliteration_rationale;placeholder_rationale;unexpected_rationale_language,6
gld,Nanai,Altaic languages,False,,False,,False,,True,Llama;Qwen,False,,False,,False,,False,,True,Llama,False,,True,Llama,True,DeepSeek;Gemma,True,Gemini;Gemma,False,,False,,True,Qwen,script_disagreement;unicode_escape;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
new,Newar,Sino-Tibetan languages,True,Gemini,False,,True,Gemma,True,Gemma,False,,False,,False,,False,,False,,False,,True,Gemma,True,Gemma;Mistral,True,Claude;DeepSeek;Gemini;Gemma;Mistral;OpenAI;Qwen,False,,False,,False,,missing_rationale;romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale,6
fia,Nobiin,Nilo-Saharan languages,True,DeepSeek;Gemma,False,,False,,True,Gemini;Gemma;OpenAI;Qwen,True,Claude;Qwen,False,,False,,False,,False,,False,,False,,True,DeepSeek;OpenAI,True,Claude;Gemini;Gemma;OpenAI,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
snf,Noon,Niger-Kordofanian languages,True,DeepSeek;Gemma,False,,False,,True,Gemini;Mistral;Qwen,True,Claude;Gemini;OpenAI,False,,False,,False,,False,,False,,False,,True,Gemini;Llama,True,Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
kxm,Northern Khmer,Austro-Asiatic languages,False,,True,Qwen,False,,True,Claude;DeepSeek;OpenAI,False,,False,,False,,False,,False,,False,,True,Qwen,True,Gemma,True,Claude;Gemini;Gemma;OpenAI;Qwen,False,,False,,True,Qwen,mixed_script;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
ttm,Northern Tutchone,North American Indian languages,True,DeepSeek;Gemma;Qwen,False,,False,,True,Mistral,True,Claude;OpenAI,False,,True,DeepSeek,False,,False,,False,,False,,True,Claude;DeepSeek;Gemini;Gemma,True,Claude;DeepSeek;Gemini;Gemma,False,,False,,False,,missing_rationale;script_disagreement;source_term;repetition_loop;refusal_rationale;transliteration_rationale,6
peo,Old Persian,Indo-European languages,True,OpenAI,False,,False,,True,Claude;Gemini;Gemma;Llama;OpenAI;Qwen,True,Gemini,False,,False,,False,,False,,False,,False,,True,DeepSeek;Gemini;Gemma,True,Claude;Gemma;Mistral;OpenAI;Qwen,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
osa,Osage,North American Indian languages,True,OpenAI,False,,False,,True,Gemma;OpenAI,False,,False,,False,,True,Gemma,False,,False,,False,,True,DeepSeek;Gemini;Gemma;Qwen,True,Gemini,True,DeepSeek,False,,False,,missing_rationale;script_disagreement;extreme_term_length;refusal_rationale;transliteration_rationale;placeholder_rationale,6
prd,Parsi-Dari,Indo-European languages,False,,True,Llama,False,,True,Llama,False,,False,,False,,False,,False,,False,,True,Llama,True,Mistral,True,Claude;Gemini,False,,False,,True,Qwen,mixed_script;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
pi,Pāli,Indo-European languages,True,Gemma;Qwen,True,Gemma,False,,True,DeepSeek;Gemini;Gemma;Mistral;OpenAI,False,,False,,False,,False,,False,,False,,True,Gemma,True,DeepSeek;Gemini;Gemma;Qwen,True,DeepSeek;Gemini;Gemma;OpenAI;Qwen,False,,False,,False,,missing_rationale;mixed_script;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale,6
lsm,Saamia,Niger-Kordofanian languages,True,Gemma,False,,False,,True,Qwen,True,Claude;OpenAI,False,,False,,False,,False,,False,,False,,True,Gemini,True,Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
smp,Samaritan,Artificial languages,True,Gemma,False,,False,,True,Claude;DeepSeek;Gemini;Gemma;Llama;Mistral;OpenAI;Qwen,True,Claude,False,,False,,False,,False,,False,,False,,True,Claude;DeepSeek,True,Claude;DeepSeek;Gemini;Gemma;Llama;Mistral;OpenAI,False,,False,,True,Llama;Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
sbp,Sangu,Niger-Kordofanian languages,True,Mistral,False,,False,,True,Qwen,True,OpenAI,False,,False,,False,,False,,False,,False,,True,Gemini,True,Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
sa,Sanskrit (Saṁskṛta),Indo-European languages,False,,False,,True,Gemma,True,Gemma;Llama,False,,False,,False,,False,,False,,False,,True,Gemma,True,Gemma;OpenAI,True,Claude;DeepSeek;Gemini;Gemma;OpenAI;Qwen,False,,False,,True,Qwen,romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
sei,Seri,Language isolate,True,Gemma,False,,False,,True,Qwen,True,Claude;OpenAI,False,,False,,False,,False,,False,,False,,True,Claude;DeepSeek;Gemini,True,Gemini,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
sd,Sindhi,Indo-European languages,False,,True,Llama,False,,True,Mistral,False,,False,,False,,False,,False,,False,,True,Llama,True,Mistral;OpenAI,True,Claude;DeepSeek;Gemini;Gemma;Llama;OpenAI;Qwen,False,,False,,True,Llama,mixed_script;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
srb,Sora,Austro-Asiatic languages,False,,False,,False,,True,DeepSeek;Gemini;Gemma;Llama;Mistral;Qwen,True,Claude;DeepSeek;OpenAI,False,,False,,False,,False,,False,,True,Qwen,True,DeepSeek;OpenAI,True,Claude;Gemini;Gemma;OpenAI,False,,False,,True,Qwen,script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
hnd,Southern Hindko,Indo-European languages,False,,True,Llama,False,,True,Llama,False,,False,,False,,False,,False,,False,,True,Llama,True,DeepSeek,True,Claude;Gemini;Gemma;Mistral;OpenAI,False,,False,,True,Qwen,mixed_script;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
sou,Southern Thai,Tai-Kadai languages,False,,False,,True,Gemma;Llama,True,Gemma;Llama,False,,False,,False,,False,,False,,False,,True,Gemma;Llama,True,OpenAI,True,Claude;DeepSeek;Gemini;Gemma,False,,False,,True,Qwen,romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
tce,Southern Tutchone,North American Indian languages,True,Gemma,False,,False,,False,,True,Claude;OpenAI,True,OpenAI,True,DeepSeek,False,,False,,False,,False,,True,Claude;DeepSeek;Gemini;OpenAI,True,DeepSeek;Gemma,False,,False,,False,,missing_rationale;source_term;placeholder_term;repetition_loop;refusal_rationale;transliteration_rationale,6
suz,Sunwar,Sino-Tibetan languages,True,Gemma,False,,False,,True,Gemma;Llama;Mistral;OpenAI;Qwen,True,OpenAI,False,,False,,False,,False,,False,,False,,True,Claude;DeepSeek;Gemini;Gemma,True,Claude;Gemini;Gemma;OpenAI,True,Gemini,False,,False,,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;placeholder_rationale,6
sus,Susu,Niger-Kordofanian languages,True,OpenAI,False,,False,,True,Qwen,True,Gemini;Google Translate;OpenAI,False,,False,,False,,False,,False,,False,,True,DeepSeek;Gemini;Gemma;Mistral;OpenAI,True,DeepSeek;Gemma;Mistral,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
syl,Sylheti,Indo-European languages,False,,False,,True,Gemma;Mistral,True,Claude;Mistral,False,,False,,False,,False,,False,,False,,True,Gemma;Mistral,True,OpenAI,True,Claude;DeepSeek;Gemini;Gemma;OpenAI;Qwen,False,,False,,True,Qwen,romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
tdd,Tai Nüa,Tai-Kadai languages,False,,True,Gemma;Qwen,False,,True,Claude;Gemini;Gemma;Llama;Mistral;OpenAI;Qwen,True,Llama;Qwen,False,,False,,False,,False,,False,,True,Gemma;Llama;Qwen,True,Llama;Qwen,True,Gemini;Gemma;Qwen,False,,False,,False,,mixed_script;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale,6
trv,Taroko,Austronesian languages,True,Qwen,False,,False,,True,OpenAI;Qwen,True,Gemini;OpenAI,False,,False,,False,,False,,False,,False,,True,DeepSeek;Gemini;Gemma;OpenAI,True,Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
twq,Tasawaq,Nilo-Saharan languages,True,Gemma,False,,False,,True,Gemini;Mistral,True,Claude;DeepSeek;OpenAI,False,,False,,False,,False,,False,,False,,True,Mistral,True,Gemini,False,,True,DeepSeek;Llama;Mistral;OpenAI;Qwen,False,,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;language_name_term,6
th,Thai,Tai-Kadai languages,True,Llama,False,,False,,True,Llama,False,,False,,False,,False,,True,Llama,False,,True,Claude,False,,True,Claude;DeepSeek;Gemini;Gemma,False,,False,,True,Mistral;Qwen,missing_rationale;script_disagreement;unicode_escape;any_mixing;transliteration_rationale;unexpected_rationale_language,6
bo,Tibetan,Sino-Tibetan languages,True,Llama,True,Qwen,False,,True,Llama;Qwen,False,,False,,False,,False,,False,,False,,True,Qwen,False,,True,DeepSeek;Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;mixed_script;script_disagreement;any_mixing;transliteration_rationale;unexpected_rationale_language,6
tli,Tlingit,North American Indian languages,True,Gemma,False,,False,,False,,True,Gemini;OpenAI,False,,False,,True,Gemini,False,,False,,False,,True,Gemini,True,OpenAI,False,,True,Gemini,False,,missing_rationale;source_term;extreme_term_length;refusal_rationale;transliteration_rationale;language_name_term,6
dtm,Tomo Kan Dogon,Nilo-Saharan languages,True,Gemma;OpenAI,False,,False,,True,Qwen,True,OpenAI,False,,False,,False,,False,,False,,False,,True,DeepSeek;Gemini;Gemma;Mistral,True,Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
tkr,Tsakhur,Caucasian languages,True,Gemma,False,,False,,True,Llama;Mistral,True,Mistral,False,,False,,False,,False,,False,,True,Gemma;Mistral;Qwen,True,Gemma;Mistral;OpenAI,True,Gemma,False,,False,,False,,missing_rationale;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale,6
tsj,Tshangla,Sino-Tibetan languages,False,,False,,True,Gemma,True,Claude;DeepSeek;Gemini;Gemma;Llama;Mistral;OpenAI;Qwen,True,Claude;Mistral,False,,False,,False,,False,,False,,True,Gemma,True,Claude;DeepSeek;Gemini;Gemma;OpenAI,True,DeepSeek;Gemini;Gemma,False,,False,,False,,romanization;script_disagreement;source_term;any_mixing;refusal_rationale;transliteration_rationale,6
wbq,Waddar,Indo-European languages,True,OpenAI,False,,False,,True,Claude;DeepSeek;Gemini;Gemma;Llama;OpenAI;Qwen,True,Claude,False,,False,,False,,False,,False,,False,,True,Claude;DeepSeek;Gemini;Gemma,True,Claude;DeepSeek;Gemini;Gemma;OpenAI,False,,True,Mistral,False,,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale;language_name_term,6
lah,Western Panjabi,Indo-European languages,False,,True,Llama,False,,True,Gemma;Llama;Mistral;OpenAI;Qwen,False,,False,,False,,False,,False,,False,,True,Llama,True,DeepSeek;OpenAI,True,Claude;DeepSeek;Gemini;Gemma;OpenAI,False,,False,,True,Llama;Qwen,mixed_script;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
xav,Xavánte,South American Indian languages,True,DeepSeek;Gemma,False,,False,,False,,True,DeepSeek;OpenAI,True,OpenAI,False,,False,,False,,False,,False,,True,Claude;DeepSeek;Gemini;Gemma,True,Gemini;Gemma,True,Gemini;Gemma,False,,False,,missing_rationale;source_term;placeholder_term;refusal_rationale;transliteration_rationale;placeholder_rationale,6
hsn,Xiang Chinese,Sino-Tibetan languages,True,Llama,True,Gemma,False,,True,Gemma;Llama,False,,False,,False,,False,,False,,False,,True,Gemma,False,,True,Gemma,False,,False,,True,Qwen,missing_rationale;mixed_script;script_disagreement;any_mixing;transliteration_rationale;unexpected_rationale_language,6
sah,Yakut,Altaic languages,True,Mistral,False,,False,,True,Llama,False,,False,,False,,False,,False,,False,,True,Gemini,True,Mistral,True,Gemini;Gemma,False,,False,,True,Qwen,missing_rationale;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
za,"Zhuang, Chuang",Tai-Kadai languages,False,,False,,True,Gemma,True,Claude;DeepSeek;Gemini;Gemma;Mistral;OpenAI,False,,False,,False,,False,,False,,False,,True,Gemma;Qwen,True,Gemini;Gemma;OpenAI,True,Gemini;Gemma;Mistral,False,,False,,True,Qwen,romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,6
bss,Akoose,Niger-Kordofanian languages,True,DeepSeek;Gemma;OpenAI,False,,False,,True,Qwen,True,Claude;OpenAI,False,,False,,False,,False,,False,,False,,True,DeepSeek;Gemini;Gemma;Mistral;OpenAI,True,DeepSeek;Gemini;Gemma,False,,False,,False,,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale,5
njo,Ao Naga,Sino-Tibetan languages,True,DeepSeek,False,,False,,True,Llama,True,Claude;DeepSeek;Gemini;Mistral;OpenAI,False,,False,,False,,False,,False,,False,,True,Claude;DeepSeek;Gemini;Gemma;Mistral,True,Gemini;Gemma,False,,False,,False,,missing_rationale;script_disagreement;source_term;refusal_rationale;transliteration_rationale,5
aii,Assyrian Neo-Aramaic,Afro-Asiatic languages,True,Gemma;Mistral;OpenAI,True,Qwen,False,,True,Llama;Qwen,False,,False,,False,,False,,False,,False,,True,Qwen,False,,True,DeepSeek;Gemini;OpenAI,False,,False,,False,,missing_rationale;mixed_script;script_disagreement;any_mixing;transliteration_rationale,5
atj,Atikamekw,North American Indian languages,True,DeepSeek;OpenAI;Qwen,False,,False,,False,,True,OpenAI,False,,False,,False,,False,,False,,False,,True,Gemini;OpenAI,True,Gemma,False,,True,Gemini;Gemma;Llama;OpenAI;Qwen,False,,missing_rationale;source_term;refusal_rationale;transliteration_rationale;language_name_term,5
cch,Atsam,Niger-Kordofanian languages,True,Gemma;OpenAI,False,,False,,False,,True,Claude;DeepSeek;Gemini;OpenAI,False,,False,,False,,False,,False,,False,,True,Claude;DeepSeek;Gemini,True,DeepSeek;Gemma,False,,True,Gemini;Mistral,False,,missing_rationale;source_term;refusal_rationale;transliteration_rationale;language_name_term,5
av,Avaric,Caucasian languages,False,,False,,False,,True,Llama;Mistral;Qwen,False,,False,,False,,False,,False,,False,,True,Claude;Gemini;Llama;OpenAI;Qwen,True,Gemini;OpenAI,True,Gemini;Gemma,False,,False,,True,Gemini;Qwen,script_disagreement;any_mixing;refusal_rationale;transliteration_rationale;unexpected_rationale_language,5
awa,Awadhi,Indo-European languages,False,,False,,True,Gemma;Llama,True,Gemma;Llama,False,,False,,False,,False,,False,,False,,True,Gemma;Llama,True,Gemma,True,Claude;DeepSeek;Gemini;Gemma;OpenAI,False,,False,,False,,romanization;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale,5
bft,Balti,Sino-Tibetan languages,True,Llama,False,,False,,True,Claude;DeepSeek;Gemini;Gemma;Llama;Mistral;OpenAI;Qwen,False,,False,,False,,False,,False,,False,,False,,True,DeepSeek;Qwen,True,Claude;Gemini;Gemma;Llama,False,,False,,True,Qwen,missing_rationale;script_disagreement;refusal_rationale;transliteration_rationale;unexpected_rationale_language,5
bap,Bantawa,Sino-Tibetan languages,False,,True,Gemma,False,,True,Gemma;Llama;Mistral;Qwen,False,,False,,False,,False,,False,,False,,True,Gemma,True,DeepSeek;Gemma;Mistral;OpenAI;Qwen,True,Claude;DeepSeek;Gemini;Gemma;OpenAI,False,,False,,False,,mixed_script;script_disagreement;any_mixing;refusal_rationale;transliteration_rationale,5
