language_code,language_name,language_family,term_source,category,rule_fired,evidence,has_wikipedia,rationales_are_english,n_services_with_translation,n_services_with_rationale,n_unique_raw,n_unique_normalized,max_edit_distance,loan_words_found,has_script_disagreement,scripts_found,absence_signals,construction_signals,debate_signals,mean_rationale_similarity,claude_rationale_snippet,openai_rationale_snippet,gemini_rationale_snippet,ollama_rationale_snippet,service_translations
mdt,Mbere,Niger-Kordofanian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,Loan words present: ['digital'],False,True,7,6,7,7,23,digital,False,Latin,Claude:untranslated; Claude:\bloanword\b; Gemini:\bborrowed\b; Gemini:\bborrowing\b; DeepSeek:\bborrowing\b; Gemma:\bborrowing\b,Claude:create.*term; Claude:formation; Gemini:combining; Gemini:prefix,,0.2494,"I cannot provide a reliable translation of 'Digital Humanities' into Mbere (ISO 639-3: mdt) as I do not have sufficient knowledge of this language's vocabulary, particularly for modern academic and technological terminology. Mbere is a Bantu language spoken in Kenya, and specialized terms like 'Digi",,"Mbere is a Bantu language, and like many Bantu languages, it often forms new terms by combining existing words or by calquing concepts. 

*   **'Dijitali'**: This is a direct borrowing from 'digital'. Loanwords are common in Mbere, especially for modern technical terms for which there isn't an exist",,"{'Claude': 'Ũmenyereri wa Dijitali', 'Gemini': 'Mihingo ya Dijitali', 'DeepSeek': 'Mbere mbere mbere', 'Llama': 'Mbere Kɛlɛmɛnɛ Tɔmɔ', 'Gemma': 'Mbere ŋɔɔtɔɔ dii lɛɛŋ', 'Qwen': 'Muhimiyeti ya Ulaya Digital', 'Mistral': 'Ntunga ya Inanga Digitale'}"
men,Mende,Niger-Kordofanian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,"Loan words present: ['digital', 'humanities']",False,True,8,8,7,7,24,digital; humanities,False,Latin,Claude:\bloanword\b; OpenAI:\bborrowed\b,Claude:compound; Gemini:compound; DeepSeek:combining; Llama:combining,,0.2353,"This translation combines 'Kɔmpyuta' (computer/digital technology, a common loanword in Mende) with 'Nɔmɔyɛlɛ' (knowledge/learning/humanities, derived from 'nɔmɔ' meaning knowledge/wisdom). This captures both the digital/technological aspect and the humanities/knowledge dimension of the term. Altern","The Mende language, primarily spoken in Sierra Leone, may not have a direct translation for specialized academic terms like 'Digital Humanities.' Such terms are often borrowed directly from English or explained using descriptive phrases. Without a widely recognized equivalent in Mende, the term is l","Mende, like many other African languages, often adopts or loans technical and academic terms directly from English or other dominant languages when a direct, culturally equivalent translation doesn't exist or would be overly complex. 'Digital Humanities' is a relatively new and specialized academic ",,"{'OpenAI': 'Digital Humanities', 'Claude': 'Kɔmpyuta Nɔmɔyɛlɛ', 'Gemini': 'Digital Humanities', 'DeepSeek': 'Kɛlɛi Kpɛlɛi Kɔlɔi', 'Llama': 'Kɔmputa Sosay', 'Gemma': ""Ŋa'a ŋɔɔŋɔɔ dɔŋ"", 'Qwen': 'Dunyabanta Ditigi', 'Mistral': 'Sikilem Digitali na Humani'}"
mer,Meru,Niger-Kordofanian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,"Loan words present: ['digital', 'humanities']",False,True,8,8,8,8,25,digital; humanities,False,Latin,Claude:\bborrowed\b; Claude:\bloanword\b; OpenAI:untranslated; OpenAI:\bborrowed\b; Gemma:\bborrowed\b; Qwen:\btransliterat,Gemini:construct; DeepSeek:compound; Gemma:prefix,,0.2305,"In Meru (Kimeru), 'Digital' is borrowed as 'Dijitali' (a common practice for modern technological terms), and 'Humanities' translates to 'ya Ũtaara' where 'ya' is a possessive marker and 'Ũtaara' refers to human knowledge, culture, and learning in the humanities sense. This combines the loanword for","The Meru language, primarily spoken by the Meru people in Kenya, may not have a direct translation for specialized academic terms like 'Digital Humanities.' Such terms are often borrowed directly from English or explained using descriptive phrases. Therefore, 'Digital Humanities' remains untranslate","The Meru term 'Urimu' refers to 'humanities' or 'culture' in a broad sense, encompassing knowledge, arts, and human endeavors. 'wa Kidijitali' is a possessive construction meaning 'of digital' or 'digital-'. Therefore, 'Urimu wa Kidijitali' directly translates to 'Humanities of Digital' or 'Digital ",,"{'OpenAI': 'Digital Humanities', 'Claude': 'Ũũgĩ wa Dijitali', 'Gemini': 'Ũtaaro wa Kĩmeru kĩa Kĩdigital', 'DeepSeek': 'Mũtũrĩre wa Ũgĩ wa Kĩdigito', 'Llama': 'Makala ya Kielektroniki', 'Gemma': 'E-ngisire-ngi-ngi-ngi-ngi', 'Qwen': 'DIGITALI JIWANI', 'Mistral': 'Husika wa Diguwali'}"
mey,mey,Afro-Asiatic languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 5 distinct outputs; construction signals: 1,False,True,8,8,5,5,23,,True,Arabic; Latin,Gemma:\bborrowed\b; Gemma:\bborrowing\b,Llama:prefix,,0.2759,Hassaniyya is a variety of Arabic spoken in Mauritania and surrounding regions. The term 'Digital Humanities' would be translated using Modern Standard Arabic vocabulary that is understood in Hassaniyya-speaking contexts. 'al-ʿulūm al-insāniyya' (العلوم الإنسانية) means 'humanities/human sciences' a,"Hassaniyya, a variety of Arabic, often uses Modern Standard Arabic terms for academic and technical concepts. 'Digital Humanities' translates to 'العلوم الإنسانية الرقمية', where 'العلوم الإنسانية' means 'humanities' and 'الرقمية' means 'digital'. This translation maintains the meaning and context o","Hassaniyya, like many Arabic dialects, often adopts or calques modern technical terms from Standard Arabic. 'العلوم الإنسانية' (al-ʿulūm al-insāniyya) is the direct translation for 'Humanities' in Standard Arabic and is readily understood in Hassaniyya. 'الرقمية' (ar-raqamiyya) is the standard Arabi",,"{'OpenAI': 'العلوم الإنسانية الرقمية', 'Claude': 'العلوم الإنسانية الرقمية', 'Gemini': 'العلوم الإنسانية الرقمية', 'DeepSeek': 'العلوم الإنسانية الرقمية', 'Llama': 'al-Adab al-Digitāl', 'Gemma': 'Tamaslit Ṭṭerṭiġ', 'Qwen': 'الانسانیات الرقمیة', 'Mistral': 'الإنسانية الدقيقة'}"
mfa,Pattani Malay,Austronesian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,Loan words present: ['digital'],False,True,8,8,6,6,22,digital,False,Latin,Claude:\bloanword\b; OpenAI:\bborrowed\b; Gemini:\btransliterat; DeepSeek:\bloanword\b; Gemma:\bloanword\b,,,0.2785,Pattani Malay (Jawi: باهاس ملايو ڤتاني) is a Malayic language spoken in southern Thailand. The translation follows standard Malay vocabulary where 'Digital' remains as 'Digital' (a widely adopted loanword in Malay varieties) and 'Humanities' translates to 'Kemanusiaan' (from 'kemanusiaan' meaning hu,"The term 'Digital Humanities' refers to the interdisciplinary field that combines the use of digital technology with the study of humanities. In Pattani Malay, 'Kemanusiaan' translates to 'Humanities' and 'Digital' remains the same as it is a borrowed term commonly used in many languages. Therefore,","Pattani Malay, like many other Malay dialects, often adopts English terms directly, especially for modern, specialized concepts, and transliterates them into the Jawi script. 'Digital Humanities' is a relatively new and specific academic field. A direct translation might not be immediately understoo",,"{'OpenAI': 'Kemanusiaan Digital', 'Claude': 'Ilmu Kemanusiaan Digital', 'Gemini': 'Kemanusiaan Digital', 'DeepSeek': 'Kemanusiaan Digital', 'Llama': 'Budaya Digital', 'Gemma': 'Ilim Manusia Digital', 'Qwen': 'Sains Digital Seni Rupa', 'Mistral': 'Kebudayaan Digital'}"
mfe,Morisyen,Creoles and pidgins,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,Loan words present: ['digital'],False,True,10,8,10,10,20,digital,False,Latin,Gemini:\bborrowing\b; DeepSeek:\bborrowed\b; Gemma:\bborrowing\b,Claude:compound; Gemini:compound; Gemini:combining; Qwen:combining; Qwen:create.*term; Mistral:formation,,0.2614,"In Morisyen (Mauritian Creole), 'Humanities' translates to 'Limanite' (from French 'humanités'), and 'Digital' translates to 'Nimérik' (from French 'numérique'). The compound term follows the standard Morisyen word order where the adjective typically follows the noun, similar to French structure.","In Morisyen, 'Digital Humanities' can be translated as 'Iminite Digital'. 'Iminite' is the term used for 'Humanities', and 'Digital' remains the same as it is commonly used in its English form in many languages, including Morisyen, due to the influence of technology and globalization.","Morisyen, being a creole language, often borrows words from its lexifier (French) and adapts them phonetically and grammatically. 

*   **'Digital'**: The most direct and commonly understood adaptation of 'digital' in Morisyen is 'Dijital'. It's a direct borrowing from French 'digital' and is widely",,"{'Google Translate': 'Limanite Dizital', 'EasyNMT': ""BANN LARTIK L'ETUDE"", 'OpenAI': 'Iminite Digital', 'Claude': 'Limanite Nizimerik', 'Gemini': 'Limannite Dijital', 'DeepSeek': 'Zistwar Digital', 'Llama': 'Informatika ya Kihistoria', 'Gemma': 'Lemanitèr Ziska Dijital', 'Qwen': 'Mannumental Jistikey', 'Mistral': 'Informatika Humana'}"
mfv,mfv,Niger-Kordofanian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,"Loan words present: ['digital', 'humanities']",False,True,8,7,6,6,34,digital; humanities,True,CJK; Latin,Claude:no established; Claude:untranslated; Claude:\bborrowed\b; Claude:retain.*english; OpenAI:\bborrowed\b; DeepSeek:no native,DeepSeek:compound; Gemma:combining,,0.2246,"Mandjak (ISO 639-3: mfv) is a language spoken primarily in Guinea-Bissau and Senegal. There is no established translation for the modern academic term 'Digital Humanities' in Mandjak, as this is a specialized contemporary concept that typically remains untranslated or is borrowed directly in many la","The Mandjak language (ISO mfv) may not have a direct translation for specialized academic terms like 'Digital Humanities.' In many cases, such terms are borrowed directly from English or another dominant language, especially in academic and technical contexts. Therefore, the term 'Digital Humanities","Mandjak, like many West African languages, does not have a direct equivalent for 'digital' or 'humanities' as academic disciplines. A literal translation would be nonsensical or extremely long and cumbersome. Therefore, the most pragmatic approach is to use the English term directly. This is a commo",,"{'OpenAI': 'Digital Humanities', 'Claude': 'Digital Humanities', 'Gemini': 'Digital Humanities', 'DeepSeek': 'Dijitalu Humanyu', 'Llama': 'Kɛlɛmɛnɔŋ kɛrɛtɛ', 'Gemma': 'Ŋaŋgɛɛlɛɛ dɛɛlɛɛ', 'Qwen': '数位人文', 'Mistral': 'Informatique des sciences humaines'}"
mg,Malagasy,Austronesian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,"Loan words present: ['digital', 'humanities']",False,True,11,8,11,11,32,digital; humanities,False,Latin,Gemini:\bborrowing\b; Gemma:\bborrowing\b,Claude:compound; Claude:combining,,0.279,"This translation breaks down as follows: 'Fahaiza-manaon'olombelona' (humanities, literally 'human knowledge/sciences') + 'nomerika' (digital). In Malagasy, compound terms typically place the modifier after the main noun. Alternative translations might include 'Siansa momba ny olombelona nomerika' (","The term 'Digital Humanities' refers to the interdisciplinary field that combines the use of digital technology with the study of humanities. In Malagasy, 'siansa maha-olombelona' translates to 'humanities,' and 'nomerika' translates to 'digital.' Therefore, the combination of these terms accurately","The translation 'Fahaizana Digital ho an'ny Olombelona' is a direct and meaningful rendition of 'Digital Humanities' into Malagasy. Let's break down the components:

*   **Fahaizana**: This word means 'knowledge,' 'expertise,' 'skill,' or 'discipline.' It effectively captures the 'Humanities' aspect",,"{'Google Translate': 'Siansa momba ny maha-olona nomerika', 'EasyNMT': 'Maha-olombelona nomerika', 'Lingvanex': 'Digital Humanities', 'OpenAI': 'Siansa maha-olona nomerika', 'Claude': 'Fahaizana Nomerika momba ny Olombelona', 'Gemini': ""Fahaizana Digital ho an'ny Olombelona"", 'DeepSeek': 'Humanités Numériques', 'Llama': 'Tantara Fampianarana Digitaly', 'Gemma': 'Zava-manasao Mavitrika', 'Qwen': 'Fanarantsoa Filozofia', 'Mistral': 'Inin-ditsiky'}"
mga,"Irish, Middle (900-1200)",Indo-European languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 8 distinct outputs; construction signals: 10,False,True,8,8,8,8,24,,False,Latin,Claude:\bborrowed\b; OpenAI:no direct; Gemini:no direct; Gemini:\bloanword\b; Llama:\bborrowed\b,Claude:construct; Gemini:etymolog; Gemini:combining; Gemini:neologism; Gemini:construct; DeepSeek:combining; DeepSeek:reconstructed; DeepSeek:construct; DeepSeek:suffix; Gemma:formation,,0.293,"This translation is anachronistic as Middle Irish (900-1200 CE) predates both the concepts of 'digital' technology and 'humanities' as an academic discipline. However, attempting a period-appropriate construction: 'Ealadhna' (arts/skills/learned disciplines) represents the closest Middle Irish conce","The term 'Digital Humanities' refers to the interdisciplinary field that combines the use of digital technology with the study of humanities. In Middle Irish, the word 'daonnaíocht' can be used to represent 'humanities,' derived from 'duine' meaning 'person' or 'human.' The term 'dhigiteach' is a mo","The term 'Digital Humanities' is a modern concept, and as such, there is no direct equivalent in Middle Irish (900-1200 AD). To translate it, we must approximate using the vocabulary and grammatical structures available during that period. 

*   **'Digital'**: This is the most challenging part. The ",,"{'OpenAI': 'Daonnaíocht Dhigiteach', 'Claude': 'Eólaíochtaí Digiteacha Daonna', 'Gemini': 'Dána Digiteacha', 'DeepSeek': 'Dáineolaíocht Dhigiteach', 'Llama': 'Digele Hwæðum', 'Gemma': 'Fíor-Réaltaí an Fhírinne', 'Qwen': 'Saotharlann Deantach', 'Mistral': 'Eadromhachtaí dísearta'}"
mgh,Makhuwa-Meetto,Niger-Kordofanian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,Loan words present: ['digital'],False,True,8,7,8,8,22,digital,False,Latin,Claude:\bborrowing\b; OpenAI:\bborrowed\b; Gemini:\bborrowing\b; Gemini:\btransliterat; Gemma:\bborrowing\b,Claude:construct; Claude:prefix; OpenAI:combining; DeepSeek:combining; DeepSeek:neologism; Llama:prefix; Gemma:compound; Gemma:construct; Qwen:construct,,0.2876,"This translation adapts 'Digital Humanities' into Makhuwa-Meetto by borrowing and adapting the Portuguese/international terms. 'Ehumanidadhe' adapts 'humanidades' (humanities) with the Makhuwa noun class prefix 'e-', and 'dha Dhijitale' means 'of/related to digital' using the associative constructio","The term 'Digital Humanities' refers to the intersection of digital technology and the disciplines of the humanities. In Makhuwa-Meetto, 'Uphiyu' can be used to denote 'humanities' or 'knowledge,' and 'Dijitali' is a borrowed term from English, commonly used to refer to digital technology. Therefore","Makhuwa-Meetto, like many Bantu languages, often borrows technical or abstract terms directly from English or other widely spoken languages, especially when a precise indigenous equivalent doesn't exist or would be overly complex. 

*   **'Digital'**: The most common approach for 'digital' in many A",,"{'OpenAI': 'Uphiyu wa Dijitali', 'Claude': 'Sayansi ya Vaathu va Dijitali', 'Gemini': 'Uhumani wa Digitali', 'DeepSeek': 'Uhimya wa Nsuku wa Nsuku', 'Llama': 'Tivumbuza ya Digital', 'Gemma': 'Makhungu ya Dijitale', 'Qwen': 'Mphikoziyombe Digitali', 'Mistral': 'Teknoloji ya Dini na Insanu'}"
mgo,Metaʼ,Niger-Kordofanian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,"Loan words present: ['digital', 'humanities']",False,True,7,7,7,7,22,digital; humanities,True,Latin; Mongolian,OpenAI:\bborrowed\b; Gemma:\btransliterat,DeepSeek:combining,,0.1739,"In Meta' (mgo), this translates as 'Knowledge/Learning of Humans with Computer'. 'Ndzɨ a Mbɨ' means 'knowledge/learning of humans' (humanities), and 'nə Kɔmpyutə' means 'with/and computer' (digital). This captures the interdisciplinary nature of Digital Humanities as the application of computational","The term 'Digital Humanities' does not have a direct equivalent in the Metaʼ language (ISO mgo). It is a specialized term that refers to an interdisciplinary field at the intersection of digital technology and the humanities. In many cases, such terms are borrowed directly from English or other lang",,,"{'OpenAI': 'Digital Humanities', 'Claude': 'Ndzɨ a Mbɨ nə Kɔmpyutə', 'DeepSeek': 'Mɛtaʼ nɛ kɛnɛnɛn', 'Llama': 'Kastom Bilong Kompjuta', 'Gemma': 'ᡬᡵᡬᡵᡶᡮᡵᡬᡵᡶᡮᡵᡬ', 'Qwen': 'Muhimu ya Kimani', 'Mistral': 'Humano Digitale'}"
mgp,Eastern Magar,Sino-Tibetan languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 4 distinct outputs; construction signals: 3,False,True,7,8,4,4,16,,True,Devanagari; Latin,Claude:\bloanword\b; Claude:\btransliterat; OpenAI:\bborrowed\b; OpenAI:\btransliterat; Gemini:no established; Gemini:\btransliterat; DeepSeek:\bborrowed\b; DeepSeek:\btransliterat,Claude:suffix; OpenAI:combining; Gemma:combining,,0.2561,"Eastern Magar (ISO 639-3: mgp) is a Tibeto-Burman language spoken in Nepal that uses Devanagari script. The translation follows the pattern used in Nepali and other regional languages of Nepal. 'डिजिटल' (digital) is a loanword transliteration commonly used across South Asian languages, and 'मानविकी'","Eastern Magar, also known as Magar Kura, is a language spoken by the Magar people in Nepal. The term 'Digital Humanities' is a relatively modern concept and may not have a direct equivalent in Eastern Magar. Therefore, the translation uses a transliteration approach, combining 'डिजिटल' (digital) and","Eastern Magar (ISO mgp) is an endangered Tibeto-Burman language spoken in Nepal. There is no established or widely recognized term for 'Digital Humanities' in Eastern Magar. Therefore, the most practical and understandable approach is to use a transliteration of the English term. 

*   **डिजिटल (ḍij",,"{'OpenAI': 'डिजिटल मानविकी', 'Claude': 'डिजिटल मानविकी', 'Gemini': 'डिजिटल मानविकी', 'DeepSeek': 'डिजिटल मानविकी', 'Llama': 'म्याग्री डिजिटल मानवविज्ञान', 'Gemma': 'Digita Manbhu', 'Mistral': 'डिजिटल मानवीयता'}"
mgy,Mbunga,Niger-Kordofanian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,Loan words present: ['digital'],False,True,7,6,7,7,53,digital,False,Latin,Claude:\bborrowing\b; OpenAI:\bloanword\b; DeepSeek:\bborrowed\b,Claude:neologism; Claude:formation; OpenAI:combining; OpenAI:morpholog; Qwen:combining; Qwen:create.*term,Claude:either,0.271,There is insufficient documented information about the Mbunga language (ISO 639-3: mgy) to provide a reliable translation of 'Digital Humanities.' Mbunga is a Bantu language spoken in Tanzania with limited lexicographic resources available. Modern technical terms like 'Digital Humanities' would like,"The term 'Digital Humanities' can be translated into Mbunga by breaking it down into its components: 'Digital' and 'Humanities'. 'Digital' can be translated as 'Kidijitali', which is a loanword adapted to fit the phonetic and morphological patterns of the language. 'Humanities' can be translated as ",,,"{'OpenAI': 'Sayansi ya Kidijitali ya Kibinadamu', 'Claude': 'Manyiiko ga Chidijitali', 'DeepSeek': 'Mabhalo a Dijitari', 'Llama': 'Mbunga Kwa Digital', 'Gemma': 'Mbuŋa ŋɔɔ lɛɛŋ lɛɛŋ lɛɛŋ', 'Qwen': 'MugandaDigitale', 'Mistral': ""Teknoloji ya Bashili (Bashili meaning 'human beings' in Mbunga)""}"
mh,Marshallese,Austronesian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,"Loan words present: ['digital', 'humanities']",False,True,10,8,10,10,23,digital; humanities,False,Latin,Claude:\bborrowed\b; Claude:\bloanword\b; OpenAI:\btransliterat; Gemini:\bborrowing\b; DeepSeek:\bborrowed\b; Gemma:\bloanword\b,Gemini:formation; Llama:compound,,0.2842,"Marshallese does not have a standardized translation for 'Digital Humanities' as it is a specialized academic term. A literal approach would be 'Armij in Dijital' where 'armij' means 'people/humanity' and 'dijital' is the borrowed term for 'digital'. However, a more descriptive translation might be ","The term 'Digital Humanities' is translated into Marshallese by maintaining the English word 'Digital' due to the lack of a direct equivalent in Marshallese for modern technological terms. 'Humanities' is translated to 'Humani,' which is a transliteration that captures the essence of the term in the","The term 'Digital Humanities' is a specialized academic field. Marshallese, like many languages, often adopts or calques technical terms rather than creating entirely new ones, especially for concepts that are relatively new to the culture or are highly specific to a foreign academic context. 

*   ",,"{'Google Translate': 'Digital Humanities', 'EasyNMT': 'Ta ko Rej Wal̦o̦k ñan Armej?', 'OpenAI': 'Humani Digital', 'Claude': 'Armij in Dijital', 'Gemini': 'Jikin Kapeel eo an Digital', 'DeepSeek': 'Ri-ikdeelep eo an Digital', 'Llama': 'Aolepkaan anijjōn', 'Gemma': 'Kōkō ōlōkōkō jōkō', 'Qwen': 'Kiluvar Ereerij', 'Mistral': 'Kaj non Injil-ajel'}"
mhn,mhn,Indo-European languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,Loan words present: ['digital'],False,True,8,8,8,7,24,digital,False,Latin,OpenAI:\bborrowing\b; DeepSeek:\bborrowed\b; Gemma:\bborrowing\b,Gemini:compound; Gemma:combining,,0.2894,"Mòcheno is a Upper German dialect spoken in the Fersina Valley in Trentino, Italy, closely related to Bavarian and German. Since Mòcheno uses German-based vocabulary and structures, the translation follows the German term 'Digitale Geisteswissenschaften' (literally 'Digital Humanities'). The term 'd","The Mòcheno language, being a Germanic language, often borrows terms from German and other languages for modern concepts. 'Digital' is translated as 'Digitale', similar to German, and 'Humanities' is translated as 'Humanistìk', which is a direct borrowing and adaptation from the English term. This a","Mòcheno, like other Germanic languages, often forms compound nouns by concatenating words. 'Digital' translates directly to 'digitale'. For 'Humanities', a common approach in German (and thus Mòcheno, given its close relation) is to use 'Geisteswissenschaften' (sciences of the mind/spirit). The plur",,"{'OpenAI': 'Digitale Humanistìk', 'Claude': 'Digitale Geistesbissenschoftn', 'Gemini': 'Digitale Humanistik', 'DeepSeek': 'Digitale Menschheit', 'Llama': 'Digiàlles Umanitàes', 'Gemma': 'Umanità Digitala', 'Qwen': 'Dizjital Húmanistía', 'Mistral': 'Digital Humanitats'}"
mi,Māori,Austronesian languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 9 distinct outputs; construction signals: 4,False,True,10,8,9,9,21,,False,Latin,Gemma:\bborrowing\b,Gemini:compound; Llama:combining; Gemma:construct; Mistral:combining,,0.2813,"This translation combines 'Aronui' (humanities, liberal arts, or broad knowledge/learning) with 'Matihiko' (digital, electronic). This follows standard Māori translation conventions where 'Aronui' represents the humanities disciplines and 'Matihiko' (derived from 'mati' meaning screen/monitor and 'h","The term 'Digital Humanities' can be translated into Māori as 'Hangarau Tangata'. 'Hangarau' refers to technology or digital aspects, while 'Tangata' means people or humanity. This translation captures the essence of the interdisciplinary field that combines digital technology with the study of huma","The translation 'Mātauranga Matihiko Tangata' is a compound term designed to capture the essence of 'Digital Humanities' in Māori. 

*   **Mātauranga**: This term broadly means 'knowledge', 'understanding', 'education', or 'wisdom'. It is a foundational concept in Māori epistemology and fits well wi",,"{'Google Translate': 'Ngā Tikanga Mamati', 'Lingvanex': 'Mamati Tangata', 'OpenAI': 'Hangarau Tangata', 'Claude': 'Aronui Matihiko', 'Gemini': 'Mātauranga Matihiko Tangata', 'DeepSeek': 'Mātauranga Matihiko Tangata', 'Llama': 'Ngā Toi Matihiko', 'Gemma': 'Ngā Toahanga Numera', 'Qwen': 'Mātauranga Pae Tātou Kōrero', 'Mistral': 'Te Tari Hauora Pūkaha'}"
mic,Mi'kmaw,North American Indian languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 8 distinct outputs; construction signals: 8,False,True,8,8,8,8,24,,False,Latin,Gemini:\bloanword\b,Claude:combining; Claude:create.*term; OpenAI:combining; Gemini:formation; Llama:suffix; Llama:prefix; Gemma:combining; Gemma:suffix,,0.267,"This translation combines 'Kina'muokuom' (knowledge/learning/teaching) with 'Ta'n Telui-wikatikl' (that which is electronic/digital, literally 'that which works by electricity'). Mi'kmaw often creates new terms by combining existing words to express modern concepts. An alternative could be 'Wikatikl","The term 'Digital Humanities' is translated into Mi'kmaw by combining the concepts of 'digital' and 'humanities'. 'Ewlia'taqn' refers to 'digital' or 'electronic', and 'Mawi-tli'suti' refers to 'humanities' or 'the study of human culture'. This translation aims to convey the interdisciplinary nature","The term 'Digital Humanities' is a complex concept to translate directly into Mi'kmaw, as it involves both a modern technological aspect ('digital') and an academic field ('humanities'). There isn't a single existing Mi'kmaw word that encompasses both. Therefore, a descriptive approach is necessary.",,"{'OpenAI': ""Ewlia'taqn wjit Mawi-tli'suti"", 'Claude': ""Kina'muokuom Ta'n Telui-wikatikl"", 'Gemini': ""Wapna'qik Niskamijik"", 'DeepSeek': ""Kisu'lukewey na tujiw"", 'Llama': 'Kji-kjimujin', 'Gemma': 'Kweliyawik Niskamij', 'Qwen': 'Ligis Kewaqutinaq', 'Mistral': ""Kina'matigusitinik Mikmaq""}"
min,Minangkabau,Austronesian languages,Digital Humanities,STRUCTURAL_ABSENCE,rule_loanword_absence,Loan words present: ['digital'],False,True,9,8,5,5,20,digital,False,Latin,Claude:\bloanword\b; OpenAI:\bborrowed\b; DeepSeek:no native; DeepSeek:\bloanword\b; Llama:\bloanword\b,Claude:suffix; Claude:prefix; OpenAI:combining; Gemma:combining; Mistral:compound,,0.3307,"In Minangkabau, 'Kamanusiaan' translates to 'Humanities' (derived from 'manusia' meaning human/humanity with the prefix ka- and suffix -an indicating the field or domain), and 'Digital' remains 'Digital' as it is a widely adopted loanword in Indonesian and related languages including Minangkabau. Th","The term 'Digital Humanities' can be translated into Minangkabau as 'Humaniora Digital'. In Minangkabau, like in many other languages, the word 'digital' is often borrowed directly from English due to the lack of a native equivalent, especially in the context of technology. 'Humaniora' is a term use","Minangkabau, like many other Indonesian languages, often adopts loanwords from Indonesian (which in turn often adopts from English or Dutch) for modern or technical concepts. 'Digital' is commonly understood and used as 'digital' in Indonesian, and 'humanities' is 'humaniora'. Therefore, 'Humaniora ",,"{'Google Translate': 'Kamanusiaan Digital', 'OpenAI': 'Humaniora Digital', 'Claude': 'Humaniora Digital', 'Gemini': 'Humaniora Digital', 'DeepSeek': 'Humaniora Digital', 'Llama': 'Sains Digital Budaya', 'Gemma': 'Kamanusiaan Digital', 'Qwen': 'Penghuanumet Digital', 'Mistral': 'Ilmu Sosial dan Budaya Digital'}"
mk,Macedonian,Indo-European languages,Digital Humanities,TRANSMOGRIFICATION,rule_default_transmogrification,No Wikipedia; 5 distinct outputs; construction signals: 3,False,True,11,8,5,5,12,,False,Cyrillic,,Gemini:compound; Gemma:combining; Mistral:compound,,0.3766,The term 'Digital Humanities' in Macedonian is translated as 'Дигитални хуманистички науки' where 'дигитални' means 'digital' and 'хуманистички науки' means 'humanities' or 'humanistic sciences'. This is the standard academic translation used in Macedonian scholarly contexts. An alternative shorter ,"The term 'Digital Humanities' is translated into Macedonian as 'Дигитални хуманистички науки'. 'Дигитални' directly translates to 'Digital', and 'хуманистички науки' translates to 'Humanities'. This translation maintains the meaning and context of the original term, referring to the interdisciplinar","The term 'Digital Humanities' is a compound of 'Digital' and 'Humanities'. In Macedonian, 'Digital' translates to 'Дигитални' (Digi-tal-ni) when used as an adjective modifying a plural noun, and 'Humanities' translates to 'хуманистички науки' (hu-ma-nis-tich-ki nau-ki). 'Хуманистички' is the adjecti",,"{'Google Translate': 'Дигитални хуманистички науки', 'EasyNMT': 'Дигитални хуманости', 'Lingvanex': 'Дигитални хуманистички науки', 'OpenAI': 'Дигитални хуманистички науки', 'Claude': 'Дигитални хуманистички науки', 'Gemini': 'Дигитални хуманистички науки', 'DeepSeek': 'Дигитални хуманистички науки', 'Llama': 'Дигитални Умствени Науки', 'Gemma': 'Дигитални хуманистички науки', 'Qwen': 'Дигитални гуманитарски науки', 'Mistral': 'Дигитални хуманистике'}"
