language_code,language_name,language_family,term_source,has_wikipedia,n_services_with_data,mean_rationale_similarity,category,evidence,loan_words_found,absence_signals,construction_signals,debate_signals,n_unique_raw,n_unique_normalized,max_edit_distance,has_script_disagreement,scripts_found,script_per_service,script_signals,claude_rationale_snippet,openai_rationale_snippet,gemini_rationale_snippet,ollama_rationale_snippet,service_translations
ms,Malay,Austronesian languages,Digital Humanities,False,6,0.2847,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 1; services with data: 6,True,Claude:loanword,Ollama:compound,,2,2,7,False,['Latin'],"[('Google Translate', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",Google Translate:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Direct translation where 'Kemanusiaan' means 'Humanities' (referring to human studies/liberal arts) and 'Digital' remains as a loanword commonly used in Malay, following standard academic terminology in Malaysia.","The translation follows the direct translation of 'Digital' as 'Digital' and 'Humanities' as 'Kemanusiaan' in Malay, preserving the meaning in the context of interdisciplinary study.",This is a direct and accurate translation. 'Kemanusiaan' means 'Humanities' and 'Digital' means 'Digital'.,"Direct combination of the two terms, following common translation practices for compound nouns in Malay.","{'Google Translate': 'Kemanusiaan Digital', 'Lingvanex': 'Kemanusiaan Digital', 'OpenAI': 'Kemanusiaan Digital', 'Claude': 'Kemanusiaan Digital', 'Gemini': 'Kemanusiaan Digital', 'Ollama': 'Humaniti Digital'}"
mt,Maltese,Afro-Asiatic languages,Digital Humanities,False,6,0.3663,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 1; construction signals: 0,False,OpenAI:borrowing,,,4,4,16,False,['Latin'],"[('Google Translate', 'Latin'), ('EasyNMT', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin')]",Google Translate:Latin; EasyNMT:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin,"Direct translation where 'Xjenzi' means humanities/sciences (plural of 'xjenza') and 'Diġitali' means digital, following standard Maltese terminology for academic disciplines","The term 'Digital Humanities' is translated directly to 'Umanitajiet Diġitali' in Maltese, where 'Umanitajiet' means 'Humanities' and 'Diġitali' means 'Digital', following the pattern of directly borrowing English technical terms into Maltese.",This is a direct and accurate translation. 'Umanitajiet' means 'Humanities' and 'Diġitali' means 'Digital'. This term is commonly understood and used in Maltese academic contexts.,,"{'Google Translate': 'Umanistika Diġitali', 'EasyNMT': 'L-istudji umanistiċi diġitali', 'Lingvanex': 'Umanistika Diġitali', 'OpenAI': 'Umanitajiet Diġitali', 'Claude': 'Xjenzi Diġitali', 'Gemini': 'Umanitajiet Diġitali'}"
mtr,Mewari,Indo-European languages,Digital Humanities,False,4,0.1205,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 5; services with data: 4; script disagreement: Devanagari+Latin,True,Claude:loanword; Claude:transliterat; OpenAI:loanword; OpenAI:transliterat; Ollama:loanword,,,2,2,20,True,"['Devanagari', 'Latin']","[('OpenAI', 'Devanagari'), ('Claude', 'Devanagari'), ('Gemini', 'Devanagari'), ('Ollama', 'Latin')]",OpenAI:Devanagari; Claude:Devanagari; Gemini:Devanagari; Ollama:Latin,"Mewari uses Devanagari script like Hindi/Rajasthani. 'Digital' is transliterated as 'डिजिटल' (commonly used loanword), and 'Humanities' translates to 'मानविकी' (standard term for humanities/human sciences in Indic languages).","Mewari, being a Rajasthani language, mostly incorporates loanwords for modern technological terms due to lack of direct equivalents, hence the transliterated form is used.",No rationale provided,"Breakdown of 'Digital Humanities' into Mewari language, using Hindi loanwords as they are widely used and understood in the region. 'Bhāshā' means language, and 'Vigyān' means knowledge/science.","{'OpenAI': 'डिजिटल मानविकी', 'Claude': 'डिजिटल मानविकी', 'Gemini': 'डिजिटल मानविकी', 'Ollama': ' Digital Bhāshā Vigyān'}"
mua,Mundang,Nilo-Saharan languages,Digital Humanities,False,4,0.2132,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 1; construction signals: 3,False,Claude:borrowed,OpenAI:combining; Ollama:root word; Ollama:combining,,4,4,21,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Mundang lacks a direct equivalent for 'Digital Humanities'. The translation uses 'njɨ́ lé' (knowledge/learning) combined with 'dígítál' (borrowed term for digital), as Mundang typically borrows modern technological terms from French or English while using native terms for academic concepts.","The term 'Digital Humanities' is translated by combining 'Digitali' for 'Digital' and 'Gwɗɗinga' for an approximate term for 'Humanities', reflecting the interdisciplinary focus of applying digital methods to the study of human culture.",Mundang lacks a direct equivalent for 'digital' or 'humanities'. 'Hàgàlì' means 'knowledge' or 'wisdom'. 'Kà-ndàw-ndàw' means 'of the computer' or 'related to computers/technology'. 'Kà-wúl-wúl' means 'of people' or 'human-related'. The combination aims to convey 'knowledge/wisdom related to compute,"Combining 'Digital' and 'Mwenda Mviro', a term that roughly translates to 'Humanities' in Mundang, by replacing the root word for 'human' with its equivalent","{'OpenAI': 'Digitali Gwɗɗinga', 'Claude': 'Njàŋ na Kəra na Òrdìnatœ̀r', 'Gemini': 'Hàgàlì kà-ndàw-ndàw kà-wúl-wúl', 'Ollama': 'Dijitaal Mwenda Mviro'}"
mus,Creek / Muskogee,North American Indian languages,Digital Humanities,False,4,0.2024,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 1; construction signals: 1,False,Ollama:loanword,Claude:compound,,4,4,21,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Combines 'telesayvte' (digital/electronic, from 'telephone/telegraph' concepts) with 'enokketv' (knowledge/learning/humanities). This follows Creek/Muskogee compound word patterns for modern academic concepts.","The translation ""Etvlwv Nvkvmonvhkvlke"" reflects the combination of 'digital' as something related to technology or modern tools (Etvlwv) and 'humanities' as related to the study of human culture (Nvkvmonvhkvlke). This is adapted to fit the context of the Muscogee language and cultural understanding","Creek does not have a direct equivalent for 'digital' or 'humanities'. 'Nettv-Cuko Rakke' literally means 'Big House of the Internet/Web', which is a common way to refer to digital spaces or the internet. 'Em-Pucase' means 'their knowledge' or 'their learning', which is the closest concept to 'human","Using a combination of English loanwords and linguistic adaptation, I translated 'Digital Humanities' into Creek/Muskogee as Ayswv hvlkv, where 'ayswv' is derived from the word for 'computer' or 'digital' and 'hvlkv' means 'humanities' or 'learning'. This translation attempts to capture the essence ","{'OpenAI': 'Etvlwv Nvkvmonvhkvlke', 'Claude': 'Telesayvte Enokketv', 'Gemini': 'Nettv-Cuko Rakke Em-Pucase', 'Ollama': 'Ayswv hvlkv'}"
mvy,Indus Kohistani,Indo-European languages,Digital Humanities,False,4,0.1757,TRANSMOGRIFICATION,No Wikipedia; 3 distinct outputs; absence signals: 3; construction signals: 0,False,Claude:borrowed; OpenAI:loanword; OpenAI:retain.*english,,,3,3,7,False,['Arabic'],"[('OpenAI', 'Arabic'), ('Claude', 'Arabic'), ('Gemini', 'Arabic'), ('Ollama', 'Arabic')]",OpenAI:Arabic; Claude:Arabic; Gemini:Arabic; Ollama:Arabic,"Indus Kohistani uses Arabic script and borrows technical terms from Urdu/Persian. 'Digital' is borrowed as 'ڈیجیٹل' and 'Humanities' translates to 'انسانیات' (insaniyat), following the pattern of related Dardic languages in Pakistan.","Indus Kohistani often incorporates loanwords for modern concepts, retaining close phonetic approximations to the English terms due to the lack of indigenous equivalents.","Indus Kohistani, like many languages in the region, often adopts English terms directly or with minor phonetic adjustments for new concepts, especially in technical or academic fields. A direct translation of 'digital' and 'humanities' into existing Kohistani words would likely be cumbersome and les","literally 'digital sciences' in Urdu, adapted to Indus Kohistani","{'OpenAI': 'ڈیجیٹل ہیومنیٹیز', 'Claude': 'ڈیجیٹل انسانیات', 'Gemini': 'ڈیجیٹل انسانیات', 'Ollama': 'ڈیجیٹل انساینسیز'}"
mwk,Kita Maninkakan,Niger-Kordofanian languages,Digital Humanities,False,4,0.2198,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 0; construction signals: 1,False,,Ollama:compound,,4,4,21,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,Combines 'nizamuko' (digital/electronic) and 'fɛɛrɛ' (knowledge/learning/humanities) to convey the concept of Digital Humanities in Kita Maninkakan,"The translation 'Humanités numeriki' is an attempt to use terms that could be adapted from French-based vocabulary 'Humanités' (Humanities) and 'numeriki' (Digital) as there is a lack of standardized terminology in Kita Maninkakan, which is closely related to French-influenced words for technical co","This translation combines 'Kɔrɔnɛ' (digital/electronic, from 'kɔrɔn' meaning 'wire' or 'electricity' and extended to digital contexts), 'Kalan' (study/learning/humanities), and 'Hakiliya' (thought/intellect/philosophy, often used to denote deeper academic inquiry or 'humanities' in a broader sense).","Compound of 'tiwiri' (digital) and 'wumansi' (humanities), adapted from the Akan language's influence on Kita Maninkakan","{'OpenAI': 'Humanités numeriki', 'Claude': 'Nizamuko fɛɛrɛ', 'Gemini': 'Kɔrɔnɛ Kalan ni Hakiliya', 'Ollama': 'Tiwiriwoo Wumansi'}"
mwl,Mirandese,Indo-European languages,Digital Humanities,False,3,0.4273,TRANSMOGRIFICATION,No Wikipedia; 2 distinct outputs; absence signals: 0; construction signals: 0,False,,,,2,2,4,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin,"Mirandese follows Portuguese/Spanish linguistic patterns. 'Houmanidades' is the Mirandese form of 'Humanities' (cf. Portuguese 'Humanidades'), and 'Digitales' is the Mirandese adaptation of 'Digital', maintaining the plural agreement common in Romance languages.","Mirandese, like Portuguese and Spanish, refers to 'Digital Humanities' as 'Humanidades Dixitais', directly translating both components while maintaining the context of humanities related to digitized methods.","This translation directly mirrors the structure of 'Digital Humanities' using 'Houmanidades' for 'Humanities' and 'Digitales' for 'Digital', which are the most direct and commonly understood equivalents in Mirandese. 'Digitales' is a naturalized form of 'digital' in Mirandese, and 'Houmanidades' is ",,"{'OpenAI': 'Humanidades Dixitais', 'Claude': 'Houmanidades Digitales', 'Gemini': 'Houmanidades Digitales'}"
mwr,Marwari,Indo-European languages,Digital Humanities,False,5,0.2207,STRUCTURAL_ABSENCE,Loan word detected: False; absence signals: 2; services with data: 5; script disagreement: Devanagari+Latin,False,Claude:borrowed; Gemini:loanword,Claude:combining; Gemini:construct; Ollama:combining; Ollama:suffix,,2,2,23,True,"['Devanagari', 'Latin']","[('Google Translate', 'Devanagari'), ('OpenAI', 'Devanagari'), ('Claude', 'Devanagari'), ('Gemini', 'Devanagari'), ('Ollama', 'Latin')]",Google Translate:Devanagari; OpenAI:Devanagari; Claude:Devanagari; Gemini:Devanagari; Ollama:Latin,"Direct translation combining 'डिजिटल' (digital) borrowed from English as commonly used in Marwari, and 'मानविकी' (humanities) derived from 'मानव' (human) following standard Marwari academic terminology patterns.","The term 'Digital Humanities' can be directly translated as 'डिजिटल मानविकी' in Marwari, where 'डिजिटल' stands for 'Digital' and 'मानविकी' stands for 'Humanities'. This translation maintains the original meaning while using the available contemporary vocabulary in Marwari.","Marwari, like many other Indian languages, often adopts English terms directly or with minor phonetic adjustments for specialized academic or technical concepts. 'डिजिटल' (digital) is a common loanword, and 'मानवीकी' (manaviki) is the standard Hindi/Sanskrit-derived term for 'humanities', which is r","Combining Marwari words for digital (dijitil) and humanities (gahrajnani), with the suffix -vidyā indicating a field of study or knowledge.","{'Google Translate': 'डिजिटल मानविकी', 'OpenAI': 'डिजिटल मानविकी', 'Claude': 'डिजिटल मानविकी', 'Gemini': 'डिजिटल मानविकी', 'Ollama': 'Dijitil gahrajnani vidyā'}"
mwv,Mentawai,Austronesian languages,Digital Humanities,False,4,0.2211,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 2; services with data: 4,True,Claude:borrowing; Gemini:borrowing,Ollama:combining; Ollama:prefix,,4,4,15,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Mentawai has limited technical vocabulary, so borrowing 'Digital' and using 'Pengetahuan' (knowledge/learning) from Malay/Indonesian, which influences Mentawai, is the most practical approach for this modern academic concept.","The translation combines 'kehumanitian' meaning 'humanities' and 'digital', reflecting a direct adaptation as there is no specific term in Mentawai.","Mentawai, like many Austronesian languages, often adopts or calques terms for modern concepts. 'Humaniti' is a direct borrowing/adaptation of 'Humanities', and 'Digital' is similarly adopted as 'Digital' or 'Digital'. The order 'Humaniti Digital' follows a common noun-adjective pattern in many langu","Combining 'Digital' and 'Humanities' in Mentawai language, using the prefix 'tumu-' meaning digital/computer-related and 'dhu-sia' meaning human/knowledge.","{'OpenAI': 'Kehumanitian Digital', 'Claude': 'Pengetahuan Digital', 'Gemini': 'Humaniti Digital', 'Ollama': 'Tumudu Sia'}"
mxc,Manyika,Niger-Kordofanian languages,Digital Humanities,False,4,0.1546,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 3; services with data: 4,True,Claude:borrowed; Ollama:does not exist; Ollama:has not been,Claude:construct; Ollama:formation,,4,4,16,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Manyika is a Shona dialect spoken in eastern Zimbabwe. 'Tsika' means knowledge/humanities/studies in Manyika/Shona, and 'dzeDigital' means 'of/relating to digital' using the Shona possessive construction, as digital technology terms are typically borrowed in Manyika.","Manyika, a dialect of the Shona language, often incorporates English terms directly for specialized academic fields as there might not be a specific term within the dialect.","This translates 'Digital' as 'Hwedhijitari' (of digital) and 'Humanities' as 'Unhu' (humanity/character/culture), which is the closest conceptual equivalent in Manyika for the academic field.","After researching, I was unable to find any information about the Manyika language (ISO code: mxc) or its translation of Digital Humanities. It is possible that it does not exist in the language or has not been documented.","{'OpenAI': 'Digital Humanities', 'Claude': 'Tsika dzeDigital', 'Gemini': 'Unhu Hwedhijitari', 'Ollama': 'Umbu wa Leta'}"
my,Burmese,Sino-Tibetan languages,Digital Humanities,False,5,0.3067,TRANSMOGRIFICATION,No Wikipedia; 5 distinct outputs; absence signals: 1; construction signals: 1,False,Claude:loanword,Claude:combining,,5,5,6,False,['Myanmar'],"[('Google Translate', 'Myanmar'), ('Lingvanex', 'Myanmar'), ('OpenAI', 'Myanmar'), ('Claude', 'Myanmar'), ('Gemini', 'Myanmar')]",Google Translate:Myanmar; Lingvanex:Myanmar; OpenAI:Myanmar; Claude:Myanmar; Gemini:Myanmar,"Direct translation combining 'ဒစ်ဂျစ်တယ်' (digital, commonly used loanword in Burmese) and 'လူသားပညာ' (humanities, from လူသား meaning human/humanity and পညာ meaning knowledge/learning). This is the standard term used in Burmese academic contexts for Digital Humanities.","The translation directly conveys the meaning of 'Digital Humanities,' incorporating equivalent terms for 'Digital' and 'Humanities' in Burmese.","This translation combines 'ဒစ်ဂျစ်တယ်' (digital) with 'မနုဿဗေဒ' (humanities/anthropology). While 'မနုဿဗေဒ' literally means anthropology, it is often used in a broader sense to encompass the humanities in Burmese, especially when paired with 'ဒစ်ဂျစ်တယ်'. There isn't a single, universally accepted di",,"{'Google Translate': 'ဒစ်ဂျစ်တယ် လူသားပညာ', 'Lingvanex': 'ဒစ်ဂျစ်တယ်လူ့ပညာ', 'OpenAI': 'ဒစ်ဂျစ်တယ် လူမှုသိပ္ပံများ', 'Claude': 'ဒစ်ဂျစ်တယ်လူသားပညာ', 'Gemini': 'ဒစ်ဂျစ်တယ် မနုဿဗေဒ'}"
mye,Myene,Niger-Kordofanian languages,Digital Humanities,False,4,0.2054,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 0; construction signals: 5; script disagreement: Arabic+Latin,False,,Claude:compound; Claude:construct; OpenAI:construct; Ollama:combining; Ollama:create.*term,,4,4,33,True,"['Arabic', 'Latin']","[('OpenAI', 'Arabic'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Arabic; Claude:Latin; Gemini:Latin; Ollama:Latin,"In Myene, 'nsango' means knowledge/science/learning, 'ya' is a possessive particle, and 'dibindzi' refers to technology/digital/modern computational tools. This compound construction follows Myene grammar patterns for expressing abstract academic concepts.","Myene is a Bantu language spoken in Gabon and does not have a direct translation for 'Digital Humanities'. The translation incorporates the concept of 'new' or 'innovation' (Amanani) and 'humanities' (Eتمدضاهاناب), a construct for human knowledge, indicating a modern approach to humanities.","Myene, an endangered Bantu language spoken in Gabon, lacks a direct equivalent for 'Digital Humanities.' This translation is a calque and an adaptation. 'Mvett' refers to the epic oral tradition of the Fang people, culturally significant in the region and representing knowledge, storytelling, and cu","Composition numérique, combining the Myene words 'kumiwe' (number/digital) and 'ndɔtɔwε' (letter/learning), to create a term that reflects the intersection of technology and humanities in the context of the Myene language.","{'OpenAI': 'Amanani Eتمدضاهاناب', 'Claude': 'Mabanza ma Nzila ya Numérique', 'Gemini': 'Miyenyi ya Nkombo na Nkombo ya Nkombo', 'Ollama': 'Kumiwe ndɔtɔwε'}"
myv,Erzya,Uralic languages,Digital Humanities,False,4,0.1956,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 0; construction signals: 2; script disagreement: Cyrillic+Latin,False,,Claude:compound; Ollama:combining,,4,4,27,True,"['Cyrillic', 'Latin']","[('OpenAI', 'Cyrillic'), ('Claude', 'Cyrillic'), ('Gemini', 'Cyrillic'), ('Ollama', 'Latin')]",OpenAI:Cyrillic; Claude:Cyrillic; Gemini:Cyrillic; Ollama:Latin,"Direct translation where 'Цифрань' means 'digital' (from цифра - digit/number), 'гуманитарной' means 'humanitarian/humanistic', and 'наукат' means 'sciences'. This follows Erzya language conventions for compound academic terms.","The term 'Цифрос' translates to 'digital' in Erzya, referring to technology and digital processes, while 'культура' means 'culture', encompassing the humanistic aspect of humanities which involves the study of human culture.",This is a direct translation. 'Цифрань' means 'digital' and 'гуманитаристика' means 'humanities'. This term is understandable and follows the structure of similar academic terms in Erzya.,"Combining 'digital' (from Russian ""цифровой"", adapted to Erzya) and 'kulturovedenos' (humanities, from Russian ""культурология"")","{'OpenAI': 'Цифрос култура', 'Claude': 'Цифрань гуманитарной наукат', 'Gemini': 'Цифрань гуманитаристика', 'Ollama': 'Digitalne kulturovedenos'}"
myx,Masaaba,Niger-Kordofanian languages,Digital Humanities,False,4,0.144,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 2; services with data: 4,True,Gemini:borrowed; Ollama:loanword,Ollama:combining,,4,4,18,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Masaaba uses 'obuhanga' for knowledge/skills/humanities and 'bwa dijitolo' for digital, following Bantu noun class agreement patterns",The term 'Digital Humanities' in Masaaba can be expressed as 'Ebibini lya Teeknelogia'. 'Ebibini' translates to 'Humanities' and 'Teeknelogia' is the adaptation for 'Digital'.,"Masaaba, like many Bantu languages, often borrows technical terms or creates descriptive phrases. 'Obusomi' means 'studies' or 'learning'. 'Digital' is borrowed directly as it's a modern concept without a direct traditional equivalent. The 'bwa' is a possessive concord linking 'studies' to 'digital'","Combining Masaaba word for 'human' (khu) with the adjective 'digitali', a loanword from Swahili, to convey the meaning of Digital Humanities.","{'OpenAI': 'Ebibini lya Teeknelogia', 'Claude': 'Obuhanga bwa Dijitolo', 'Gemini': 'Obusomi bwa Digital', 'Ollama': 'Kihua tete digitali'}"
myz,Classical Mandaic,Afro-Asiatic languages,Digital Humanities,False,4,0.1744,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 0; construction signals: 5; script disagreement: Latin+Other+Syriac,False,,Claude:combining; Claude:classical; Gemini:ancient; Gemini:classical; Ollama:classical,,4,4,19,True,"['Latin', 'Other', 'Syriac']","[('OpenAI', 'Other'), ('Claude', 'Syriac'), ('Gemini', 'Syriac'), ('Ollama', 'Latin')]",OpenAI:Other; Claude:Syriac; Gemini:Syriac; Ollama:Latin,Classical Mandaic translation combining 'mndʿtʾ' (knowledge/humanities) with 'ṣurtʾ ḥšubtʾ' (digital/computational forms). Uses authentic Mandaic script and lexical roots appropriate for academic terminology in the Mandaic scribal tradition.,"The term 'Digital Humanities' is translated by using the Mandaic terms for 'digital' (ࡅࡀࡓࡉࡐ) and 'humanities' (ࡐࡀࡀࡄࡉࡀࡋࡉࡀ), reflecting the focus on scholarly activity utilizing digital tools within the humanities disciplines.","Classical Mandaic lacks direct equivalents for 'digital' or 'humanities'. 'ܢܫܡܬܐ' (nishmata) means 'soul' or 'spirit', often used for intellectual or spiritual essence. 'ܕܦܪܙܠܐ' (d-parzla) means 'of iron' or 'of metal', which in ancient contexts could refer to tools, technology, or something artific","Unfortunately, I was unable to find a reliable dictionary or resources for the Classical Mandaic language (ISO code: myz) to provide an accurate translation. The lack of available dictionaries and linguistic tools makes it challenging to translate modern terms like 'Digital Humanities' into this lan","{'OpenAI': 'ࡅࡀࡓࡉࡐ ࡐࡀࡀࡄࡉࡀࡋࡉࡀ', 'Claude': 'ܡܢܕܥܬܐ ܕܨܘܪܬܐ ܚܫܘܒܬܐ', 'Gemini': 'ܢܫܡܬܐ ܕܦܪܙܠܐ', 'Ollama': 'hunrā d-špatrikta'}"
mzn,Mazanderani,Indo-European languages,Digital Humanities,False,4,0.2489,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 2; construction signals: 1,False,Claude:borrowed; Ollama:loanword,Gemini:coining,,4,4,15,False,['Arabic'],"[('OpenAI', 'Arabic'), ('Claude', 'Arabic'), ('Gemini', 'Arabic'), ('Ollama', 'Arabic')]",OpenAI:Arabic; Claude:Arabic; Gemini:Arabic; Ollama:Arabic,"Mazanderani uses Persian script and shares vocabulary with Persian. 'Digital' is borrowed as 'دیجیتال' and 'Humanities' translates to 'علوم انسانی' (human sciences), following standard Persian/Mazanderani academic terminology.","Mazanderani uses a variation of the Persian script and often borrows terms from Persian, especially for modern concepts like 'digital'. 'انسانیات' is a term that aligns well with 'humanities'.","Mazanderani, like many regional languages, often adopts specialized academic and technical terms directly from English or Persian (which itself often borrows from English) rather than coining new indigenous terms. 'دیجیتال هومانیتیز' (Digital Humanities) is the most likely and understandable form, m","Mazanderani translation of 'Digital Humanities' is based on the language's use of Farsi loanwords, resulting in a phrase that combines elements of both Persian and Turkic linguistic roots. The term بشری refers to digital, while دیجیتواثی encompasses humanistic or scholarly pursuits.","{'OpenAI': 'دیجیتالی علوم انسانی', 'Claude': 'دیجیتال علوم انسانی', 'Gemini': 'دیجیتال هومانیتیز', 'Ollama': 'بشری دیجیتواثی'}"
na,Nauru,Austronesian languages,Digital Humanities,False,4,0.1875,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 2; services with data: 4,True,Claude:borrowed; Gemini:loanword,,,4,4,20,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Nauru lacks established technical terminology for 'Digital Humanities'. This translation uses 'Dijitan' (digital, borrowed from English as commonly done in Nauruan for modern tech terms), 'Anganin' (things/matters), and 'Aremwiduge' (knowledge/learning/study), creating a descriptive phrase meaning '",Nauru uses 'Ekaiuran' for 'Digital' and 'Eamani' for 'Humanities' to reflect technology-related and humanistic studies.,"Nauru does not have a direct equivalent for 'Digital Humanities'. A loanword is the most appropriate approach, as creating a descriptive phrase would be overly long and not easily understood within the Nauruan linguistic context for such a specialized, modern academic field. The term 'Digital Humani","Literally 'Digital Human Studies' in Nauruan, following the direct word-by-word translation from English.","{'OpenAI': 'Ekaiuran Eamani', 'Claude': 'Dijitan Anganin Aremwiduge', 'Gemini': 'Digital Humanities', 'Ollama': 'Minita Bhiiti Taeburu'}"
nah,Nahuatl,North American Indian languages,Digital Humanities,False,4,0.132,TRANSMOGRIFICATION,No Wikipedia; 4 distinct outputs; absence signals: 0; construction signals: 1,False,,Gemini:combining,,4,4,31,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Combines 'tōltēcayōtl' (knowledge/arts/humanities, from Toltec wisdom tradition) with 'ixiptlayōtl' (digital/image-based, from 'ixiptli' meaning image/representation), reflecting both the humanistic and digital aspects of the field.","In Nahuatl, 'Ticuepa' means 'change or transform' and 'Tlatequitiltiliztli' refers to 'humanities or studies,' reflecting how digital technologies transform humanities research.","This translates to 'Knowledge of words/language with computers'. 'Tlahtolmatiliztli' means 'knowledge of words/language/discourse', and 'ipan Computadorhuan' means 'with computers'. This captures the interdisciplinary nature of DH, combining textual/humanistic study with computational tools.","Combination of 'tecnología' (technology) and 'humanidades' (humanities), adapted from Spanish","{'OpenAI': 'Ticuepa Tlatequitiltiliztli', 'Claude': 'Tōltēcayōtl Ixiptlayōtl', 'Gemini': 'Tlahtolmatiliztli ipan Computadorhuan', 'Ollama': 'Tecnohumanidades'}"
nap,Neapolitan,Indo-European languages,Digital Humanities,False,3,0.185,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 0; services with data: 3,True,,,,2,2,4,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin,Direct translation maintaining the academic concept; 'Umanità' (humanities) and 'Digitale' (digital) are standard terms in Neapolitan for this scholarly field.,"In Neapolitan, 'Umanità' is used to denote 'Humanities', and 'Digitale' is a direct translation for 'Digital'. This translation captures the essence of the English term using the vocabulary that is commonly understood in Neapolitan for academic and modern terminology.",No rationale provided,,"{'OpenAI': 'Umanità Digitale', 'Claude': 'Umanità Digitale', 'Gemini': 'Umanèsse Digitale'}"
naq,Nama,Khoisan languages,Digital Humanities,False,4,0.16,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 1; services with data: 4,True,Gemini:loanword,,,4,4,20,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; Ollama:Latin,"Combines 'ǂnūkhoen' (digital/electronic/modern technology) and 'ǁkhāsigu' (knowledge/wisdom/learning), literally meaning 'digital knowledge' or 'electronic learning' in Nama","The translation uses local Nama terms to express 'Digital' (Khorixas Doekotab, referring to technology or digital processes) and 'Humanities' (Tumise, meaning knowledge or studies related to human culture).","Nama does not have a direct equivalent for 'digital' or 'humanities'. 'Diigital' is a loanword adaptation, and 'Hoomaniiti' is a loanword adaptation for 'humanities' or 'humanity', which is the closest conceptual fit in the absence of a specific academic term.","Using 'Digital' and 'Humanities' directly, adapting the term to the Nama language's grammatical structure and vocabulary.","{'OpenAI': 'Khorixas Doekotab Tumise', 'Claude': 'ǂNūkhoen ǁkhāsigu', 'Gemini': 'Diigital Hoomaniiti', 'Ollama': 'Ngoma ya Digital'}"
