n_variants_present,n_agree,agreement_rate,best_candidate,variant_translations,term_source,language_code,language_name,language_family,service,is_baseline,difference_types
4,1,0.25,Numeryczne Humanistyki,"{'minimal': 'Numeryczne Humanistyki', 'fluent_speaker': ""Kë'të'lë'të' Pökö'të' Kë'të'lë'të'"", 'github_searcher': 'Numeryczne Humanistyka', 'judge': 'Sayansi ya Kidijitali'}",Digital Humanities,pko,Pökoot,Nilotic,Gemma,False,content
4,1,0.25,Digitale Huurmanjau,"{'minimal': 'Digitale Huurmanjau', 'fluent_speaker': 'Digiitali Huumaniityo', 'github_searcher': 'Pödigitaali Liikenda', 'judge': 'Tïpïtapta nɨ Pokot'}",Digital Humanities,pko,Pökoot,Nilotic,Qwen,False,content
4,1,0.25,Dijital Hjumaniitii,"{'minimal': 'Dijital Hjumaniitii', 'fluent_speaker': 'Humanitites Digilisi', 'github_searcher': 'Diguilal Huministis', 'judge': 'Tïpïtapta nɨ Pokot'}",Digital Humanities,pko,Pökoot,Nilotic,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,pms,Piedmontese,Indo-European languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,pms,Piedmontese,Indo-European languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,pms,Piedmontese,Indo-European languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,pms,Piedmontese,Indo-European languages,Lingvanex,True,
4,2,0.5,Umanìstica Digital,"{'minimal': 'Umanìstica Digital', 'fluent_speaker': 'Umanìstiche Digital', 'github_searcher': 'Umanità Digital', 'judge': 'Umanìstica Digital'}",Digital Humanities,pms,Piedmontese,Indo-European languages,OpenAI,False,content
4,2,0.5,Umanità Digitaj,"{'minimal': 'Umanità Digitaj', 'fluent_speaker': 'Umanità Digitaj', 'github_searcher': 'Umanistiche Digitaj', 'judge': 'Umanità Digital'}",Digital Humanities,pms,Piedmontese,Indo-European languages,Claude,False,content
4,2,0.5,Umanìstica Digital,"{'minimal': 'Umanìstica Digital', 'fluent_speaker': 'Umanità Digital', 'github_searcher': 'Umanità Digitaj', 'judge': 'Umanìstica Digital'}",Digital Humanities,pms,Piedmontese,Indo-European languages,Gemini,False,content
4,4,1.0,Umanità Digitaj,"{'minimal': 'Umanità Digitaj', 'fluent_speaker': 'Umanità Digitaj', 'github_searcher': 'Umanità Digitaj', 'judge': 'Umanità Digitaj'}",Digital Humanities,pms,Piedmontese,Indo-European languages,DeepSeek,False,all_identical
4,2,0.5,Umanità Digitale,"{'minimal': 'Umanità Digitale', 'fluent_speaker': 'Umanità Digitàle', 'github_searcher': 'Umanità Digital', 'judge': 'Umanità Digitale'}",Digital Humanities,pms,Piedmontese,Indo-European languages,Llama,False,content
4,2,0.5,Umanità Digital,"{'minimal': 'Umanità Digital', 'fluent_speaker': 'Humànità Digital', 'github_searcher': 'Manman Digital', 'judge': 'Umanità Digital'}",Digital Humanities,pms,Piedmontese,Indo-European languages,Gemma,False,content
4,2,0.5,Umanità digitale,"{'minimal': 'Umanità digitale', 'fluent_speaker': 'Umanità digitale', 'github_searcher': 'Umanità Digitale', 'judge': 'Umanità Digitale'}",Digital Humanities,pms,Piedmontese,Indo-European languages,Qwen,False,capitalization
4,1,0.25,Humanitats digitalas,"{'minimal': 'Humanitats digitalas', 'fluent_speaker': 'Digital Humanitats', 'github_searcher': 'Humanitats Digitale', 'judge': 'Umanità Digitaj'}",Digital Humanities,pms,Piedmontese,Indo-European languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,nmg,Kwasio,Atlantic-Congo,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,nmg,Kwasio,Atlantic-Congo,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,nmg,Kwasio,Atlantic-Congo,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,nmg,Kwasio,Atlantic-Congo,Lingvanex,True,
3,2,0.6667,Digital Humanities,"{'minimal': 'Digital Humanities', 'github_searcher': 'Digital Humanities', 'judge': 'Bimɛnɛ bi ntɛnɛt bi bɔt ba bato'}",Digital Humanities,nmg,Kwasio,Atlantic-Congo,OpenAI,False,content
4,2,0.5,Digital Humanities,"{'minimal': 'Bimɛnɛ bi ntɛnɛt bi bɔt ba bato', 'fluent_speaker': 'Mbɔ́ bɛ́ Nɛmɛyɔɔ́ bɛ́ Nɔmbɛ', 'github_searcher': 'Digital Humanities', 'judge': 'Digital Humanities'}",Digital Humanities,nmg,Kwasio,Atlantic-Congo,Claude,False,content
3,1,0.3333,Minkana ya Nka'a na Nka'a ya Nka'a,"{'fluent_speaker': ""Minkana ya Nka'a na Nka'a ya Nka'a"", 'github_searcher': 'Ndzom Ntanga', 'judge': 'Bimɛnɛ bi ntɛnɛt bi bɔt ba bato'}",Digital Humanities,nmg,Kwasio,Atlantic-Congo,Gemini,False,content
4,1,0.25,Mvog Mebeg Minku'u,"{'minimal': ""Mvog Mebeg Minku'u"", 'fluent_speaker': 'Mvus Minkuèlè ma Bèkòbò', 'github_searcher': 'Mvog Mvog Mvog', 'judge': 'Digital Humanities'}",Digital Humanities,nmg,Kwasio,Atlantic-Congo,DeepSeek,False,content
4,1,0.25,Mbumu ya Digitale,"{'minimal': 'Mbumu ya Digitale', 'fluent_speaker': 'Mɛ̀mɛ́ mbaŋɔ́ mbɔ́mbɔ́', 'github_searcher': 'Bɛ̀ndɔ́lɛ Bɛ̀nʊ̀', 'judge': 'Mbɔ́ bɛ́ Nɛmɛyɔɔ́ bɛ́ Nɔmbɛ'}",Digital Humanities,nmg,Kwasio,Atlantic-Congo,Llama,False,content
4,1,0.25,Kɔɔsi ŋgɔɔsɔɔ,"{'minimal': 'Kɔɔsi ŋgɔɔsɔɔ', 'fluent_speaker': ""Mwa'ngwa K'wesi"", 'github_searcher': 'Digitaal Ŋmaŋŋ', 'judge': ""Mvog Mebeg Minku'u""}",Digital Humanities,nmg,Kwasio,Atlantic-Congo,Gemma,False,content
4,1,0.25,Mwazibiti Digitalee,"{'minimal': 'Mwazibiti Digitalee', 'fluent_speaker': 'Nkwenkwenzilishe Dimashinisi', 'github_searcher': 'Dziligi Amanuensiki', 'judge': 'Mbɔ́ bɛ́ Nɛmɛyɔɔ́ bɛ́ Nɔmbɛ'}",Digital Humanities,nmg,Kwasio,Atlantic-Congo,Qwen,False,content
4,1,0.25,Humanitiz digital,"{'minimal': 'Humanitiz digital', 'fluent_speaker': 'Teknoloji Digitaal Humanitii', 'github_searcher': 'Teknoloji ya Nzambi', 'judge': 'Mbɔ́ bɛ́ Nɛmɛyɔɔ́ bɛ́ Nɔmbɛ'}",Digital Humanities,nmg,Kwasio,Atlantic-Congo,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,ng,Ndonga,Atlantic-Congo,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,ng,Ndonga,Atlantic-Congo,Google Translate,True,
4,4,1.0,Omithikampango dhaantu odha li hadhi ningitha aantu ya kale ye na ekwatathano ewanawa,"{'minimal': 'Omithikampango dhaantu odha li hadhi ningitha aantu ya kale ye na ekwatathano ewanawa', 'fluent_speaker': 'Omithikampango dhaantu odha li hadhi ningitha aantu ya kale ye na ekwatathano ewanawa', 'github_searcher': 'Omithikampango dhaantu odha li hadhi ningitha aantu ya kale ye na ekwatathano ewanawa', 'judge': 'Omithikampango dhaantu odha li hadhi ningitha aantu ya kale ye na ekwatathano ewanawa'}",Digital Humanities,ng,Ndonga,Atlantic-Congo,EasyNMT,True,all_identical
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,ng,Ndonga,Atlantic-Congo,Lingvanex,True,
4,2,0.5,Omahumokombinga yedijitali,"{'minimal': 'Omahulumenta gOmaindilo', 'fluent_speaker': 'Omahumokombinga yedijitali', 'github_searcher': 'Digital Humanities', 'judge': 'Omahumokombinga yedijitali'}",Digital Humanities,ng,Ndonga,Atlantic-Congo,OpenAI,False,content
4,1,0.25,Omalongo gOmapangelo goDigital,"{'minimal': 'Omalongo gOmapangelo goDigital', 'fluent_speaker': 'Omalongo gOmakomputa', 'github_searcher': 'Oshikonakono shOmakonakono', 'judge': 'Omalongo gOmadigitali'}",Digital Humanities,ng,Ndonga,Atlantic-Congo,Claude,False,content
4,2,0.5,Omalongo gopaDigital,"{'minimal': 'Omalongo gopaDigital', 'fluent_speaker': 'Omalaka gopaungululiko gopadigitala', 'github_searcher': 'Omashini gopadigitali nenge Uunongononi wopadigitali', 'judge': 'Omalongo gopaDigital'}",Digital Humanities,ng,Ndonga,Atlantic-Congo,Gemini,False,content
4,1,0.25,Ondjokonona yOmapandja,"{'minimal': 'Ondjokonona yOmapandja', 'fluent_speaker': 'Ondodo yOmunhu', 'github_searcher': 'Oshilongo shOshilongo shOshilongo shOshilongo', 'judge': 'Omalongo gOmaindilo gopaDigital'}",Digital Humanities,ng,Ndonga,Atlantic-Congo,DeepSeek,False,content
4,1,0.25,Tjibaalwa ya Digital,"{'minimal': 'Tjibaalwa ya Digital', 'fluent_speaker': 'Ondolondolozi ya Digital', 'github_searcher': 'Omba la byi', 'judge': 'Omahulumenta gOmaindilo'}",Digital Humanities,ng,Ndonga,Atlantic-Congo,Llama,False,content
4,1,0.25,Nangula ya Ndongo ya Digitali,"{'minimal': 'Nangula ya Ndongo ya Digitali', 'fluent_speaker': 'Digitaal Ngha Ndonga', 'github_searcher': 'Digitaal Ndonga Yondjila', 'judge': 'Omahulumenta gOmaindilo'}",Digital Humanities,ng,Ndonga,Atlantic-Congo,Gemma,False,content
4,1,0.25,MuhimweDigitale,"{'minimal': 'MuhimweDigitale', 'fluent_speaker': 'Mukulu Digitali', 'github_searcher': 'Mukulu Miwani Digitali', 'judge': 'Omahumokombinga yedijitali'}",Digital Humanities,ng,Ndonga,Atlantic-Congo,Qwen,False,content
4,1,0.25,Okulukalo wa Mbwa-Ngola,"{'minimal': 'Okulukalo wa Mbwa-Ngola', 'fluent_speaker': 'Teknoloji ya Iningizimu yomwe', 'github_searcher': 'Humanitites Digiteel', 'judge': 'Omalongo gOpadigitala'}",Digital Humanities,ng,Ndonga,Atlantic-Congo,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,njo,Ao Naga,Sino-Tibetan languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,njo,Ao Naga,Sino-Tibetan languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,njo,Ao Naga,Sino-Tibetan languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,njo,Ao Naga,Sino-Tibetan languages,Lingvanex,True,
3,3,1.0,Digital Humanities,"{'minimal': 'Digital Humanities', 'github_searcher': 'Digital Humanities', 'judge': 'Digital Humanities'}",Digital Humanities,njo,Ao Naga,Sino-Tibetan languages,OpenAI,False,all_identical
4,3,0.75,Digital Humanities,"{'minimal': 'Digital Humanities', 'fluent_speaker': 'Digital Mungdang', 'github_searcher': 'Digital Humanities', 'judge': 'Digital Humanities'}",Digital Humanities,njo,Ao Naga,Sino-Tibetan languages,Claude,False,content
4,4,1.0,Digital Humanities,"{'minimal': 'Digital Humanities', 'fluent_speaker': 'Digital Humanities', 'github_searcher': 'Digital Humanities', 'judge': 'Digital Humanities'}",Digital Humanities,njo,Ao Naga,Sino-Tibetan languages,Gemini,False,all_identical
4,4,1.0,Digital Humanities,"{'minimal': 'Digital Humanities', 'fluent_speaker': 'Digital Humanities', 'github_searcher': 'Digital Humanities', 'judge': 'Digital Humanities'}",Digital Humanities,njo,Ao Naga,Sino-Tibetan languages,DeepSeek,False,all_identical
4,2,0.5,Nüngi Kipki,"{'minimal': 'Nüngi Kipki', 'fluent_speaker': 'Ngaangkhu Digital Khaang', 'github_searcher': 'ஆ\u0b8dசதிு் கஂகயஅஎ', 'judge': 'Nüngi Kipki'}",Digital Humanities,njo,Ao Naga,Sino-Tibetan languages,Llama,False,content
4,2,0.5,Di-gi-ta-laa huma-ni-ti,"{'minimal': 'Di-gi-ta-laa huma-ni-ti', 'fluent_speaker': 'Tsüme Nyükhükhü', 'github_searcher': 'Digitel Hiumaniteet', 'judge': 'Di-gi-ta-laa huma-ni-ti'}",Digital Humanities,njo,Ao Naga,Sino-Tibetan languages,Gemma,False,content
4,1,0.25,Tsamhawm Tsu Hau Lwmthla,"{'minimal': 'Tsamhawm Tsu Hau Lwmthla', 'fluent_speaker': 'Digi Tana Huna', 'github_searcher': 'Digiitali Khamusinu', 'judge': 'Ngaangkhu Digital Khaang'}",Digital Humanities,njo,Ao Naga,Sino-Tibetan languages,Qwen,False,content
4,1,0.25,Khiphü Lit-ar-i,"{'minimal': 'Khiphü Lit-ar-i', 'fluent_speaker': 'Digital Humanities zung khup nga', 'github_searcher': 'Digital Humanities', 'judge': 'Digital Mungdang'}",Digital Humanities,njo,Ao Naga,Sino-Tibetan languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,niu,Niuean,Austronesian languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,niu,Niuean,Austronesian languages,Google Translate,True,
4,4,1.0,Tiaki e Tau Mena he Tagata,"{'minimal': 'Tiaki e Tau Mena he Tagata', 'fluent_speaker': 'Tiaki e Tau Mena he Tagata', 'github_searcher': 'Tiaki e Tau Mena he Tagata', 'judge': 'Tiaki e Tau Mena he Tagata'}",Digital Humanities,niu,Niuean,Austronesian languages,EasyNMT,True,all_identical
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,niu,Niuean,Austronesian languages,Lingvanex,True,
4,1,0.25,Tau Akonaki Fakatekonolosi,"{'minimal': 'Tau Akonaki Fakatekonolosi', 'fluent_speaker': 'Fakaliliuaga Fakatekonolosi mo e Tau Aga Fakamotu', 'github_searcher': 'Humanities Fakalataha ma e Tekinolosia', 'judge': 'Fakaakoaga Fakatekinolosia'}",Digital Humanities,niu,Niuean,Austronesian languages,OpenAI,False,content
4,2,0.5,Fakaako Fakatekinolosia,"{'minimal': 'Fakaako Fakatekinolosia', 'fluent_speaker': 'Fakaako Fakamitaki Fakatekinolosia', 'github_searcher': 'Fakaako Fakanatula Fakatekinolosia', 'judge': 'Fakaako Fakatekinolosia'}",Digital Humanities,niu,Niuean,Austronesian languages,Claude,False,content
4,1,0.25,Fakaakoako Faka-Numera,"{'minimal': 'Fakaakoako Faka-Numera', 'fluent_speaker': 'Fakaakoaga Faka-Numela mo e Tagata', 'github_searcher': 'Fakaakoaga Faka-Numera mo e Tagata', 'judge': 'Tau Fakaakoaga Faka-Tagata Fakatekinolosi'}",Digital Humanities,niu,Niuean,Austronesian languages,Gemini,False,content
4,1,0.25,He Tau Aga Fakamatala Faka-Tekinolosi,"{'minimal': 'He Tau Aga Fakamatala Faka-Tekinolosi', 'fluent_speaker': 'Aga Fakamatala Tohi Taku', 'github_searcher': 'Akoaga e Mataaga Fakatekinolosi', 'judge': 'Fakaako Fakatekinolosia'}",Digital Humanities,niu,Niuean,Austronesian languages,DeepSeek,False,content
4,1,0.25,Tūmanako o le Fa'aalo,"{'minimal': ""Tūmanako o le Fa'aalo"", 'fluent_speaker': ""Tama'a o le Fale o le Tama'a"", 'github_searcher': 'Tūtāki o le Fale Kāinga', 'judge': 'Fakaliliuaga Fakatekonolosi mo e Tau Aga Fakamotu'}",Digital Humanities,niu,Niuean,Austronesian languages,Llama,False,content
4,1,0.25,Fale Numera'i Taua'aga,"{'minimal': ""Fale Numera'i Taua'aga"", 'fluent_speaker': 'Humāniti Numera', 'github_searcher': 'Hautau Numera', 'judge': 'Fakaako Fakatekinolosi mo e Tauaga Fakamotu'}",Digital Humanities,niu,Niuean,Austronesian languages,Gemma,False,content
4,1,0.25,Faafetai Tahi ā Internet,"{'minimal': 'Faafetai Tahi ā Internet', 'fluent_speaker': 'Tautauoma o Tepuna Tiafaka', 'github_searcher': 'Faasaleiva Humaniti', 'judge': 'Fakaako Fakatekinolosia mo e Tau Aga Fakamotu'}",Digital Humanities,niu,Niuean,Austronesian languages,Qwen,False,content
4,1,0.25,Humanitiki E-Fakaaoga,"{'minimal': 'Humanitiki E-Fakaaoga', 'fluent_speaker': 'Te Tautua Manuhau Tangata', 'github_searcher': 'Humanitine Digiteke', 'judge': 'Fakaako Fakatekinolosia'}",Digital Humanities,niu,Niuean,Austronesian languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,man,Mandarin,Sino-Tibetan languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,man,Mandarin,Sino-Tibetan languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,man,Mandarin,Sino-Tibetan languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,man,Mandarin,Sino-Tibetan languages,Lingvanex,True,
4,2,0.5,Digital Humanities,"{'minimal': 'Dijitalu Kɛlɛfa', 'fluent_speaker': 'Digital Humanities', 'github_searcher': 'Digital Humanities', 'judge': 'Dijitali Hadamaya'}",Digital Humanities,man,Mandarin,Sino-Tibetan languages,OpenAI,False,content
4,1,0.25,Nɔɔriya Hadamaɲɔgɔnya,"{'minimal': 'Nɔɔriya Hadamaɲɔgɔnya', 'fluent_speaker': 'Nizɛriya kunnafoniw', 'github_searcher': 'Nɔɔrɔ kɛnɛya ni mɔgɔya', 'judge': 'Dijitali Hadamadenya'}",Digital Humanities,man,Mandarin,Sino-Tibetan languages,Claude,False,content
4,1,0.25,Hadamaɲa ni Digital,"{'minimal': 'Hadamaɲa ni Digital', 'fluent_speaker': 'Kɔmpitɛri ni Hadamadenya Kalan', 'github_searcher': 'Hakiliyaŋ Kumo ni Kalan', 'judge': 'Dijitali Hadamadenya Kalan'}",Digital Humanities,man,Mandarin,Sino-Tibetan languages,Gemini,False,content
4,2,0.5,Dijitali Hadamaya,"{'minimal': 'Dijitalu Jamaniya', 'fluent_speaker': 'Dijitali Hadamaya', 'github_searcher': 'Dijitali Kɛlɛbɛn', 'judge': 'Dijitali Hadamaya'}",Digital Humanities,man,Mandarin,Sino-Tibetan languages,DeepSeek,False,content
3,1,0.3333,Kɔnɔŋo tɛrɛ kɛlɛmɛ,"{'fluent_speaker': 'Kɔnɔŋo tɛrɛ kɛlɛmɛ', 'github_searcher': 'Ku Kulumacina', 'judge': 'Kɛlɛfa Digitale'}",Digital Humanities,man,Mandarin,Sino-Tibetan languages,Llama,False,content
4,1,0.25,Kelee Digitaa Bɛlɛɛlɛ,"{'minimal': 'Kelee Digitaa Bɛlɛɛlɛ', 'fluent_speaker': 'Dijital Ŋɔŋŋɔ', 'github_searcher': 'Dijital Ìlàm', 'judge': 'Dijitalu Kɛlɛfa'}",Digital Humanities,man,Mandarin,Sino-Tibetan languages,Gemma,False,content
4,1,0.25,Dulubu Yalumtigü,"{'minimal': 'Dulubu Yalumtigü', 'fluent_speaker': 'Dijitigi Faatimanta', 'github_searcher': 'Djinn Digital Yalensigini', 'judge': 'Dijitalu Kɛlɛfa'}",Digital Humanities,man,Mandarin,Sino-Tibetan languages,Qwen,False,content
4,1,0.25,Kankan n'nyamakala komputa,"{'minimal': ""Kankan n'nyamakala komputa"", 'fluent_speaker': 'Diguilim Digitale', 'github_searcher': 'Informatikka Yimideni', 'judge': 'Dijitalu Kɛlɛfa'}",Digital Humanities,man,Mandarin,Sino-Tibetan languages,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,map-bms,Banyumasan,Austronesian languages,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,map-bms,Banyumasan,Austronesian languages,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,map-bms,Banyumasan,Austronesian languages,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,map-bms,Banyumasan,Austronesian languages,Lingvanex,True,
4,4,1.0,Humaniora Digital,"{'minimal': 'Humaniora Digital', 'fluent_speaker': 'Humaniora Digital', 'github_searcher': 'Humaniora Digital', 'judge': 'Humaniora Digital'}",Digital Humanities,map-bms,Banyumasan,Austronesian languages,OpenAI,False,all_identical
4,3,0.75,Kamanungsan Digital,"{'minimal': 'Kamanungsan Digital', 'fluent_speaker': 'Kamanungsan Digital', 'github_searcher': 'Kamanungsan Digital', 'judge': 'Humaniora Digital'}",Digital Humanities,map-bms,Banyumasan,Austronesian languages,Claude,False,content
4,4,1.0,Humaniora Digital,"{'minimal': 'Humaniora Digital', 'fluent_speaker': 'Humaniora Digital', 'github_searcher': 'Humaniora Digital', 'judge': 'Humaniora Digital'}",Digital Humanities,map-bms,Banyumasan,Austronesian languages,Gemini,False,all_identical
4,2,0.5,Digital Humaniora,"{'minimal': 'Humaniora Digital', 'fluent_speaker': 'Digital Humaniora', 'github_searcher': 'Digital Humaniora', 'judge': 'Kamanungsan Digital'}",Digital Humanities,map-bms,Banyumasan,Austronesian languages,DeepSeek,False,content
4,1,0.25,Humanis Digital,"{'minimal': 'Humanis Digital', 'fluent_speaker': 'Kawruh Digital Budaya', 'github_searcher': 'Humaniora Digital', 'judge': 'Kebudayaan Digital'}",Digital Humanities,map-bms,Banyumasan,Austronesian languages,Llama,False,content
4,1,0.25,Astranomana Digital,"{'minimal': 'Astranomana Digital', 'fluent_speaker': 'Astranomah Digital', 'github_searcher': 'Manusa Budaya Digital', 'judge': 'Humaniora Digital'}",Digital Humanities,map-bms,Banyumasan,Austronesian languages,Gemma,False,content
4,2,0.5,Kemanusiaan Digital,"{'minimal': 'Kemanusiaan Digital', 'fluent_speaker': 'Humaenitas Digital', 'github_searcher': 'Humanitas Digital', 'judge': 'Kemanusiaan Digital'}",Digital Humanities,map-bms,Banyumasan,Austronesian languages,Qwen,False,content
4,4,1.0,Kebudayaan Digital,"{'minimal': 'Kebudayaan Digital', 'fluent_speaker': 'Kebudayaan Digital', 'github_searcher': 'Kebudayaan Digital', 'judge': 'Kebudayaan Digital'}",Digital Humanities,map-bms,Banyumasan,Austronesian languages,Mistral,False,all_identical
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,mas,Masai,Nilotic,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,mas,Masai,Nilotic,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,mas,Masai,Nilotic,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,mas,Masai,Nilotic,Lingvanex,True,
3,2,0.6667,Digital Humanities,"{'minimal': 'Digital Humanities', 'github_searcher': 'Digital Humanities', 'judge': 'Dijitol Enkerai e Iltunganak'}",Digital Humanities,mas,Masai,Nilotic,OpenAI,False,content
4,1,0.25,Dijitol Enkerai e Iltunganak,"{'minimal': 'Dijitol Enkerai e Iltunganak', 'fluent_speaker': 'Enkitoria e Teknoloji', 'github_searcher': 'Digital Humanities', 'judge': 'Enkiguena e Digital'}",Digital Humanities,mas,Masai,Nilotic,Claude,False,content
4,1,0.25,Enkiguanare e Digital,"{'minimal': 'Enkiguanare e Digital', 'fluent_speaker': ""Olng'esher le Nkima"", 'github_searcher': ""Olng'esher Olkikuyia"", 'judge': 'Enkiguena e Digital e Ilomon'}",Digital Humanities,mas,Masai,Nilotic,Gemini,False,content
4,1,0.25,Enkiguena e Olosho oo Nkishu,"{'minimal': 'Enkiguena e Olosho oo Nkishu', 'fluent_speaker': 'Enkaji e Intalento oo Nkishon', 'github_searcher': 'Ilomon e Digital Humanities', 'judge': 'Enkiguana e Digital'}",Digital Humanities,mas,Masai,Nilotic,DeepSeek,False,content
3,1,0.3333,Tatizo la Digitali la Ufundi,"{'minimal': 'Tatizo la Digitali la Ufundi', 'fluent_speaker': ""Oleng'ata za Kielektroniki"", 'judge': 'Enkitoria e Teknoloji'}",Digital Humanities,mas,Masai,Nilotic,Llama,False,content
4,1,0.25,E-ilísálíí,"{'minimal': 'E-ilísálíí', 'fluent_speaker': 'E-ilalaani ya Oltaiye Enkishu', 'github_searcher': 'Ustaafu Dijitali', 'judge': 'Enkiguanare e Digital'}",Digital Humanities,mas,Masai,Nilotic,Gemma,False,content
4,1,0.25,Ildiitudo Dimanikilish,"{'minimal': 'Ildiitudo Dimanikilish', 'fluent_speaker': ""Ndeng'eleleng'olelo digitaali"", 'github_searcher': 'Nyaturu Vitendo Vyakula', 'judge': 'Dijitol Enkerai e Iltunganak'}",Digital Humanities,mas,Masai,Nilotic,Qwen,False,content
4,1,0.25,digu-la wa Ingia-rara,"{'minimal': 'digu-la wa Ingia-rara', 'fluent_speaker': 'Digu-tal Huwumaniiti', 'github_searcher': 'Digu-ala Mashinani', 'judge': 'Enkitoria e Teknoloji'}",Digital Humanities,mas,Masai,Nilotic,Mistral,False,content
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,maz,Central Mazahua,Otomanguean,Wikipedia,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,maz,Central Mazahua,Otomanguean,Google Translate,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,maz,Central Mazahua,Otomanguean,EasyNMT,True,
0,0,,,"{'minimal': None, 'fluent_speaker': None, 'github_searcher': None, 'judge': None}",Digital Humanities,maz,Central Mazahua,Otomanguean,Lingvanex,True,
4,2,0.5,Humanidades Digitales,"{'minimal': 'Digital Humanities', 'fluent_speaker': 'Humanidades Digitales', 'github_searcher': 'Humanidades Digitales', 'judge': 'Jñatjo digital'}",Digital Humanities,maz,Central Mazahua,Otomanguean,OpenAI,False,content
4,2,0.5,Jñatjo digital,"{'minimal': ""Jñatjo ts'ite̱ o̱ ts'ite̱ digital"", 'fluent_speaker': ""Jñatjo ts'ite̱ nu digital"", 'github_searcher': 'Jñatjo digital', 'judge': 'Jñatjo digital'}",Digital Humanities,maz,Central Mazahua,Otomanguean,Claude,False,content
