language,language_name,term_source,term,translated_term
ff,Fula,Digital Cultural Heritage,,
gl,Galician,Digital Cultural Heritage,,Patrimonio cultural dixital
ka,Georgian,Digital Cultural Heritage,,ციფრული კულტურული მემკვიდრეობა
de,German,Digital Cultural Heritage,,Digitales Kulturerbe
el,"Greek, Modern",Digital Cultural Heritage,,Ψηφιακή Πολιτιστική Κληρονομιά
gn,Guaraní,Digital Cultural Heritage,,Patrimonio Cultural Digital rehegua
gu,Gujarati,Digital Cultural Heritage,,ડિજિટલ સાંસ્કૃતિક વારસો
ht,Haitian,Digital Cultural Heritage,,Eritaj kiltirèl dijital
ha,Hausa,Digital Cultural Heritage,,Al&#39;adun Dijital
he,Hebrew (modern),Digital Cultural Heritage,,מורשת תרבות דיגיטלית
hz,Herero,Digital Cultural Heritage,,
hi,Hindi,Digital Cultural Heritage,,डिजिटल सांस्कृतिक विरासत
ho,Hiri Motu,Digital Cultural Heritage,,
hu,Hungarian,Digital Cultural Heritage,,Digitális Kulturális Örökség
ia,Interlingua,Digital Cultural Heritage,,
id,Indonesian,Digital Cultural Heritage,,Warisan Budaya Digital
ie,Interlingue,Digital Cultural Heritage,,
ga,Irish,Digital Cultural Heritage,,Oidhreacht Chultúrtha Dhigiteach
ig,Igbo,Digital Cultural Heritage,,Ihe Nketa Omenala Dijitalụ
ik,Inupiaq,Digital Cultural Heritage,,
io,Ido,Digital Cultural Heritage,,
is,Icelandic,Digital Cultural Heritage,,Stafrænn menningararfur
it,Italian,Digital Cultural Heritage,,Patrimonio culturale digitale
iu,Inuktitut,Digital Cultural Heritage,,
ja,Japanese,Digital Cultural Heritage,,デジタル文化遺産
jv,Javanese,Digital Cultural Heritage,,Warisan Budaya Digital
kl,Kalaallisut,Digital Cultural Heritage,,
kn,Kannada,Digital Cultural Heritage,,ಡಿಜಿಟಲ್ ಸಾಂಸ್ಕೃತಿಕ ಪರಂಪರೆ
kr,Kanuri,Digital Cultural Heritage,,
ks,Kashmiri,Digital Cultural Heritage,,
kk,Kazakh,Digital Cultural Heritage,,Цифрлық мәдени мұра
km,Khmer,Digital Cultural Heritage,,បេតិកភណ្ឌវប្បធម៌ឌីជីថល
ki,"Kikuyu, Gikuyu",Digital Cultural Heritage,,
rw,Kinyarwanda,Digital Cultural Heritage,,Umurage ndangamuco
ky,"Kirghiz, Kyrgyz",Digital Cultural Heritage,,Санариптик маданий мурас
kv,Komi,Digital Cultural Heritage,,
kg,Kongo,Digital Cultural Heritage,,
ko,Korean,Digital Cultural Heritage,,디지털 문화유산
ku,Kurdish,Digital Cultural Heritage,,Mîrateya Çandî ya dîjîtal
kj,"Kwanyama, Kuanyama",Digital Cultural Heritage,,
la,Latin,Digital Cultural Heritage,,Digital Heritage culturale
lb,Luxembourgish,Digital Cultural Heritage,,Digital Kulturierwen
lg,Luganda,Digital Cultural Heritage,,Obusika bw&#39;obuwangwa obwa digito
li,Limburgish,Digital Cultural Heritage,,
ln,Lingala,Digital Cultural Heritage,,Patrimoine culturel numérique
lo,Lao,Digital Cultural Heritage,,ມໍລະດົກວັດທະນະທໍາດິຈິຕອນ
lt,Lithuanian,Digital Cultural Heritage,,Skaitmeninis kultūros paveldas
lu,Luba-Katanga,Digital Cultural Heritage,,
lv,Latvian,Digital Cultural Heritage,,Digitālais kultūras mantojums
gv,Manx,Digital Cultural Heritage,,
mk,Macedonian,Digital Cultural Heritage,,Дигитално културно наследство
mg,Malagasy,Digital Cultural Heritage,,Lova ara-kolontsaina nomerika
ms,Malay,Digital Cultural Heritage,,Warisan Budaya Digital
ml,Malayalam,Digital Cultural Heritage,,ഡിജിറ്റൽ സാംസ്കാരിക പൈതൃകം
mt,Maltese,Digital Cultural Heritage,,Wirt Kulturali Diġitali
mi,Māori,Digital Cultural Heritage,,Taonga Ahurea Mamati
mr,Marathi (Marāṭhī),Digital Cultural Heritage,,डिजिटल सांस्कृतिक वारसा
mh,Marshallese,Digital Cultural Heritage,,
mn,Mongolian,Digital Cultural Heritage,,Дижитал соёлын өв
na,Nauru,Digital Cultural Heritage,,
nv,"Navajo, Navaho",Digital Cultural Heritage,,
nb,Norwegian Bokmål,Digital Cultural Heritage,,Digital kulturarv
nd,North Ndebele,Digital Cultural Heritage,,
ne,Nepali,Digital Cultural Heritage,,डिजिटल सांस्कृतिक सम्पदा
ng,Ndonga,Digital Cultural Heritage,,
nn,Norwegian Nynorsk,Digital Cultural Heritage,,
no,Norwegian,Digital Cultural Heritage,,Digital kulturarv
ii,Nuosu,Digital Cultural Heritage,,
nr,South Ndebele,Digital Cultural Heritage,,
oc,Occitan,Digital Cultural Heritage,,
oj,"Ojibwe, Ojibwa",Digital Cultural Heritage,,
cu,Old Church Slavonic,Digital Cultural Heritage,,
om,Oromo,Digital Cultural Heritage,,Hambaa Aadaa Dijitaalaa
or,Oriya,Digital Cultural Heritage,,ଡିଜିଟାଲ୍ ସାଂସ୍କୃତିକ itage ତିହ୍ୟ |
os,"Ossetian, Ossetic",Digital Cultural Heritage,,
pa,"Panjabi, Punjabi",Digital Cultural Heritage,,ਡਿਜੀਟਲ ਸੱਭਿਆਚਾਰਕ ਵਿਰਾਸਤ
pi,Pāli,Digital Cultural Heritage,,
fa,Persian,Digital Cultural Heritage,,میراث فرهنگی دیجیتال
pl,Polish,Digital Cultural Heritage,,Cyfrowe dziedzictwo kulturowe
ps,"Pashto, Pushto",Digital Cultural Heritage,,ډیجیټل کلتوري میراث
pt,Portuguese,Digital Cultural Heritage,,Patrimônio Cultural Digital
qu,Quechua,Digital Cultural Heritage,,Patrimonio Cultural Digital nisqa
rm,Romansh,Digital Cultural Heritage,,
rn,Kirundi,Digital Cultural Heritage,,
ro,"Romanian, Moldavan",Digital Cultural Heritage,,Patrimoniul cultural digital
ru,Russian,Digital Cultural Heritage,,Цифровое культурное наследие
sa,Sanskrit (Saṁskṛta),Digital Cultural Heritage,,डिजिटल सांस्कृतिक धरोहर
sh,Serbo-Crotian,Digital Cultural Heritage,,Дигитално културно наслеђе
sc,Sardinian,Digital Cultural Heritage,,
sd,Sindhi,Digital Cultural Heritage,,ڊجيٽل ثقافتي ورثو
se,Northern Sami,Digital Cultural Heritage,,
sm,Samoan,Digital Cultural Heritage,,Fa&#39;afuainumera Fa&#39;aleaganu&#39;u
sg,Sango,Digital Cultural Heritage,,
sr,Serbian,Digital Cultural Heritage,,Дигитално културно наслеђе
gd,Scottish Gaelic,Digital Cultural Heritage,,Dualchas Cultarach Didseatach
sn,Shona,Digital Cultural Heritage,,Digital Cultural Heritage
si,"Sinhala, Sinhalese",Digital Cultural Heritage,,ඩිජිටල් සංස්කෘතික උරුමය
sk,Slovak,Digital Cultural Heritage,,Digitálne kultúrne dedičstvo
sl,Slovene,Digital Cultural Heritage,,Digitalna kulturna dediščina
so,Somali,Digital Cultural Heritage,,Dhaxalka Dhaqanka Dijital ah
st,Southern Sotho,Digital Cultural Heritage,,Digital Cultural Heritage
es,Spanish; Castilian,Digital Cultural Heritage,,Patrimonio Cultural Digital
su,Sundanese,Digital Cultural Heritage,,Warisan Budaya Digital
sw,Swahili,Digital Cultural Heritage,,Urithi wa Utamaduni wa Dijiti
ss,Swati,Digital Cultural Heritage,,
sv,Swedish,Digital Cultural Heritage,,Digitalt kulturarv
ta,Tamil,Digital Cultural Heritage,,டிஜிட்டல் கலாச்சார பாரம்பரியம்
te,Telugu,Digital Cultural Heritage,,డిజిటల్ సాంస్కృతిక వారసత్వం
tg,Tajik,Digital Cultural Heritage,,Мероси фарҳангии рақамӣ
th,Thai,Digital Cultural Heritage,,มรดกทางวัฒนธรรมดิจิทัล
ti,Tigrinya,Digital Cultural Heritage,,ዲጂታል ባህላዊ ውርሻ
bo,Tibetan,Digital Cultural Heritage,,
tk,Turkmen,Digital Cultural Heritage,,Sanly medeni miras
tl,Tagalog,Digital Cultural Heritage,,Digital Cultural Heritage
tn,Tswana,Digital Cultural Heritage,,
to,Tonga,Digital Cultural Heritage,,
tr,Turkish,Digital Cultural Heritage,,Dijital Kültürel Miras
ts,Tsonga,Digital Cultural Heritage,,Ndzhaka ya Ndhavuko ya Xidijitali
tt,Tatar,Digital Cultural Heritage,,Санлы мәдәни мирас
tw,Twi,Digital Cultural Heritage,,Digitals Amammerɛ Agyapade
ty,Tahitian,Digital Cultural Heritage,,
ug,"Uighur, Uyghur",Digital Cultural Heritage,,رەقەملىك مەدەنىيەت مىراسلىرى
uk,Ukrainian,Digital Cultural Heritage,,Цифрова культурна спадщина
ur,Urdu,Digital Cultural Heritage,,ڈیجیٹل ثقافتی ورثہ
uz,Uzbek,Digital Cultural Heritage,,Raqamli madaniy meros
ve,Venda,Digital Cultural Heritage,,
vi,Vietnamese,Digital Cultural Heritage,,Di sản văn hóa kỹ thuật số
vo,Volapük,Digital Cultural Heritage,,
wa,Walloon,Digital Cultural Heritage,,
cy,Welsh,Digital Cultural Heritage,,Treftadaeth Ddiwylliannol Ddigidol
wo,Wolof,Digital Cultural Heritage,,
fy,Western Frisian,Digital Cultural Heritage,,Digitaal Kultureel Erfguod
xh,Xhosa,Digital Cultural Heritage,,ILifa leMveli yeNkcubeko yeDijithali
yi,Yiddish,Digital Cultural Heritage,,דיגיטאַל קולטור העריטאַגע
yo,Yoruba,Digital Cultural Heritage,,Digital Cultural Heritage
za,"Zhuang, Chuang",Digital Cultural Heritage,,
zu,Zulu,Digital Cultural Heritage,,I-Digital Cultural Heritage
ab,Abkhaz,Cultural Analytics,,
aa,Afar,Cultural Analytics,,
af,Afrikaans,Cultural Analytics,,Kultuuranalise
ak,Akan,Cultural Analytics,,Amammerɛ mu Nhwehwɛmu
sq,Albanian,Cultural Analytics,,Analiza kulturore
am,Amharic,Cultural Analytics,,የባህል ትንታኔ
ar,Arabic,Cultural Analytics,,التحليلات الثقافية
an,Aragonese,Cultural Analytics,,
hy,Armenian,Cultural Analytics,,Մշակութային վերլուծություն
as,Assamese,Cultural Analytics,,সাংস্কৃতিক বিশ্লেষণ
av,Avaric,Cultural Analytics,,
ae,Avestan,Cultural Analytics,,
ay,Aymara,Cultural Analytics,,Análisis Cultural uka tuqit yatxataña
az,Azerbaijani,Cultural Analytics,,Mədəniyyət Analitikası
bm,Bambara,Cultural Analytics,,Ladamuni Sɛgɛsɛgɛli
ba,Bashkir,Cultural Analytics,,
eu,Basque,Cultural Analytics,,Kultura Analitika
be,Belarusian,Cultural Analytics,,Культурная аналітыка
bn,Bengali,Cultural Analytics,,সাংস্কৃতিক বিশ্লেষণ
bh,Bihari,Cultural Analytics,,सांस्कृतिक विश्लेषण के बारे में बतावल गइल बा
bi,Bislama,Cultural Analytics,,
bs,Bosnian,Cultural Analytics,,Cultural Analytics
br,Breton,Cultural Analytics,,
bg,Bulgarian,Cultural Analytics,,Културен анализ
my,Burmese,Cultural Analytics,,ယဉ်ကျေးမှုပိုင်းခြားစိတ်ဖြာမှု
ca,Catalan; Valencian,Cultural Analytics,,Analítica cultural
ch,Chamorro,Cultural Analytics,,
ce,Chechen,Cultural Analytics,,
ny,Chichewa; Chewa; Nyanja,Cultural Analytics,,Cultural Analytics
zh,Chinese,Cultural Analytics,,文化分析
cv,Chuvash,Cultural Analytics,,
kw,Cornish,Cultural Analytics,,
co,Corsican,Cultural Analytics,,Analisi culturale
cr,Cree,Cultural Analytics,,
hr,Croatian,Cultural Analytics,,Kulturna analitika
cs,Czech,Cultural Analytics,,Kulturní analýza
da,Danish,Cultural Analytics,,Kulturanalyse
dv,Divehi; Maldivian;,Cultural Analytics,,ކަލްޗަރަލް އެނަލިޓިކްސް
nl,Dutch,Cultural Analytics,,Culturele analyse
dz,Dzongkha,Cultural Analytics,,
en,English,Cultural Analytics,,Cultural Analytics
eo,Esperanto,Cultural Analytics,,Kultura Analizo
et,Estonian,Cultural Analytics,,Kultuurianalüüs
ee,Ewe,Cultural Analytics,,Dekɔnuwo Ŋuti Numekuku
fo,Faroese,Cultural Analytics,,
fj,Fijian,Cultural Analytics,,
fi,Finnish,Cultural Analytics,,Kulttuurianalytiikka
fr,French,Cultural Analytics,,Analyse culturelle
ff,Fula,Cultural Analytics,,
gl,Galician,Cultural Analytics,,Analítica Cultural
ka,Georgian,Cultural Analytics,,კულტურული ანალიტიკა
de,German,Cultural Analytics,,Kulturanalyse
el,"Greek, Modern",Cultural Analytics,,Πολιτιστικές Αναλύσεις
gn,Guaraní,Cultural Analytics,,Análisis Cultural rehegua
gu,Gujarati,Cultural Analytics,,સાંસ્કૃતિક વિશ્લેષણ
ht,Haitian,Cultural Analytics,,Analytics kiltirèl
ha,Hausa,Cultural Analytics,,Nazarin Al&#39;adu
he,Hebrew (modern),Cultural Analytics,,ניתוח תרבות
hz,Herero,Cultural Analytics,,
hi,Hindi,Cultural Analytics,,सांस्कृतिक विश्लेषण
ho,Hiri Motu,Cultural Analytics,,
hu,Hungarian,Cultural Analytics,,Kulturális elemzés
ia,Interlingua,Cultural Analytics,,
id,Indonesian,Cultural Analytics,,Analisis Budaya
ie,Interlingue,Cultural Analytics,,
ga,Irish,Cultural Analytics,,Anailísíocht Chultúrtha
ig,Igbo,Cultural Analytics,,Nchịkọta Omenala
ik,Inupiaq,Cultural Analytics,,
io,Ido,Cultural Analytics,,
is,Icelandic,Cultural Analytics,,Menningargreining
it,Italian,Cultural Analytics,,Analisi culturale
iu,Inuktitut,Cultural Analytics,,
ja,Japanese,Cultural Analytics,,文化分析
jv,Javanese,Cultural Analytics,,Analisis Budaya
kl,Kalaallisut,Cultural Analytics,,
kn,Kannada,Cultural Analytics,,ಸಾಂಸ್ಕೃತಿಕ ವಿಶ್ಲೇಷಣೆ
kr,Kanuri,Cultural Analytics,,
ks,Kashmiri,Cultural Analytics,,
kk,Kazakh,Cultural Analytics,,Мәдени талдау
km,Khmer,Cultural Analytics,,ការវិភាគវប្បធម៌
ki,"Kikuyu, Gikuyu",Cultural Analytics,,
rw,Kinyarwanda,Cultural Analytics,,Isesengura ry&#39;umuco
ky,"Kirghiz, Kyrgyz",Cultural Analytics,,Cultural Analytics
kv,Komi,Cultural Analytics,,
kg,Kongo,Cultural Analytics,,
ko,Korean,Cultural Analytics,,문화 분석
ku,Kurdish,Cultural Analytics,,Analîtîkên Çandî
kj,"Kwanyama, Kuanyama",Cultural Analytics,,
la,Latin,Cultural Analytics,,Culturae Analytics
lb,Luxembourgish,Cultural Analytics,,Cultural Analytics
lg,Luganda,Cultural Analytics,,Okwekenenya eby’obuwangwa
li,Limburgish,Cultural Analytics,,
ln,Lingala,Cultural Analytics,,Analytique ya mimeseno
lo,Lao,Cultural Analytics,,ການວິເຄາະວັດທະນະທໍາ
lt,Lithuanian,Cultural Analytics,,Kultūros analitika
lu,Luba-Katanga,Cultural Analytics,,
lv,Latvian,Cultural Analytics,,Kultūras analīze
gv,Manx,Cultural Analytics,,
mk,Macedonian,Cultural Analytics,,Културна аналитика
mg,Malagasy,Cultural Analytics,,Cultural Analytics
ms,Malay,Cultural Analytics,,Analisis Budaya
ml,Malayalam,Cultural Analytics,,സാംസ്കാരിക വിശകലനം
mt,Maltese,Cultural Analytics,,Analitika Kulturali
mi,Māori,Cultural Analytics,,Tikanga Ahurea
mr,Marathi (Marāṭhī),Cultural Analytics,,सांस्कृतिक विश्लेषण
mh,Marshallese,Cultural Analytics,,
mn,Mongolian,Cultural Analytics,,Соёлын аналитик
na,Nauru,Cultural Analytics,,
nv,"Navajo, Navaho",Cultural Analytics,,
nb,Norwegian Bokmål,Cultural Analytics,,Kulturanalyse
nd,North Ndebele,Cultural Analytics,,
ne,Nepali,Cultural Analytics,,सांस्कृतिक विश्लेषण
ng,Ndonga,Cultural Analytics,,
nn,Norwegian Nynorsk,Cultural Analytics,,
no,Norwegian,Cultural Analytics,,Kulturanalyse
ii,Nuosu,Cultural Analytics,,
nr,South Ndebele,Cultural Analytics,,
oc,Occitan,Cultural Analytics,,
oj,"Ojibwe, Ojibwa",Cultural Analytics,,
cu,Old Church Slavonic,Cultural Analytics,,
om,Oromo,Cultural Analytics,,Xiinxala Aadaa
or,Oriya,Cultural Analytics,,ସାଂସ୍କୃତିକ ଆନାଲିଟିକ୍ସ |
os,"Ossetian, Ossetic",Cultural Analytics,,
pa,"Panjabi, Punjabi",Cultural Analytics,,ਸੱਭਿਆਚਾਰਕ ਵਿਸ਼ਲੇਸ਼ਣ
pi,Pāli,Cultural Analytics,,
fa,Persian,Cultural Analytics,,تحلیل فرهنگی
pl,Polish,Cultural Analytics,,Analityka kulturowa
ps,"Pashto, Pushto",Cultural Analytics,,کلتوري تحلیلونه
pt,Portuguese,Cultural Analytics,,Análise cultural
qu,Quechua,Cultural Analytics,,Análisis Cultural nisqamanta
rm,Romansh,Cultural Analytics,,
rn,Kirundi,Cultural Analytics,,
ro,"Romanian, Moldavan",Cultural Analytics,,Analiza culturală
ru,Russian,Cultural Analytics,,Культурная аналитика
sa,Sanskrit (Saṁskṛta),Cultural Analytics,,सांस्कृतिक विश्लेषण
sh,Serbo-Crotian,Cultural Analytics,,Цултурал Аналитицс
sc,Sardinian,Cultural Analytics,,
sd,Sindhi,Cultural Analytics,,ثقافتي تجزياتي
se,Northern Sami,Cultural Analytics,,
sm,Samoan,Cultural Analytics,,Iloiloga Fa&#39;ale-aganu&#39;u
sg,Sango,Cultural Analytics,,
sr,Serbian,Cultural Analytics,,Цултурал Аналитицс
gd,Scottish Gaelic,Cultural Analytics,,Analytics cultarail
sn,Shona,Cultural Analytics,,Cultural Analytics
si,"Sinhala, Sinhalese",Cultural Analytics,,සංස්කෘතික විශ්ලේෂණ
sk,Slovak,Cultural Analytics,,Kultúrna analýza
sl,Slovene,Cultural Analytics,,Kulturna analitika
so,Somali,Cultural Analytics,,Falanqaynta Dhaqanka
st,Southern Sotho,Cultural Analytics,,Litlhahlobo tsa Setso
es,Spanish; Castilian,Cultural Analytics,,Analítica cultural
su,Sundanese,Cultural Analytics,,Analisis Budaya
sw,Swahili,Cultural Analytics,,Uchambuzi wa Utamaduni
ss,Swati,Cultural Analytics,,
sv,Swedish,Cultural Analytics,,Kulturanalys
ta,Tamil,Cultural Analytics,,கலாச்சார பகுப்பாய்வு
te,Telugu,Cultural Analytics,,సాంస్కృతిక విశ్లేషణలు
tg,Tajik,Cultural Analytics,,Таҳлили фарҳангӣ
th,Thai,Cultural Analytics,,การวิเคราะห์ทางวัฒนธรรม
ti,Tigrinya,Cultural Analytics,,ባህላዊ ትንታነታት
bo,Tibetan,Cultural Analytics,,
tk,Turkmen,Cultural Analytics,,Medeni seljeriş
tl,Tagalog,Cultural Analytics,,Cultural Analytics
tn,Tswana,Cultural Analytics,,
to,Tonga,Cultural Analytics,,
tr,Turkish,Cultural Analytics,,Kültürel Analitik
ts,Tsonga,Cultural Analytics,,Nxopaxopo wa Ndhavuko
tt,Tatar,Cultural Analytics,,Мәдәни аналитика
tw,Twi,Cultural Analytics,,Amammerɛ mu Nhwehwɛmu
ty,Tahitian,Cultural Analytics,,
ug,"Uighur, Uyghur",Cultural Analytics,,مەدەنىيەت ئانالىزى
uk,Ukrainian,Cultural Analytics,,Культурна аналітика
ur,Urdu,Cultural Analytics,,ثقافتی تجزیات
uz,Uzbek,Cultural Analytics,,Madaniy tahlil
ve,Venda,Cultural Analytics,,
vi,Vietnamese,Cultural Analytics,,Phân tích văn hóa
vo,Volapük,Cultural Analytics,,
wa,Walloon,Cultural Analytics,,
cy,Welsh,Cultural Analytics,,Dadansoddeg Ddiwylliannol
wo,Wolof,Cultural Analytics,,
fy,Western Frisian,Cultural Analytics,,Kulturele Analytics
xh,Xhosa,Cultural Analytics,,Uhlalutyo lweNkcubeko
yi,Yiddish,Cultural Analytics,,קולטור אַנאַליטיקס
yo,Yoruba,Cultural Analytics,,Atupale Asa
za,"Zhuang, Chuang",Cultural Analytics,,
zu,Zulu,Cultural Analytics,,Izibalo Zezamasiko
ab,Abkhaz,Computational Humanities,,
aa,Afar,Computational Humanities,,
af,Afrikaans,Computational Humanities,,Rekenkundige Geesteswetenskappe
ak,Akan,Computational Humanities,,Mfiridwuma mu Nnipa Ho Adesua
sq,Albanian,Computational Humanities,,Shkenca Kompjuterike Humane
am,Amharic,Computational Humanities,,የሂሳብ ሰብአዊነት
ar,Arabic,Computational Humanities,,العلوم الإنسانية الحاسوبية
an,Aragonese,Computational Humanities,,
hy,Armenian,Computational Humanities,,Հաշվողական հումանիտար գիտություններ
as,Assamese,Computational Humanities,,কম্পিউটেচনেল হিউমেনিটিজ
av,Avaric,Computational Humanities,,
ae,Avestan,Computational Humanities,,
ay,Aymara,Computational Humanities,,Humanidades Computacionales uka tuqita yatxataña
az,Azerbaijani,Computational Humanities,,Hesablamalı humanitar elmlər
bm,Bambara,Computational Humanities,,Jateblaw Hadamadenw ka dɔnniyaw
ba,Bashkir,Computational Humanities,,
eu,Basque,Computational Humanities,,Humanitate Konputazionalak
be,Belarusian,Computational Humanities,,Вылічальныя гуманітарныя навукі
bn,Bengali,Computational Humanities,,কম্পিউটেশনাল হিউম্যানিটিজ
bh,Bihari,Computational Humanities,,कम्प्यूटेशनल मानविकी के बारे में बतावल गइल बा
bi,Bislama,Computational Humanities,,
bs,Bosnian,Computational Humanities,,Computational Humanities
br,Breton,Computational Humanities,,
bg,Bulgarian,Computational Humanities,,Компютърни хуманитарни науки
my,Burmese,Computational Humanities,,ကွန်ပြူတာလူ့ပညာ
ca,Catalan; Valencian,Computational Humanities,,Humanitats Computacionals
ch,Chamorro,Computational Humanities,,
ce,Chechen,Computational Humanities,,
ny,Chichewa; Chewa; Nyanja,Computational Humanities,,Computational Humanities
zh,Chinese,Computational Humanities,,计算人文
cv,Chuvash,Computational Humanities,,
kw,Cornish,Computational Humanities,,
co,Corsican,Computational Humanities,,Umanità computazionale
cr,Cree,Computational Humanities,,
hr,Croatian,Computational Humanities,,Računalne humanističke znanosti
cs,Czech,Computational Humanities,,Počítačové humanitní vědy
da,Danish,Computational Humanities,,Computational Humanities
dv,Divehi; Maldivian;,Computational Humanities,,ކޮމްޕިއުޓޭޝަނަލް ހިއުމަނިޓީސް އެވެ
nl,Dutch,Computational Humanities,,Computationele geesteswetenschappen
dz,Dzongkha,Computational Humanities,,
en,English,Computational Humanities,,Computational Humanities
eo,Esperanto,Computational Humanities,,Komputilaj Homaroj
et,Estonian,Computational Humanities,,Arvutuslik humanitaarteadus
ee,Ewe,Computational Humanities,,Akɔntabubu Ŋuti Amegbetɔŋutinunya
fo,Faroese,Computational Humanities,,
fj,Fijian,Computational Humanities,,
fi,Finnish,Computational Humanities,,Laskennalliset humanistiset tieteet
fr,French,Computational Humanities,,Humanités computationnelles
ff,Fula,Computational Humanities,,
gl,Galician,Computational Humanities,,Humanidades Computacionales
ka,Georgian,Computational Humanities,,გამოთვლითი ჰუმანიტარული მეცნიერებები
de,German,Computational Humanities,,Computational Humanities
el,"Greek, Modern",Computational Humanities,,Υπολογιστικές Ανθρωπιστικές Επιστήμες
gn,Guaraní,Computational Humanities,,Humanidades Computacionales rehegua
gu,Gujarati,Computational Humanities,,કોમ્પ્યુટેશનલ હ્યુમેનિટીઝ
ht,Haitian,Computational Humanities,,Syans imanitè enfòmatik
ha,Hausa,Computational Humanities,,Ƙididdigar Bil&#39;adama
he,Hebrew (modern),Computational Humanities,,מדעי הרוח החישוביים
hz,Herero,Computational Humanities,,
hi,Hindi,Computational Humanities,,कम्प्यूटेशनल मानविकी
ho,Hiri Motu,Computational Humanities,,
hu,Hungarian,Computational Humanities,,Számítástechnikai bölcsészet
ia,Interlingua,Computational Humanities,,
id,Indonesian,Computational Humanities,,Humaniora Komputasi
ie,Interlingue,Computational Humanities,,
ga,Irish,Computational Humanities,,Daonnachtaí Ríomhaireachtúla
ig,Igbo,Computational Humanities,,Kọmputa Humanities
ik,Inupiaq,Computational Humanities,,
io,Ido,Computational Humanities,,
is,Icelandic,Computational Humanities,,Reiknunarhugvísindi
it,Italian,Computational Humanities,,Scienze umanistiche computazionali
iu,Inuktitut,Computational Humanities,,
ja,Japanese,Computational Humanities,,計算人文科学
jv,Javanese,Computational Humanities,,Komputasi Humaniora
kl,Kalaallisut,Computational Humanities,,
kn,Kannada,Computational Humanities,,ಕಂಪ್ಯೂಟೇಶನಲ್ ಹ್ಯುಮಾನಿಟೀಸ್
kr,Kanuri,Computational Humanities,,
ks,Kashmiri,Computational Humanities,,
kk,Kazakh,Computational Humanities,,Есептік гуманитарлық ғылымдар
km,Khmer,Computational Humanities,,មនុស្សសាស្ត្រកុំព្យូទ័រ
ki,"Kikuyu, Gikuyu",Computational Humanities,,
rw,Kinyarwanda,Computational Humanities,,Ubumuntu
ky,"Kirghiz, Kyrgyz",Computational Humanities,,Эсептөөчү гуманитардык илимдер
kv,Komi,Computational Humanities,,
kg,Kongo,Computational Humanities,,
ko,Korean,Computational Humanities,,전산인문학
ku,Kurdish,Computational Humanities,,Humanities Computational
kj,"Kwanyama, Kuanyama",Computational Humanities,,
la,Latin,Computational Humanities,,Humanities computational
lb,Luxembourgish,Computational Humanities,,Computational Geeschteswëssenschaft
lg,Luganda,Computational Humanities,,Eby’obuntubulamu eby’okubalirira
li,Limburgish,Computational Humanities,,
ln,Lingala,Computational Humanities,,Humanités ya ba calculs
lo,Lao,Computational Humanities,,ມະນຸດສາດຄອມພິວເຕີ
lt,Lithuanian,Computational Humanities,,Skaičiavimo humanitariniai mokslai
lu,Luba-Katanga,Computational Humanities,,
lv,Latvian,Computational Humanities,,Skaitļošanas humanitārās zinātnes
gv,Manx,Computational Humanities,,
mk,Macedonian,Computational Humanities,,Компјутерски хуманистички науки
mg,Malagasy,Computational Humanities,,Computational Humanities
ms,Malay,Computational Humanities,,Kemanusiaan Pengiraan
ml,Malayalam,Computational Humanities,,കമ്പ്യൂട്ടേഷണൽ ഹ്യുമാനിറ്റീസ്
mt,Maltese,Computational Humanities,,Umanistika Komputali
mi,Māori,Computational Humanities,,Tangata Tatauranga
mr,Marathi (Marāṭhī),Computational Humanities,,संगणकीय मानवता
mh,Marshallese,Computational Humanities,,
mn,Mongolian,Computational Humanities,,Тооцооллын хүмүүнлэг
na,Nauru,Computational Humanities,,
nv,"Navajo, Navaho",Computational Humanities,,
nb,Norwegian Bokmål,Computational Humanities,,Computational Humanities
nd,North Ndebele,Computational Humanities,,
ne,Nepali,Computational Humanities,,कम्प्यूटेशनल मानविकी
ng,Ndonga,Computational Humanities,,
nn,Norwegian Nynorsk,Computational Humanities,,
no,Norwegian,Computational Humanities,,Computational Humanities
ii,Nuosu,Computational Humanities,,
nr,South Ndebele,Computational Humanities,,
oc,Occitan,Computational Humanities,,
oj,"Ojibwe, Ojibwa",Computational Humanities,,
cu,Old Church Slavonic,Computational Humanities,,
om,Oromo,Computational Humanities,,Saayinsii Namoomaa Shallaggii
or,Oriya,Computational Humanities,,ଗଣନାକାରୀ ମାନବିକତା |
os,"Ossetian, Ossetic",Computational Humanities,,
pa,"Panjabi, Punjabi",Computational Humanities,,ਕੰਪਿਊਟੇਸ਼ਨਲ ਹਿਊਮੈਨਟੀਜ਼
pi,Pāli,Computational Humanities,,
fa,Persian,Computational Humanities,,علوم انسانی محاسباتی
pl,Polish,Computational Humanities,,Humanistyka obliczeniowa
ps,"Pashto, Pushto",Computational Humanities,,کمپیوټري انسانیتونه
pt,Portuguese,Computational Humanities,,Humanidades Computacionais
qu,Quechua,Computational Humanities,,Humanidades Computacionales nisqamanta
rm,Romansh,Computational Humanities,,
rn,Kirundi,Computational Humanities,,
ro,"Romanian, Moldavan",Computational Humanities,,Stiinte umaniste computationale
ru,Russian,Computational Humanities,,Вычислительные гуманитарные науки
sa,Sanskrit (Saṁskṛta),Computational Humanities,,कम्प्यूटेशनल मानविकी
sh,Serbo-Crotian,Computational Humanities,,Цомпутатионал Хуманитиес
