search_term,natural_language,counts,directionality,search_term_source,category,keep_term
ligis kewaqutinaq,mic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
humanithek digitek,mye,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
дигитални умствени науки,mk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
цифрань гуманитарной наукат,myv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
цифрань гуманитария,myv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
цифрань ломаньчинь тонавтнема,myv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
дигитални хуманистички науки,mk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ilmu sosial dan budaya digital,min,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
мольгавикс википедия,myv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
цифровой чингелдонь наука,myv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
penghuanumet digital,min,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
дигиталный гуманитаризм,myv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ditiko himuunyami,myx,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
эрзян кырык худэс,myv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
niskamij telitukik,mic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
bumanyi bwa dijitali,myx,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
obusobozi bwa digital mu buntu,myx,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
obumanyifu bwa dijitaali,myx,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
kji-kjimujin,mic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
kuumba za kielektroniki,myx,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
kisu'lukewey na tujiw,mic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
wapna'qik niskamijik,mic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
kina'muokuom ta'n telui-wikatikl,mic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
djitali jumhuriyadda,mye,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
дигитални хуманистике,mk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
siŋgúla ǧeččéla,mye,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
mɛ́nɛ̀ dʒiˈdʒɪtəl huːmænz,mye,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ᡩᡳᠵᡳᠶᠠᡳ ᡥᡡᠮᠠᠨᡳᠨ,mnc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
kev pab txog kev pab,mww,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dawg haisub,mww,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
дигитал бүтэц зохиол,mn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
unyanzvi hwerudhivhiti,mxc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
zvinyorwa zvedhijitari,mxc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
munhu wakapinda kana kutsvina,mxc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
hunyanzvi hekufamba nezvigadzirwa zvemagadziri,mxc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ukuvuvi waumashauri digitali,mxc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
дигитал хүмүүснэгт,mn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
murume vanhu veshona,mxc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ဒစ်ဂျစ်တယ် လူသားပညာ,my,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ဒစ်ဂျစ်တယ် လူ့ဗေဒ,my,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
дижитал хүмүүнлэг ухаан,mn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ဒစ်ဂျစ်တယ်လူမှုသိပ္ပံ,my,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ဒီဂျစ်တယ် သမိုင်းပညာ,my,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ឌីជីថលមនុស្សជាតិវិជ្ជា,my,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
дижитал хүмүүнлэгийн ухаан,mn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ဒီဇိုင်းအမျိုးသားဘဝင်းရေး,my,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
inyango za numériki,mye,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
mikanda mi nzembo ya mbelo,mye,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
hààlì-dii-gì-tì,myx,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
komputerilahumanistika,myx,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
sikatun sastra adat,mwv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
umanistiche digitali,nap,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
hangarau tangata,mi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dzidzoret kumanistika,mhn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ticcehuayotl tlamachtiliztli,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tlamatiliztli ixiptlayotl,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tlapouhqui tlamachtilli,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tlapōhualli itechpa tlācatlacayōtl,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tlilli tlahtoāmoxtli,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tlahtōlli-tlācatl-yoltlātl,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tlācayotl ēdōmehuaya,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tlacuilolli yan informatikatl,nah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
umanesimo diggitale,nap,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ܐܢܫܘܬܐ ܕܝܓܝܛܠܝܬܐ,myz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
humanitá digitale,nap,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ǀhuiǂgao ǁkhāǁkhāsib,naq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
tjaan-khob toga,naq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dììgìtāl hümàànítì,naq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
tsumbukisho tuyufuza,naq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
umanità digitol,mhn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digiàlles umanitàes,mhn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitalt humanistikk,nb,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitale menschheit,mhn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitale humanistik,mhn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
aronui matihiko,mi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
mātauranga matihiko tangata,mi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ngā toi matihiko,mi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
hengemot sapamot,na,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ࡎࡐࡓࡀ ࡃࡌࡀࡃࡏࡀࡕࡀ ࡃࡀࡍࡀࡔࡀ,myz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ܡܕܥܐ ܪ̈ܘܚܢܐ ܕܝܓܝܛܠܝܐ,myz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ܕܝܓܝܛܠ ܐܢܫܘܬܐ ܕܝܕܥܬܐ,myz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ܗ̇ܢܘ̈ܬܐ ܕܡܲܢܝܘ̈ܬܐ ܩܲܕܡܝ̈ܬܐ,myz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ܕܝܡܐ ܕܢܘܪܝܢܐ,myz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tussniwin n tfekka s uselkim,mzb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
timlilit tamazdayt,mzb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
tajjant n tɣawsiwin n uḍris,mzb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
te tari hauora pūkaha,mi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
zhilakal ña'khtuwa,mzb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
tigdayut n tudert,mzb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
mātauranga pae tātou kōrero,mi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tawalilt t-tufayl,mzb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
التقنيات الرقمية للبشرية,mzb,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
دیجیتال ِ انسانی علوم,mzn,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
ngā toahanga numera,mi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
رۊدی ٚ مۊنسۊنی,mzn,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
هۆمیالیک ڕانندازی,mzn,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
kaburete kabi,na,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
reo dijital nōmen,na,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
tahuaidika idundunauta,na,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
kev kawm txog neeg thiab tshuab,mww,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
puruk kapsiwinu,mwv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
gikendaasowin ezhibii'igaadeg,oj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ဒစ်ဂျစ်တယ် လူမှုဗေဒ,mnw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tìr-tìr-kàl-tìr-bàl-sù,mrd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
umanistici digitali,mo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
sangsiya dhimashika,mrd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dhilakalapi,mrh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
umanistica digitală,mo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ŋa'a diŋa-ŋa,mrh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dijitalni umjetnosti,mrh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ဘာသာအကြောင်း,mnw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
дэлхийн бүтэц,mnw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
дижитал хүмүүнэжүгэй,mnw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
humanitats digitale,mrh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ḍigital manav-śastra,mro,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ဒေဂျေတဲလ် ဟျူမဲန်နီတီစ်,mnw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
цифровой гуманитарный наукывлӓ,mrj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ဒဳဂျဳတေဝ် မနုဿဗေဒ,mnw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
цифр гуманитарный шӹмлӹмӓш,mrj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ဒေဝါသုခါနိ,mnw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
кодымыжтӧдыш,mrj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
цифралу кодизе,mrj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
диджиталлам хуманитарлама,mrj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
худыр-элгин ӱлкә,mrj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ненангы ёхтэн кымпьютер төрлә (компьютер-технология) - дыхкын ёхтэ,mns,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
khaṭaṇi kala,mrd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
दिलीજित विज्ञान,mr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
डिजिटल मानवविज्ञान,mr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
humanitate digitală,mo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tekanikonra'ts kahyatónhsera,moh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
wahta'kwanhsera's tekanowé:ke,moh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ko:twehkwennion:kwa,moh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
teiotenonhsothóhsera tsi niionkwatahniráthon,moh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tsi niionkwarihò:ten tsi nikarihwaká:ron,moh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
kahentawaks kaniatarowanernionhsa,moh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
sẽn be sebrã pʋgẽ me,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
zanga numidiga,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ninsaale ye kũuni-kãsem,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tshishkuaknik tikivaitimik,moe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
humanité-wɛɛnga,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
nipapishit ne-pishimueu,moe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
nitanisak kuehkutu,moe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ninsaalbãmb digitaal,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ŋɔkpɛla ŋkpurɛ,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
masinahikanishkueu atusseun,moe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
mishkashkikun e-tshishkueu,moe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
innuat-aitun nipishapitsheutshuapa,moe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
kɔɔg-bɛriŋ ŋɔɔsɔŋ,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
sawuli wa dila,mos,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
डिजिटल मानव्यविद्या,mr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
mruṭhikārī digital,mro,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digiitali muwmiliit,mro,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
sikaké-sikaké séré,mwv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
kɔmpyutɛri ni hadamadenya,mwk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
cokv mvhayv cokv enhvteceskv,mus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ᡳᠯᠠᡥᡝ ᡶᡝᠰᡝᠨ,mnc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ᡩᡳᡤᡳᡨᠠᠯ ᠨᡳᠶᠠᠯᠮᠠ ᠪᡝ ᡴᠠᡵᠮᠠᡵᠠ ᠪᡳᡨᡥᡝ,mnc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ꮧꮎꮣ ꭴꮥꮆꮒꭿ ꭶꮪꭲ,mus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
vnvhvssevssevhv hvahv,mus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
tsalagi tsanvli gvna,mus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ilaspa vhalvhalvhi,mus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ᡩᡳᡤᡳᡩᠠᠯ ᡥᡠᠮᠠᠨᡳᡩᡟ,mnc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dijitalu hamanite,mwk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
hadamadenyako nɔmɔrɔya,mwk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tama jaraati,mwk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ধারনাতমক মানবস্বরী,mro,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
hergen i tacikū,mnc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitaal ŋaŋgɔɔŋ,mwk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
duléjwatu yàfòn,mwk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
humanitá digitali,mwk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
houmanidades digitales,mwl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digitales houmanidades,mwl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
n'dĩgĩtālī ĩhũmanī,mwl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ડિજિટલ મનોવિદ્યા,mwr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
simagere sirimanua digital,mwv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
teka sosial digital,mwv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
tvlse emponkv,mus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
kompíwta nakcokv-kerretv,mus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
teknologi sosial digital,mua,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ᡠᠡᠴᡠᠨ᠋ ᡳᠯᡠᠨ ᡠᠡᠴᡠᠨ᠋,mnc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
umanistika diġitali,mt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
umanitajiet diġitali,mt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
дигиталдун дүйнөлүк тарыхы,mns,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
kuɣaʔaŋa pɛlɛsɛ,mns,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
цифра мāньщипāлта хансын,mns,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
цифровой гуманитарный наукаяс,mns,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ডিজিটাল ম্যানিপুরী সাহিত্য,mni,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
xjenzi diġitali,mt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
umanistiċi diġitali,mt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ꯗꯤꯖꯤꯇꯦꯜ ꯍ꯭ꯌꯨꯃꯦꯟꯇꯤꯁ,mni,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
umanitarji digitali,mt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ġejtuar digitali,mt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
humaniżi tad-digrjal,mt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ডিজিটেল হিউমেনিটিজ,mni,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
大利石化,mnc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dhārmiyā digital kala,mtr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
nɔ̀ɔ̀ŋ kàrà nùmèrò,mua,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitas hulunbiši,mnc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tɛmɛtɛrɛkɔnɔŋ tɛ kɩsɛ,mua,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
mundang-ngi duma-ngi,mua,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dikigiti vilomu,mua,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitale geistesbissenschaften,mhn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
tlamachtilistli iuan tlamachilistli tlen yancuic,nch,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitale humanistìk,mhn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
zava-manasao mavitrika,mg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
botho bja ditala,nso,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
bomahlale a dikgetho tša dipalo,nso,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
tlhomamiso ya digital,nso,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
inin-ditsiky,mg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
fanarantsoa filozofia,mg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
diphefo tsa dijital,nso,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
motswako ya diteleleng,nso,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
thök ke digital,nus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
jang cieng digital,nus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
cäth thɛɛr kɛ jɔl,nus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ŋɔm pääc,nus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
siansa maha-olombelona nomerika,mg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dut-gëëc-mëëc,nus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
tantara fampianarana digitaly,mg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digiitalo dhammaan,nus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
fahaizana digital ho an'ny olombelona,mg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
jieng dhiek thok,nus,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
diné bizaad bee naʼníłkaah,nv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
béésh bee akʼeʼelchíhí bee iiná,nv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
fahaiza-manaon'olombelona nomerika,mg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
naaltsoos bee hane' dóó digital bee hane',nv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
béésh bee akʼeʼelchíhí dóó diné bizaad bee naʼanish,nv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
botho bja didijithale,nso,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dijithale tša botho,nso,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
daonnaíocht dhigiteach,mga,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dījitale menschliket,nrm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
skrifþáttr menningarfræði,non,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
digital humanitás,nov,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digital homanes,nov,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digidal humanitates,nov,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitala humanitates,nov,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digitale humantec,nov,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
digu-humanistikoj,nov,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ߘߌ߬ߜߊ߬ߓߊ߬ ߞߎߡߊ߬ߘߊ߲߫,nqo,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
ߞߟߊߓߍ߲ߠߌ߲ ߘߎ߰ߡߊ߬ߛߓߍߟߌ,nqo,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
ߘ߭ߞߕߊߟ߫ ߡߊ߬ߘߊ߬ߘߊ߫,nqo,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
ߘߌߖߌߕߊߟ ߤߎߡߊߣߌߕߌߛ,nqo,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
sigiwana sigiwana,nqo,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
di-jit-al hyumana-itiz,nqo,1,rtl,Digital Humanities,TRANSMOGRIFICATION,true
ubuntu bokuqamba ngedijithali,nr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
izwi labantu lezinguquko,nr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
dzimbalu yekugubhaza digitel,nr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
isithembiso zasentshona,nr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
humanitaes numériques,nrm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
tchit tcheul teknoloji,nrm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
lettrès numérickes,nrm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dyddiaeth ddeddfwyd cyffredinol,nrm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
diné bizaad dine'é baa hozhoni,nv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
maha-olombelona nomerika,mg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
kiluvar ereerij,mh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ŋwaŋŋa ŋgɔɔŋɔɔ,nyo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
ebinyonyi ya digitali ya insanitya,nyn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
informatika humana,mfe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
eby'obuntu eby'ekitabo,nyo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
obumenyi bw'ebyobugonzi by'edigiito,nyo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
eby'obuntu bya digito,nyo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
mannumental jistikey,mfe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
humanités dijital,mfe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
informatika ya kihistoria,mfe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
obuhangwa bwa digitali,nyo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
binyonyo za digitali,nyo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
omunyora omusingizi,nyo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
dííłʼééʼííʼígiíʼtsoh,nv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
hamisho wa digitaali,nyo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
kanatawà:ke ondiyo'nha,moh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,true
nyamenleɛ ne nyamenleɛ a ɛwɔ digital mu,nzi,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
adwuma a ɛfa nsɛm a wɔde kɔmputa di dwuma ho,nzi,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
ɛnyɛnɛn aheneɛn a ɛyɛ aduɛn,nzi,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,true
