language_code,term,language_name,term_source,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation
cho,,Choctaw,Digital Humanities,,2026-04-07 01:01:16,False,,False,,False,,False,"{""translated_term"": ""Okla Homa Digital Humaniti"", ""translation_rationale"": ""Literally 'digital humanities' in Choctaw, with the word for digital (Okla) derived from the tribe's name and humaniti following the English term.""}",llama3.1,2026-04-07T00:01:16.821298Z,1107654792.0,82937750.0,74.0,378726084.0,55.0,629146501.0,stop,Okla Homa Digital Humaniti,"Literally 'digital humanities' in Choctaw, with the word for digital (Okla) derived from the tribe's name and humaniti following the English term.","[{'translated_term': 'Okla Homa Digital Humaniti', 'translation_rationale': ""Literally 'digital humanities' in Choctaw, with the word for digital (Okla) derived from the tribe's name and humaniti following the English term.""}]",Okla Homa Digital Humaniti
ceb,,Cebuano,Digital Humanities,,2026-04-07 01:01:13,False,Digital nga mga Humanidad,False,Digital nga mga Tawhanon,False,Digital Humanities,False,"{""translated_term"": ""Dagatang-tudloan"", ""translation_rationale"": ""From English 'Digital Humanities', Cebuano equivalent is a combination of the words for 'digital' (dagatan, but using dagata) and 'humanities' (tudloan), using the grammatical rules of Cebuano language""}",llama3.1,2026-04-07T00:01:13.692928Z,1265142250.0,80910500.0,76.0,339553875.0,72.0,824108672.0,stop,Dagatang-tudloan,"From English 'Digital Humanities', Cebuano equivalent is a combination of the words for 'digital' (dagatan, but using dagata) and 'humanities' (tudloan), using the grammatical rules of Cebuano language","[{'translated_term': 'Dagatang-tudloan', 'translation_rationale': ""From English 'Digital Humanities', Cebuano equivalent is a combination of the words for 'digital' (dagatan, but using dagata) and 'humanities' (tudloan), using the grammatical rules of Cebuano language""}]",Dagatang-tudloan
cdo,,Min Dong Chinese,Digital Humanities,,2026-04-07 01:01:10,False,,False,,False,,False,"{
  ""translated_term"": ""\u56fe\u5b66\u5e2d\u4e50"",
  ""translation_rationale"": ""The term 'Digital Humanities' is composed of two words. The first word 'digital' is the same in Min Dong Chinese as it is in English, \u5f15\u516b. The second word 'humanities' translates to \u5e2d\u4e50, which refers to the study of human culture and society.""
}",llama3.1,2026-04-07T00:01:10.410483Z,1659966500.0,85922000.0,75.0,348100250.0,104.0,1196294173.0,stop,图学席乐,"The term 'Digital Humanities' is composed of two words. The first word 'digital' is the same in Min Dong Chinese as it is in English, 引八. The second word 'humanities' translates to 席乐, which refers to the study of human culture and society.",[],
bxr,,Buriat (Russia),Digital Humanities,,2026-04-07 01:01:06,False,Тоон хүнэй эрдэм ухаан,False,,False,,False,"{""translated_term"": ""Хүннээ дигиталлашилал"", ""translation_rationale"": ""Combining the Buriat word 'хүннээ' (meaning 'humanities') with the Buriat equivalent of 'digital', which is derived from the Russian 'дигитальный'""}",llama3.1,2026-04-07T00:01:06.732381Z,1302191916.0,81480833.0,78.0,361510000.0,73.0,839149754.0,stop,Хүннээ дигиталлашилал,"Combining the Buriat word 'хүннээ' (meaning 'humanities') with the Buriat equivalent of 'digital', which is derived from the Russian 'дигитальный'","[{'translated_term': 'Хүннээ дигиталлашилал', 'translation_rationale': ""Combining the Buriat word 'хүннээ' (meaning 'humanities') with the Buriat equivalent of 'digital', which is derived from the Russian 'дигитальный'""}]",Хүннээ дигиталлашилал
bug,,Buginese,Digital Humanities,,2026-04-07 01:01:03,False,,False,,False,,False,"{""translated_term"": ""Tongtangka Humanitasa Digital"", ""translation_rationale"": ""Combining Buginese words for 'digital' (Tongtangka) and 'humanities' (Humanitasa), following the typical pattern in Buginese language to create new terms by combining two roots.""}",llama3.1,2026-04-07T00:01:03.417008Z,1196469625.0,78776500.0,73.0,343038833.0,66.0,755733046.0,stop,Tongtangka Humanitasa Digital,"Combining Buginese words for 'digital' (Tongtangka) and 'humanities' (Humanitasa), following the typical pattern in Buginese language to create new terms by combining two roots.","[{'translated_term': 'Tongtangka Humanitasa Digital', 'translation_rationale': ""Combining Buginese words for 'digital' (Tongtangka) and 'humanities' (Humanitasa), following the typical pattern in Buginese language to create new terms by combining two roots.""}]",Tongtangka Humanitasa Digital
brx,,Boro,Digital Humanities,,2026-04-07 01:01:00,False,,False,,False,,False,"{""translated_term"": ""Sāṅgīt Kāhān"", ""translation_rationale"": ""Literally 'Digital Arts', following the language's tendency to use Sanskrit roots and combining Digital (from English) with Humanities (from English, using a direct loanword)""}",llama3.1,2026-04-07T00:01:00.19953Z,1173866417.0,88344458.0,74.0,379525208.0,60.0,688494085.0,stop,Sāṅgīt Kāhān,"Literally 'Digital Arts', following the language's tendency to use Sanskrit roots and combining Digital (from English) with Humanities (from English, using a direct loanword)","[{'translated_term': 'Sāṅgīt Kāhān', 'translation_rationale': ""Literally 'Digital Arts', following the language's tendency to use Sanskrit roots and combining Digital (from English) with Humanities (from English, using a direct loanword)""}]",Sāṅgīt Kāhān
bpy,,Bishnupriya Manipuri,Digital Humanities,,2026-04-07 01:00:57,False,,False,,False,,False,"{""translated_term"": ""Dijitil Sanskriti"", ""translation_rationale"": ""Combination of Bengali and Manipuri roots for the terms 'digital' and 'humanities', respectively.""}",llama3.1,2026-04-07T00:00:57.004424Z,923971291.0,85247750.0,79.0,336617375.0,43.0,488979162.0,stop,Dijitil Sanskriti,"Combination of Bengali and Manipuri roots for the terms 'digital' and 'humanities', respectively.","[{'translated_term': 'Dijitil Sanskriti', 'translation_rationale': ""Combination of Bengali and Manipuri roots for the terms 'digital' and 'humanities', respectively.""}]",Dijitil Sanskriti
be-x-old,,Belarusian (Taraškievica),Digital Humanities,,2026-04-07 01:00:54,False,Лічбавыя гуманітарныя навукі,False,,False,,False,"{""translated_term"": ""Дыджітальныя гуманітарныя навукі"", ""translation_rationale"": ""Combination of Belarusian word \""дыджітальныя\"" (digital) and «гуманітарныя навукі» (humanities), following linguistic patterns in Belarusian""}",llama3.1,2026-04-07T00:00:54.060602Z,1233518167.0,74502667.0,83.0,362257833.0,68.0,777517500.0,stop,Дыджітальныя гуманітарныя навукі,"Combination of Belarusian word ""дыджітальныя"" (digital) and «гуманітарныя навукі» (humanities), following linguistic patterns in Belarusian","[{'translated_term': 'Дыджітальныя гуманітарныя навукі', 'translation_rationale': 'Combination of Belarusian word ""дыджітальныя"" (digital) and «гуманітарныя навукі» (humanities), following linguistic patterns in Belarusian'}]",Дыджітальныя гуманітарныя навукі
bcl,,Bikol,Digital Humanities,,2026-04-07 01:00:50,False,Digital Humanities,False,Mga Pag - eksister nin Tawo,False,,False,"{""translated_term"": ""Digmaletal na mga Paksa"", ""translation_rationale"": ""From Spanish 'Humanidades Digitales' by adapting the word 'digital'""",llama3.1,2026-04-07T00:00:50.81276Z,833575625.0,88583667.0,74.0,338125833.0,35.0,395598123.0,stop,Digmaletal na mga Paksa,From Spanish 'Humanidades Digitales' by adapting the word 'digital',[],
bat-smg,,Samogitian,Digital Humanities,,2026-04-07 01:00:47,False,,False,,False,,False,"{""translated_term"": ""Digitinės menos mokslas"", ""translation_rationale"": ""Combining \""digitinis\"" (digital) and \""menos mokslas\"" (humanities)}",llama3.1,2026-04-07T00:00:47.960151Z,963274375.0,88495334.0,76.0,337412667.0,46.0,524094833.0,stop,Digitinės menos mokslas,No rationale provided,[],
bar,,Bavarian,Digital Humanities,,2026-04-07 01:00:44,False,,False,,False,,False,"{""translated_term"": ""Digitale Männlichkeit"", ""translation_rationale"": ""Translation rationale: 'Männlichkeit' is used to translate 'Humanities', as it encompasses the study of human culture, particularly in the context of Germanic and Austrian academic traditions. 'Digital' remains unchanged.""}",llama3.1,2026-04-07T00:00:44.972198Z,1167555625.0,81301709.0,73.0,361257666.0,62.0,706274122.0,stop,Digitale Männlichkeit,"Translation rationale: 'Männlichkeit' is used to translate 'Humanities', as it encompasses the study of human culture, particularly in the context of Germanic and Austrian academic traditions. 'Digital' remains unchanged.","[{'translated_term': 'Digitale Männlichkeit', 'translation_rationale': ""Translation rationale: 'Männlichkeit' is used to translate 'Humanities', as it encompasses the study of human culture, particularly in the context of Germanic and Austrian academic traditions. 'Digital' remains unchanged.""}]",Digitale Männlichkeit
awa,,Awadhi,Digital Humanities,,2026-04-07 01:00:41,False,डिजिटल मानविकी,False,,False,,False,"{""translated_term"": ""ਡਿਜੀਟਲ ਮਾਨਵਤਵਾਦ"", ""translation_rationale"": ""Using Hindi script to represent the term in Awadhi, as it is a closely related language""}",llama3.1,2026-04-07T00:00:41.787033Z,1139411542.0,89203584.0,75.0,335443791.0,61.0,697919046.0,stop,ਡਿਜੀਟਲ ਮਾਨਵਤਵਾਦ,"Using Hindi script to represent the term in Awadhi, as it is a closely related language","[{'translated_term': 'ਡਿਜੀਟਲ ਮਾਨਵਤਵਾਦ', 'translation_rationale': 'Using Hindi script to represent the term in Awadhi, as it is a closely related language'}]",ਡਿਜੀਟਲ ਮਾਨਵਤਵਾਦ
ast,,Asturian,Digital Humanities,,2026-04-07 01:00:38,False,,False,,False,,False,"{
  ""translated_term"": ""Humanidaes Digitales"",
  ""translation_rationale"": ""Direct translation from English, combining 'Digitales' to reflect the field's focus on digital methods and tools.""
}",llama3.1,2026-04-07T00:00:38.62754Z,948741916.0,85361500.0,74.0,350368458.0,44.0,499375874.0,stop,Humanidaes Digitales,"Direct translation from English, combining 'Digitales' to reflect the field's focus on digital methods and tools.",[],
arz,,Egyptian Arabic,Digital Humanities,,2026-04-07 01:00:35,False,,False,,False,,False,"{
  ""translated_term"": ""الมนوطة الأليكترونية"",
  ""translation_rationale"": ""Combination of Arabic words for 'digital' (مَنَوْطَة) and 'humanities' (اَلِخُبَرُ)""
}",llama3.1,2026-04-07T00:00:35.656208Z,1106516166.0,86991416.0,73.0,339696625.0,58.0,663084000.0,stop,الมนوطة الأليكترونية,Combination of Arabic words for 'digital' (مَنَوْطَة) and 'humanities' (اَلِخُبَرُ),[],
ang,,Anglo-Saxon / Old English,Digital Humanities,,2026-04-07 01:00:29,False,,False,,False,,False,"{
  ""translated_term"": ""Denumælic Hwiterne"",
  ""translation_rationale"": ""Combining Old English words for 'number' (denu, gen. of deno) and 'learning' or 'humanities' (hwitern, related to hwit, meaning 'bright', 'knowledgeable'). This translation aims to capture the essence of digital humanities as a blend of quantitative analysis and intellectual pursuits.""
}",llama3.1,2026-04-07T00:00:29.232923Z,1496231833.0,79598958.0,78.0,342937083.0,91.0,1048426548.0,stop,Denumælic Hwiterne,"Combining Old English words for 'number' (denu, gen. of deno) and 'learning' or 'humanities' (hwitern, related to hwit, meaning 'bright', 'knowledgeable'). This translation aims to capture the essence of digital humanities as a blend of quantitative analysis and intellectual pursuits.",[],
als,,Alemannic,Digital Humanities,,2026-04-07 01:00:25,False,Shkencat Humane Dixhitale,False,,False,,False,"{
  ""translated_term"": ""Digidal Huusigut"",
  ""translation_rationale"": ""Combination of 'digidal' (digital) and 'Huusigut' (humanities)""
}",llama3.1,2026-04-07T00:00:25.715794Z,4456452084.0,3391226042.0,75.0,526255500.0,46.0,521339626.0,stop,Digidal Huusigut,Combination of 'digidal' (digital) and 'Huusigut' (humanities),[],
za,,"Zhuang, Chuang",Digital Humanities,,2026-04-03 17:55:19,True,,True,,False,,False,"{""translated_term"": ""bɯl daɤj tɕiʔ kuɯhmuŋ"", ""translation_rationale"": ""Using Pinyin-like romanization for Zhuang, replacing 'Digital' with a more phonetic representation of its equivalent concept in Zhuang, and keeping 'Humanities' as is since it doesn't have a direct equivalent in Zhuang.""}",llama3.1,2026-04-03T22:55:19.344515Z,2993961292.0,1597828667.0,76.0,369978458.0,83.0,1000466876.0,stop,bɯl daɤj tɕiʔ kuɯhmuŋ,"Using Pinyin-like romanization for Zhuang, replacing 'Digital' with a more phonetic representation of its equivalent concept in Zhuang, and keeping 'Humanities' as is since it doesn't have a direct equivalent in Zhuang.","[{'translated_term': 'bɯl daɤj tɕiʔ kuɯhmuŋ', 'translation_rationale': ""Using Pinyin-like romanization for Zhuang, replacing 'Digital' with a more phonetic representation of its equivalent concept in Zhuang, and keeping 'Humanities' as is since it doesn't have a direct equivalent in Zhuang.""}]",bɯl daɤj tɕiʔ kuɯhmuŋ
yue,,,Digital Humanities,數碼人文學,2026-04-03 17:37:56,False,,False,,False,,False,"{
  ""translated_term"": ""數位人文"",
  ""translation_rationale"": ""borrowed from English term, using characters that represent the concept of numbers and humanities""
}",llama3.1,2026-04-03T22:37:56.123676Z,2102631500.0,1304492167.0,73.0,349712833.0,38.0,436779750.0,stop,數位人文,"borrowed from English term, using characters that represent the concept of numbers and humanities",[],
av,,Avaric,Digital Humanities,,2026-04-03 17:22:02,False,Цифралъулал гуманитариялин абулел,True,,False,,False,"{""translated_term"": ""Kьярулэгарулеби цифровые"", ""translation_rationale"": ""Combining Avaric words for 'human sciences' and 'digital'""}",llama3.1,2026-04-03T22:22:02.310627Z,2449099666.0,1550972000.0,74.0,376986334.0,44.0,506562000.0,stop,Kьярулэгарулеби цифровые,Combining Avaric words for 'human sciences' and 'digital',"[{'translated_term': 'Kьярулэгарулеби цифровые', 'translation_rationale': ""Combining Avaric words for 'human sciences' and 'digital'""}]",Kьярулэгарулеби цифровые
ti,,Tigrinya,Digital Humanities,,2026-04-03 17:04:14,False,ዲጂታል ሰብኣዊ ስነፍልጠት,False,ሰብኣዊ ባህርያት,False,,False,"{
  ""translated_term"": ""\u10b3\u1048 \u105d\u1062\u1041\u1075\u1060\u104c"",
  ""translation_rationale"": ""Tigrinya translation of 'Digital Humanities'""
}",llama3.1,2026-04-03T22:04:14.148251Z,996062958.0,86631375.0,74.0,290296750.0,52.0,602790335.0,stop,Ⴓ၈ ၝၢ၁ၵၠ၌,Tigrinya translation of 'Digital Humanities',[],
os,,"Ossetian, Ossetic",Digital Humanities,,2026-04-03 17:04:11,False,Нымæцон гуманитарон зонæдтæ,True,,False,,False,"{
  ""translated_term"": ""Džigitale Humaneitæ"",
  ""translation_rationale"": ""literally 'digital human' or 'human in the digital'""
}",llama3.1,2026-04-03T22:04:11.135952Z,827185458.0,85465708.0,78.0,291858458.0,38.0,437376372.0,stop,Džigitale Humaneitæ,literally 'digital human' or 'human in the digital',[],
kr,,Kanuri,Digital Humanities,,2026-04-03 17:04:08,False,Ilmu adamganabe zamanbe,True,,False,,False,"{""translated_term"": ""Kunɗinɗiyal Hausa"", ""translation_rationale"": ""Combination of 'kundi' (digital) and 'iya' (human, people), with the added suffix '-l' to form a new word, all in the Kanuri language""}",llama3.1,2026-04-03T22:04:08.29657Z,1136535833.0,83970291.0,73.0,299259084.0,62.0,733432501.0,stop,Kunɗinɗiyal Hausa,"Combination of 'kundi' (digital) and 'iya' (human, people), with the added suffix '-l' to form a new word, all in the Kanuri language","[{'translated_term': 'Kunɗinɗiyal Hausa', 'translation_rationale': ""Combination of 'kundi' (digital) and 'iya' (human, people), with the added suffix '-l' to form a new word, all in the Kanuri language""}]",Kunɗinɗiyal Hausa
ff,,Fula,Digital Humanities,,2026-04-03 17:04:05,False,Neɗɗaŋke Dijital,True,,False,,False,"{""translated_term"": ""Tegi digital humanities"", ""translation_rationale"": ""Combination of 'tegi' (digital) and the English term 'Humanities'""}",llama3.1,2026-04-03T22:04:05.146745Z,812250583.0,75799833.0,73.0,300844208.0,37.0,424443876.0,stop,Tegi digital humanities,Combination of 'tegi' (digital) and the English term 'Humanities',"[{'translated_term': 'Tegi digital humanities', 'translation_rationale': ""Combination of 'tegi' (digital) and the English term 'Humanities'""}]",Tegi digital humanities
ce,,Chechen,Digital Humanities,,2026-04-03 17:04:02,False,Терахьийн гуманитаран Ӏилманаш,True,,False,,False,"{
  ""translated_term"": ""Džigitallər Nəzăriyä"",
  ""translation_rationale"": ""Combination of Chechen words 'dzhigit' (meaning 'young warrior') and 'nəziyar' (meaning 'science, knowledge')""
}",llama3.1,2026-04-03T22:04:02.321604Z,1145792041.0,83051041.0,73.0,335648625.0,61.0,709941545.0,stop,Džigitallər Nəzăriyä,"Combination of Chechen words 'dzhigit' (meaning 'young warrior') and 'nəziyar' (meaning 'science, knowledge')",[],
aa,,Afar,Digital Humanities,,2026-04-03 17:03:55,False,Xiyitaal Sehdaytiino,True,,False,,False,"{
  ""translated_term"": ""Daalloolka Daacad"",
  ""translation_rationale"": ""Literally 'new humanities' or 'humanities in the digital era', using Afar words 'daal' (new) and 'lool' (era)""
}",llama3.1,2026-04-03T22:03:55.290116Z,2326186291.0,1308705666.0,73.0,334030542.0,57.0,666301124.0,stop,Daalloolka Daacad,"Literally 'new humanities' or 'humanities in the digital era', using Afar words 'daal' (new) and 'lool' (era)",[],
zu,,Zulu,Digital Humanities,Ezezibhangqiwe zoLuntu,2026-04-03 16:48:23,False,I-Digital Humanities,True,,False,Digital Humanities,False,"{
  ""translated_term"": ""iDijithali ukhukhu"",
  ""translation_rationale"": ""Breakdown of the term into 'digital' and 'humanities', using Zulu words for digital (isiDijithali) and humanities as a general concept (ukuHukhu)""
}",llama3.1,2026-04-03T21:48:23.324282Z,1140342917.0,86479250.0,73.0,281623333.0,65.0,753359666.0,stop,iDijithali ukhukhu,"Breakdown of the term into 'digital' and 'humanities', using Zulu words for digital (isiDijithali) and humanities as a general concept (ukuHukhu)",[],
zh,,Chinese,Digital Humanities,數位人文,2026-04-03 16:48:20,False,数字人文,False,数字人文,False,数字人文,False,"{
  ""translated_term"": ""\u9012\u5de3\u56fe\u6587\u6c17"",
  ""translation_rationale"": ""Digital Humanities translates to \u9012\u5de3\u56fe\u6587\u6c17 in Chinese, combining the concepts of digital technology and humanities research.""
}",llama3.1,2026-04-03T21:48:20.172003Z,1202184958.0,105335542.0,72.0,276781292.0,69.0,799865797.0,stop,递巣图文気,"Digital Humanities translates to 递巣图文気 in Chinese, combining the concepts of digital technology and humanities research.",[],
yo,,Yoruba,Digital Humanities,,2026-04-03 16:48:10,False,Àwọn Ènìyàn Oní-nọ́ńbà,True,,False,Digital Humanities,False,"{
  ""translated_term"": ""Ọ̀rọ̀ Àdàgbà Ní Ìmọ́lẹ̀"",
  ""translation_rationale"": ""Translation of 'Digital Humanities' into Yoruba, using a direct translation approach to convey the meaning of 'digital' and 'humanities'.""
}",llama3.1,2026-04-03T21:48:10.01567Z,1174223291.0,85325750.0,74.0,282166250.0,68.0,786750250.0,stop,Ọ̀rọ̀ Àdàgbà Ní Ìmọ́lẹ̀,"Translation of 'Digital Humanities' into Yoruba, using a direct translation approach to convey the meaning of 'digital' and 'humanities'.",[],
yi,,Yiddish,Digital Humanities,,2026-04-03 16:48:06,False,דיגיטאַלע הומאַניטיעס,True,,False,דיגיטאַל הומאַניטיעס,False,"{
  ""translated_term"": ""דיגיטאלע װוּנפן"",
  ""translation_rationale"": ""Combining the Yiddish words for 'digital' (דיגיטאלע) and 'humanities' (וונפן), adapting from German 'Geisteswissenschaften'""
}",llama3.1,2026-04-03T21:48:06.829497Z,1312159000.0,70951583.0,74.0,288826708.0,80.0,928228711.0,stop,דיגיטאלע װוּנפן,"Combining the Yiddish words for 'digital' (דיגיטאלע) and 'humanities' (וונפן), adapting from German 'Geisteswissenschaften'",[],
xh,,Xhosa,Digital Humanities,,2026-04-03 16:48:03,False,Uluntu lweDijithali,False,Ubuntu bamanani,False,Ubuntu beDijithali,False,"{
  ""translated_term"": ""Iyanda la Digital"",
  ""translation_rationale"": ""Combining 'Digital' (from English) and 'Humanities' with the isiXhosa equivalent for 'digital', which is 'iYanda'""
}",llama3.1,2026-04-03T21:48:03.503895Z,1017000875.0,83751708.0,75.0,289032334.0,54.0,627857880.0,stop,Iyanda la Digital,"Combining 'Digital' (from English) and 'Humanities' with the isiXhosa equivalent for 'digital', which is 'iYanda'",[],
wo,,Wolof,Digital Humanities,,2026-04-03 16:48:00,False,Humanité numérique,True,,False,,False,"{
  ""translated_term"": ""Tangal Tukki"",
  ""translation_rationale"": ""Literally 'humanities digital', combining the Wolof words for 'humanity' (tangal) and 'digital' (tukki).""
}",llama3.1,2026-04-03T21:48:00.477026Z,1005457042.0,84934959.0,73.0,278919375.0,54.0,625381708.0,stop,Tangal Tukki,"Literally 'humanities digital', combining the Wolof words for 'humanity' (tangal) and 'digital' (tukki).",[],
wa,,Walloon,Digital Humanities,,2026-04-03 16:47:57,True,,True,,False,,False,"{
  ""translated_term"": ""Dijitaels walonès"",
  ""translation_rationale"": ""Combining French 'digital' and Walloon language suffix '-es', with a nod to the region's linguistic heritage.""
}",llama3.1,2026-04-03T21:47:57.45732Z,935012459.0,85631000.0,73.0,286299666.0,48.0,548830709.0,stop,Dijitaels walonès,"Combining French 'digital' and Walloon language suffix '-es', with a nod to the region's linguistic heritage.",[],
vo,,Volapük,Digital Humanities,,2026-04-03 16:47:54,True,,True,,False,,False,"{""translated_term"": ""Lüedikoladagilütik"", ""translation_rationale"": ""Combination of 'lüedikola' (digital) and '-dagilitük' (-humanities)""}",llama3.1,2026-04-03T21:47:54.508903Z,877446500.0,83155416.0,74.0,278445417.0,44.0,502748459.0,stop,Lüedikoladagilütik,Combination of 'lüedikola' (digital) and '-dagilitük' (-humanities),"[{'translated_term': 'Lüedikoladagilütik', 'translation_rationale': ""Combination of 'lüedikola' (digital) and '-dagilitük' (-humanities)""}]",Lüedikoladagilütik
vi,,Vietnamese,Digital Humanities,Nhân văn số,2026-04-03 16:47:51,False,Nhân văn kỹ thuật số,False,Hệ bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình đẳng,False,Nhân văn kỹ thuật số,False,"{
  ""translated_term"": ""Nghiên cứu Nền tảng Số"",
  ""translation_rationale"": ""Combining 'Digital' and 'Humanities' with Vietnamese terminology for digital studies and humanities fields""
}",llama3.1,2026-04-03T21:47:51.621013Z,892285083.0,81158958.0,72.0,282529875.0,45.0,515438957.0,stop,Nghiên cứu Nền tảng Số,Combining 'Digital' and 'Humanities' with Vietnamese terminology for digital studies and humanities fields,[],
ve,,Venda,Digital Humanities,,2026-04-03 16:47:48,False,Vhuthu ha Didzhithala,True,,False,,False,"{
  ""translated_term"": ""Tshivenda yeshiya"",
  ""translation_rationale"": ""Literally 'digital human studies' in Venda, where 'tshivenda' means Venda language and culture, 'yeshiya' is a loanword from the English term 'humanities'.""
}",llama3.1,2026-04-03T21:47:48.715132Z,1140494958.0,91832542.0,73.0,277237375.0,65.0,752159209.0,stop,Tshivenda yeshiya,"Literally 'digital human studies' in Venda, where 'tshivenda' means Venda language and culture, 'yeshiya' is a loanword from the English term 'humanities'.",[],
uz,,Uzbek,Digital Humanities,,2026-04-03 16:47:45,False,Raqamli gumanitar fanlar,True,,False,Raqamli gumanitar fanlar,False,"{
  ""translated_term"": ""Badiiy Tarmoqlar"",
  ""translation_rationale"": ""Combination of Uzbek words \""badiiy\"" (artistic) and \""tarmoq\"" (network/computer), reflecting the digital aspect""
}",llama3.1,2026-04-03T21:47:45.563646Z,1011716750.0,76193625.0,72.0,282163958.0,55.0,637611537.0,stop,Badiiy Tarmoqlar,"Combination of Uzbek words ""badiiy"" (artistic) and ""tarmoq"" (network/computer), reflecting the digital aspect",[],
ur,,Urdu,Digital Humanities,,2026-04-03 16:47:42,False,ڈیجیٹل ہیومینٹیز,False,انسانی کمزوریوں کی وجہ سے,False,ڈیجیٹل ہیومینٹیز,False,"{
  ""translated_term"": ""دیجٹل مानवیات"",
  ""translation_rationale"": ""Combination of Urdu words for 'digital' (دیجٹل) and 'humanities' (مानवیات), following the conventional translation pattern in Urdu.""
}",llama3.1,2026-04-03T21:47:42.536496Z,1043367250.0,84661333.0,72.0,282094500.0,57.0,659017831.0,stop,دیجٹل مानवیات,"Combination of Urdu words for 'digital' (دیجٹل) and 'humanities' (مानवیات), following the conventional translation pattern in Urdu.",[],
uk,,Ukrainian,Digital Humanities,Цифрові гуманітарні науки,2026-04-03 16:47:39,False,Цифрові гуманітарні науки,False,Цифрові гуманітарні дані,False,Цифрові гуманітарні,False,"{""translated_term"": ""Дigital Humanities"" is not the best translation, I would recommend using ""Інформаційні людські науки"" or ""Мистецтво інформаційних технологій"", but for strict adherence to the original term: ""Digital Humanities"", a more direct translation would be, {""translated_term"": ""Дигітальні гуманітарні науки"", ""translation_rationale"": ""Direct translation of 'Digital' and 'Humanities' into Ukrainian.""}",llama3.1,2026-04-03T21:47:39.481805Z,1521597250.0,73902375.0,72.0,292698833.0,95.0,1126992003.0,stop,Дигітальні гуманітарні науки,Direct translation of 'Digital' and 'Humanities' into Ukrainian.,[],
ug,,"Uighur, Uyghur",Digital Humanities,,2026-04-03 16:47:35,False,رەقەملىك ئىنسانىيەت,True,,False,رەقەملىك ئادىمىيەت,False,"{
  ""translated_term"": ""Digital Ilmïylik"",
  ""translation_rationale"": ""Uyghur adaptation of 'digital' and 'humanities' ""
}",llama3.1,2026-04-03T21:47:35.947879Z,840491208.0,94825333.0,78.0,299496583.0,38.0,434340627.0,stop,Digital Ilmïylik,Uyghur adaptation of 'digital' and 'humanities' ,[],
ty,,Tahitian,Digital Humanities,,2026-04-03 16:47:33,False,Te mau taata mamati,False,Digital Te mau mea ora o te taata,False,,False,"{
  ""translated_term"": ""Tohine Hau Māori"",
  ""translation_rationale"": ""A direct calque of the English term, using Tahitian words for 'digital' and 'humanities', with a nod to the discipline's connection to Māori studies.""
}",llama3.1,2026-04-03T21:47:33.094369Z,1128738959.0,83970917.0,73.0,301967834.0,61.0,724425790.0,stop,Tohine Hau Māori,"A direct calque of the English term, using Tahitian words for 'digital' and 'humanities', with a nod to the discipline's connection to Māori studies.",[],
tw,,Twi,Digital Humanities,,2026-04-03 16:47:29,False,Digitals Nnipa Ho Adesua,False,Nneɛma a Ɛyɛ Hu,False,,False,"{""translated_term"": ""Mmara Digital Dwumadidi"", ""translation_rationale"": ""Composition of 'Digital Humanities' in Twi, using the literal translation of 'digital' as 'mmara', and combining it with 'dwumadidi', which is the Twi equivalent for humanities""}",llama3.1,2026-04-03T21:47:29.951686Z,1146860291.0,86541125.0,73.0,286013500.0,63.0,755431962.0,stop,Mmara Digital Dwumadidi,"Composition of 'Digital Humanities' in Twi, using the literal translation of 'digital' as 'mmara', and combining it with 'dwumadidi', which is the Twi equivalent for humanities","[{'translated_term': 'Mmara Digital Dwumadidi', 'translation_rationale': ""Composition of 'Digital Humanities' in Twi, using the literal translation of 'digital' as 'mmara', and combining it with 'dwumadidi', which is the Twi equivalent for humanities""}]",Mmara Digital Dwumadidi
tt,,Tatar,Digital Humanities,,2026-04-03 16:47:26,False,Цифрлы гуманитар фәннәр,True,,False,Санлы гуманитар,False,"{
  ""translated_term"": ""\u0414\u0438\u0436\u0442\u0430\u043b\u044c\u043d\u044b\u0439 \\u0423\u043c\u043a\u0442\u043d\u0438\u0437\u043c"",
  ""translation_rationale"": ""Combining 'digital' (\u0414\u0438\u0436\u0442\u0430\u043b\u044c\u043d\u044b\u0439) and 'humanities' (\u0423\u043c\u043a\u0442\u043d\u0438\u0437\u043c)""
}",llama3.1,2026-04-03T21:47:26.791008Z,2062420875.0,79710625.0,73.0,277371708.0,140.0,1667335790.0,stop,Дижтальный \u0423мктнизм,Combining 'digital' (Дижтальный) and 'humanities' (Умктнизм),[],
