language_code,term,language_name,term_source,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation,exclude_openai,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,exclude_claude,claude_translated_term,claude_translation_rationale,claude_model,claude_stop_reason,claude_created,claude_total_tokens,claude_input_tokens,claude_output_tokens
haw,,Hawaiian,Digital Humanities,,2026-04-07 01:11:11,False,Nā Humanities Kikohoʻe,False,,False,Digital Humanities,False,"{
  ""translated_term"": ""Nā Kānaka o na Mea Ha'aha'a"",
  ""translation_rationale"": ""Combining \""Digital\"" (na mea haelea, literally 'virtual things') and \""Humanities\"" (nā kānaka, people or humans) to create a term that reflects the interdisciplinary nature of the field.""
}",llama3.1,2026-04-07T00:02:10.376617Z,1344782125.0,79148541.0,73.0,357695833.0,77.0,885421328.0,stop,Nā Kānaka o na Mea Ha'aha'a,"Combining ""Digital"" (na mea haelea, literally 'virtual things') and ""Humanities"" (nā kānaka, people or humans) to create a term that reflects the interdisciplinary nature of the field.",[],,False,Nā ʻIkea ʻIkepili,83.0,1775520385.0,stop,gpt-4o-2024-08-06,68.0,151.0,"The term 'Nā ʻIkea ʻIkepili' reflects 'Digital Humanities' by combining 'Nā ʻIkea', meaning 'knowledge or science', with 'ʻIkepili', meaning 'digital data', thus representing the interdisciplinary field of study that combines digital technology and the humanities.",,False,ʻIke Kanaka Kamepiula,"Combines 'ʻike' (knowledge/humanities), 'kanaka' (human/people), and 'kamepiula' (computer/digital), literally meaning 'human knowledge [through] digital/computer [means]', following Hawaiian linguistic patterns for modern technological terms.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:11.940041,177.0,73.0,104.0
hak,,Hakka Chinese,Digital Humanities,,2026-04-07 01:11:07,False,,False,,False,,False,"{
  ""translated_term"": """",
  ""translation_rationale"": ""The word 'Digital Humanities' is a term that doesn't directly translate to Hakka Chinese as it's a specific concept. However, I can attempt to break it down into its components: \u5df1\u7c73 (digital) and \u6a18\u6d0b\u516b (humanities). A possible translation could be: ""
}",llama3.1,2026-04-07T00:02:07.008346Z,1494286750.0,71654375.0,74.0,348231583.0,91.0,1046711708.0,stop,,"The word 'Digital Humanities' is a term that doesn't directly translate to Hakka Chinese as it's a specific concept. However, I can attempt to break it down into its components: 己米 (digital) and 樘洋八 (humanities). A possible translation could be: ",[],,False,數位人文,69.0,1775520382.0,stop,gpt-4o-2024-08-06,70.0,139.0,"The term '數位人文' is commonly used in Mandarin Chinese for 'Digital Humanities', and it is understood in Hakka as well, due to the standardization and spread of digital and academic terminology from Mandarin into other Chinese languages.",,False,數位人文,"Direct translation where 數位 means 'digital' and 人文 means 'humanities', following standard Hakka Chinese terminology for this academic field",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:07.798357,131.0,76.0,55.0
got,,Gothic,Digital Humanities,,2026-04-07 01:11:05,False,,False,,False,,False,"{""translated_term"": ""Kunsthistorikos saƕa wairþja"", ""translation_rationale"": ""Combining Gothic words for 'art' (kunst), 'history' (historikos), and 'new' or 'digital' concepts, using the word for 'saƕa' (together) and 'wairþja' (way/means) to convey the idea of a new way of studying art and history.""}",llama3.1,2026-04-07T00:02:03.496171Z,1629769125.0,85286583.0,72.0,374389667.0,99.0,1141772919.0,stop,Kunsthistorikos saƕa wairþja,"Combining Gothic words for 'art' (kunst), 'history' (historikos), and 'new' or 'digital' concepts, using the word for 'saƕa' (together) and 'wairþja' (way/means) to convey the idea of a new way of studying art and history.","[{'translated_term': 'Kunsthistorikos saƕa wairþja', 'translation_rationale': ""Combining Gothic words for 'art' (kunst), 'history' (historikos), and 'new' or 'digital' concepts, using the word for 'saƕa' (together) and 'wairþja' (way/means) to convey the idea of a new way of studying art and history.""}]",Kunsthistorikos saƕa wairþja,False,Teknodomeiþos,112.0,1775520379.0,stop,gpt-4o-2024-08-06,68.0,180.0,"The term 'Digital Humanities' is a compound of 'digital' and 'humanities'. In Gothic, 'tekno' can be understood as a stem related to technology (from Greek 'techne') and 'domeiþos' is related to humanistic disciplines or learning ('doms' being wisdom or judgment). Due to the lack of direct equivalents in the ancient language, this compound term is the closest approximation for modern concepts.",,False,digitala manna-kunþi,"Constructed from Gothic 'digitala' (adapted from Latin 'digitalis' meaning relating to fingers/numbers) and 'manna-kunþi' (knowledge of humans/humanities, from 'manna' genitive plural of 'manna' meaning human/person and 'kunþi' meaning knowledge).",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:11:05.083726,169.0,72.0,97.0
gil,,Gilbertese,Digital Humanities,,2026-04-07 01:10:59,False,,False,Aroia Aomata n Tokanikai i Aoni Bwaai ni Kabane,False,,False,"{""translated_term"": ""Nauru Kaburea Bwibwen ni"", ""translation_rationale"": ""Literally 'humanities of the digital' in Gilbertese, following a direct loan from English into the language.""}",llama3.1,2026-04-07T00:01:59.846082Z,1006700500.0,95990500.0,74.0,348607042.0,48.0,547236666.0,stop,Nauru Kaburea Bwibwen ni,"Literally 'humanities of the digital' in Gilbertese, following a direct loan from English into the language.","[{'translated_term': 'Nauru Kaburea Bwibwen ni', 'translation_rationale': ""Literally 'humanities of the digital' in Gilbertese, following a direct loan from English into the language.""}]",Nauru Kaburea Bwibwen ni,False,Te Matanibonganga Internet,75.0,1775520377.0,stop,gpt-4o-2024-08-06,69.0,144.0,"The term 'Digital Humanities' does not have a direct equivalent in Gilbertese. 'Te Matanibonganga' means 'Humanities' and 'Internet' is widely understood to reference digital technology, thus the compound term conveys the interdisciplinary nature of Digital Humanities.",,False,Te Kaitiaki aika Rongorongo ni Kabane,"Combines 'kaitiaki' (knowledge/wisdom), 'rongorongo' (digital/electronic), and 'kabane' (human/humanity). However, a more commonly used adaptation would be 'Te Kaitiaki Rongorongo Aomata' (knowledge systems electronic human-related) or simply borrowing as 'Tisitaera Kiuumaniti' from English phonetics, which is common practice in Gilbertese for modern technical terms.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:59.691231,219.0,76.0,143.0
gbm,,Garhwali,Digital Humanities,,2026-04-07 01:10:53,False,,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""Unfortunately, I couldn\u0027t find any available language data for Garhwali (ISO code: gbm). As a result, I am unable to provide an accurate translation of the term Digital Humanities.""}",llama3.1,2026-04-07T00:01:56.818545Z,1125226166.0,80311750.0,75.0,400394208.0,55.0,628119630.0,stop,,"Unfortunately, I couldn't find any available language data for Garhwali (ISO code: gbm). As a result, I am unable to provide an accurate translation of the term Digital Humanities.","[{'translated_term': '', 'translation_rationale': ""Unfortunately, I couldn't find any available language data for Garhwali (ISO code: gbm). As a result, I am unable to provide an accurate translation of the term Digital Humanities.""}]",,False,डिजिटल मानविकी,86.0,1775520374.0,stop,gpt-4o-2024-08-06,71.0,157.0,"The term 'Digital Humanities' combines the words 'digital' referring to technology and 'humanities' relating to human culture and studies. In Garhwali, 'डिजिटल' is used phonetically from English, and 'मानविकी' translates to 'humanities', reflecting the study of human culture.",,False,डिजिटल मानविकी,"Garhwali uses Devanagari script like Hindi. 'Digital' is transliterated as 'डिजिटल' and 'Humanities' is translated as 'मानविकी' (mānavikī), which refers to human sciences/studies, consistent with the term used in related Indo-Aryan languages.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:53.566953,184.0,77.0,107.0
gan,,Gan Chinese,Digital Humanities,,2026-04-07 01:10:49,False,,False,,False,,False,"{""translated_term"": ""Hoi6 Cig5 Ze2 Jou4"", ""translation_rationale"": ""Using the romanization system for Gan Chinese, Hanyu Pinyin was adapted to fit the local phonetic and orthographic characteristics.""}",llama3.1,2026-04-07T00:01:53.673348Z,1038605542.0,82327250.0,73.0,355573625.0,51.0,584861169.0,stop,Hoi6 Cig5 Ze2 Jou4,"Using the romanization system for Gan Chinese, Hanyu Pinyin was adapted to fit the local phonetic and orthographic characteristics.","[{'translated_term': 'Hoi6 Cig5 Ze2 Jou4', 'translation_rationale': 'Using the romanization system for Gan Chinese, Hanyu Pinyin was adapted to fit the local phonetic and orthographic characteristics.'}]",Hoi6 Cig5 Ze2 Jou4,False,数字人文,97.0,1775520372.0,stop,gpt-4o-2024-08-06,69.0,166.0,"The term 'Digital Humanities' combines 'digital,' referring to technology or computing, and 'humanities,' which pertains to the study of human culture. In Gan Chinese, '数字' translates to 'digital' and '人文' translates to 'humanities.' This combination effectively conveys the concept of integrating digital technology with humanities study, aligning with the established translation in Chinese cultural contexts.",,False,數字人文,"Direct translation of 'Digital Humanities' using standard Chinese characters understood in Gan Chinese, where 數字 means 'digital' and 人文 means 'humanities'. Gan Chinese shares written Chinese characters with Mandarin for technical/academic terms.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:49.099489,152.0,74.0,78.0
fur,,Friulian,Digital Humanities,,2026-04-07 01:10:44,False,Lis siencis umanis digjitâls,False,,False,,False,"{""translated_term"": ""Umanitàs digitalis"", ""translation_rationale"": ""Combining 'umanitàs' (humanities) and 'digital', following the usual Friulian language pattern of combining words with hyphens or using Latin-derived roots.""}",llama3.1,2026-04-07T00:01:50.613538Z,1094894292.0,74074542.0,74.0,363293250.0,56.0,640709793.0,stop,Umanitàs digitalis,"Combining 'umanitàs' (humanities) and 'digital', following the usual Friulian language pattern of combining words with hyphens or using Latin-derived roots.","[{'translated_term': 'Umanitàs digitalis', 'translation_rationale': ""Combining 'umanitàs' (humanities) and 'digital', following the usual Friulian language pattern of combining words with hyphens or using Latin-derived roots.""}]",Umanitàs digitalis,False,Umanitâts Digitâls,96.0,1775520369.0,stop,gpt-4o-2024-08-06,70.0,166.0,"The term 'Umanitâts Digitâls' reflects the translation of 'Digital Humanities' into Friulian, where 'Umanitâts' corresponds to 'Humanities' referring to academic disciplines that study aspects of human society and culture, and 'Digitâls' corresponds to 'Digital', denoting the digitization aspect relevant to the field.",,False,Umanitâts Digitâls,"Direct translation following Friulian grammatical structure where 'Umanitâts' means Humanities and 'Digitâls' means Digital, with the adjective following the noun as per Friulian syntax",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:44.895707,151.0,75.0,76.0
frp,,Arpitan / Franco-Provençal,Digital Humanities,,2026-04-07 01:10:40,False,,False,,False,,False,"{
  ""translated_term"": ""Lètimenàs d'ôssethique digitâla"",
  ""translation_rationale"": ""Digital Humanities in Arpitan / Franco-Provençal, translating 'digital' as 'ôssethique' (from French 'scientifique') and 'humanities' as 'lètimenàs' (from Latin 'literae')""
}",llama3.1,2026-04-07T00:01:47.503573Z,1437074125.0,80044209.0,82.0,342820667.0,86.0,988871039.0,stop,Lètimenàs d'ôssethique digitâla,"Digital Humanities in Arpitan / Franco-Provençal, translating 'digital' as 'ôssethique' (from French 'scientifique') and 'humanities' as 'lètimenàs' (from Latin 'literae')",[],,False,Umanitât numerica,76.0,1775520366.0,stop,gpt-4o-2024-08-06,77.0,153.0,"The translation 'Umanitât numerica' derives from using 'Umanitât' for 'Humanities' and 'numerica' as an equivalent for 'Digital,' reflecting the meaning in Arpitan/Franco-Provençal.",,False,Humanitâts numeriques,"Arpitan translation using 'numeriques' (digital) and 'Humanitâts' (Humanities), following standard Arpitan orthography and the pattern used in related Romance languages like French 'Humanités numériques'.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:40.667641,162.0,83.0,79.0
fiu-vro,,Võro,Digital Humanities,,2026-04-07 01:10:36,False,,False,,False,,False,"{""translated_term"": ""Digitaalsed humanitaarsed teadused"", ""translation_rationale"": ""direct translation of 'Digital Humanities' using a combination of Estonian and Võro language knowledge, where 'digitaalne' is already used in some contexts in Võro""}",llama3.1,2026-04-07T00:01:44.043994Z,1165948916.0,88753166.0,77.0,363581542.0,61.0,695961379.0,stop,Digitaalsed humanitaarsed teadused,"direct translation of 'Digital Humanities' using a combination of Estonian and Võro language knowledge, where 'digitaalne' is already used in some contexts in Võro","[{'translated_term': 'Digitaalsed humanitaarsed teadused', 'translation_rationale': ""direct translation of 'Digital Humanities' using a combination of Estonian and Võro language knowledge, where 'digitaalne' is already used in some contexts in Võro""}]",Digitaalsed humanitaarsed teadused,False,digihumanita,72.0,1775520364.0,stop,gpt-4o-2024-08-06,72.0,144.0,"The term 'Digital Humanities' is translated into Võro as 'digihumanita' by combining 'digi-' from 'digital' and 'humanita-' from 'humanities', following the pattern used in many languages to reflect the same concept.",,False,Digitaalsõ humanitaarteadussõ,"Võro translation combining 'digitaalsõ' (digital, genitive plural) with 'humanitaarteadussõ' (humanities/humanistic sciences, genitive plural), following Võro grammatical patterns for compound academic terms.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:36.246835,165.0,78.0,87.0
ext,,Extremaduran,Digital Humanities,,2026-04-07 01:10:32,False,,False,,False,,False,"{
  ""translated_term"": ""Humanidades Digitales"",
  ""translation_rationale"": ""Direct translation of the term, using standard Latin American Spanish terminology""
}",llama3.1,2026-04-07T00:01:40.861104Z,834799708.0,95396917.0,75.0,342826750.0,34.0,385714126.0,stop,Humanidades Digitales,"Direct translation of the term, using standard Latin American Spanish terminology",[],,False,Humanidaes Dixitalis,68.0,1775520362.0,stop,gpt-4o-2024-08-06,70.0,138.0,"The translation is a direct adaptation of 'Digital Humanities' into Extremaduran, maintaining the meaning of 'humanities' as 'Humanidaes' and 'digital' as 'Dixitalis'.",,False,Humanidadis Digitalis,"Extremaduran uses Latin-derived plurals and adapts 'digital' as 'digitalis' following local phonetic patterns, while 'humanidades' becomes 'humanidadis' with the characteristic Extremaduran plural form.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:32.451998,157.0,76.0,81.0
dsb,,Lower Sorbian,Digital Humanities,,2026-04-07 01:10:27,False,,False,,False,,False,"{""translated_term"": ""Digiwumnaņske wuměnty"", ""translation_rationale"": ""Combination of 'digi' (from digital), 'wuměnty' (from humanities) and the Sorbian diminutive suffix '-anņske'}",llama3.1,2026-04-07T00:01:38.001912Z,1209516375.0,86668666.0,75.0,384351709.0,63.0,719790041.0,stop,Digiwumnaņske wuměnty,No rationale provided,[],,False,digitalske humanistike,62.0,1775520360.0,stop,gpt-4o-2024-08-06,71.0,133.0,"The term 'digitalske humanistike' represents the interdisciplinary field combining digital technology and humanities in Lower Sorbian, drawn directly from the English term with consideration for linguistic adaptations.",,False,Digitalnje humanitarne wědy,"Direct translation combining 'digitalnje' (digital) with 'humanitarne wědy' (humanities/humanistic sciences), following standard Lower Sorbian terminology for academic disciplines.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:27.872145,142.0,76.0,66.0
diq,,Dimli,Digital Humanities,,2026-04-07 01:10:23,False,,False,,False,,False,"{""translated_term"": ""Îlmanînîyî Êzayî"", ""translation_rationale"": ""Combining the elements Îlmanînî (digital) and Êzayî (humanities) to form a new term in Dimli.""}",llama3.1,2026-04-07T00:01:34.765846Z,1111493167.0,80869459.0,74.0,337751250.0,59.0,675514048.0,stop,Îlmanînîyî Êzayî,Combining the elements Îlmanînî (digital) and Êzayî (humanities) to form a new term in Dimli.,"[{'translated_term': 'Îlmanînîyî Êzayî', 'translation_rationale': 'Combining the elements Îlmanînî (digital) and Êzayî (humanities) to form a new term in Dimli.'}]",Îlmanînîyî Êzayî,False,Dijital İnsanî Bilimler,71.0,1775520358.0,stop,gpt-4o-2024-08-06,70.0,141.0,"The term 'Digital Humanities' is translated by combining 'Dijital' for 'Digital' and 'İnsanî Bilimler' as an equivalent for 'Humanities', aligning with the structure used in Dimli and similar languages.",,False,Ensaniyetê Dijital,"Direct translation where 'Dijital' is the commonly used loanword for 'Digital' in Dimli/Zazaki, and 'Ensaniyet' (or 'Ensaniyetê' in oblique case) means 'Humanities' or 'human sciences'.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:23.887070,168.0,75.0,93.0
csb,,Kashubian,Digital Humanities,,2026-04-07 01:10:19,False,,False,,False,,False,"{
  ""translated_term"": ""Humanistyczne Domeny Cyfrowe"",
  ""translation_rationale"": ""Using established loanwords for 'digital humanities' in Polish and translating from there""
}",llama3.1,2026-04-07T00:01:31.631192Z,941623458.0,74539792.0,75.0,353481250.0,44.0,499821580.0,stop,Humanistyczne Domeny Cyfrowe,Using established loanwords for 'digital humanities' in Polish and translating from there,[],,False,,,,,,,,,,False,Cyfrową Humanistikã,"Combines 'Cyfrową' (digital, feminine form to match humanistics) with 'Humanistikã' (humanities/humanistics in Kashubian accusative/nominative form), following Kashubian grammatical patterns for academic disciplines",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:19.690706,159.0,76.0,83.0
ckb,,Kurdish (Sorani),Digital Humanities,,2026-04-07 01:10:15,False,زانستە مرۆییە دیجیتاڵییەکان,False,,False,,False,"{
  ""translated_term"": ""\u0628\u064a \u0627\u0636\u06cc\u0627 \u062f\u06be\u0629"",
  ""translation_rationale"": ""Combining Kurdish words 'bi' (digit) and '\u0627\u0636\u06cc\u0627' (humanities)""
}",llama3.1,2026-04-07T00:01:28.670257Z,1331353750.0,86490166.0,78.0,365651125.0,75.0,857636040.0,stop,بي اضیا دھة,Combining Kurdish words 'bi' (digit) and 'اضیا' (humanities),[],,False,زانستە کۆمپیتەرییەکان,72.0,1775520354.0,stop,gpt-4o-2024-08-06,73.0,145.0,The term 'Digital Humanities' is translated to 'زانستە کۆمپیتەرییەکان' in Kurdish (Sorani) as it encompasses the digital (کۆمپیتەر) aspect of the humanities disciplines.,,False,مرۆڤایەتی دیجیتاڵی,"Direct translation where 'مرۆڤایەتی' means 'humanities' (human sciences) and 'دیجیتاڵی' means 'digital' in Sorani Kurdish, following the Kurdish adjective-noun structure.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:15.320500,174.0,79.0,95.0
chy,,Cheyenne,Digital Humanities,,2026-04-07 01:10:08,False,,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""The concept of Digital Humanities does not directly translate into Cheyenne as it is a modern field that may not have a direct equivalent in traditional Cheyenne language. However, I can provide a rough translation using descriptive phrases that attempt to capture the essence of the term: 'Eenóo oot' (digital) + 'wéyo' (human) + 'oot' (scholarship or knowledge), but this is highly informal and not an official translation.""}",llama3.1,2026-04-07T00:01:25.318274Z,1717269500.0,85086333.0,74.0,348339458.0,109.0,1251204419.0,stop,,"The concept of Digital Humanities does not directly translate into Cheyenne as it is a modern field that may not have a direct equivalent in traditional Cheyenne language. However, I can provide a rough translation using descriptive phrases that attempt to capture the essence of the term: 'Eenóo oot' (digital) + 'wéyo' (human) + 'oot' (scholarship or knowledge), but this is highly informal and not an official translation.","[{'translated_term': '', 'translation_rationale': ""The concept of Digital Humanities does not directly translate into Cheyenne as it is a modern field that may not have a direct equivalent in traditional Cheyenne language. However, I can provide a rough translation using descriptive phrases that attempt to capture the essence of the term: 'Eenóo oot' (digital) + 'wéyo' (human) + 'oot' (scholarship or knowledge), but this is highly informal and not an official translation.""}]",,False,Digital Humanities,53.0,1775520352.0,stop,gpt-4o-2024-08-06,69.0,122.0,"Currently, no specific term for 'Digital Humanities' exists in Cheyenne, a Native American language. The phrase is used as-is due to a lack of direct equivalent.",,False,hoéstónéhe vé'késo'énánéstȯtse,Compound meaning 'digital/electronic knowledge-work' using Cheyenne morphemes: hoéstónéhe (electronic/lightning-related) + vé'késo'énánéstȯtse (knowledge/learning/humanities work). Follows Cheyenne word formation patterns for modern technical concepts.,claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:08.000953,184.0,76.0,108.0
chr,,Cherokee,Digital Humanities,,2026-04-07 01:10:01,False,,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""The term 'Digital Humanities' does not directly translate to Cherokee as it is a loanword from English. However, for the purpose of this response, I will use an approximate translation based on the available linguistic resources.""}

In Cherokee, """" (digital) and """" (humanities) can be translated as:

* """" (digital): ""ᏐᎯᏔ"" (so-hi-ta) - note that this is not a direct translation but an attempt to represent the concept using available Cherokee words.
* """" (humanities): """" (hvnvlisv) or """" (vhnxv) - these are approximate translations and may vary depending on context.

A possible combination of these words could be: """" (so-hi-ta hvnvlisv). However, please note that this is a simplified representation and not an officially recognized translation by the Cherokee Nation.",llama3.1,2026-04-07T00:01:21.579863Z,2738956417.0,79524917.0,72.0,364878416.0,194.0,2239189833.0,stop,,"The term 'Digital Humanities' does not directly translate to Cherokee as it is a loanword from English. However, for the purpose of this response, I will use an approximate translation based on the available linguistic resources.","[{'translated_term': '', 'translation_rationale': ""The term 'Digital Humanities' does not directly translate to Cherokee as it is a loanword from English. However, for the purpose of this response, I will use an approximate translation based on the available linguistic resources.""}]",,False,ᏗᎧᏃᎩ ᏧᏅᏬᏘ,91.0,1775520350.0,stop,gpt-4o-2024-08-06,68.0,159.0,The translation uses the Cherokee words for 'digital' (ᏗᎧᏃᎩ) and 'humanities' (ᏧᏅᏬᏘ) to convey the concept effectively.,,False,ᏗᎪᏪᎵ ᎠᏍᏆᏂᎪᏗ,"Combines 'ᏗᎪᏪᎵ' (digital/electronic/computer-related) with 'ᎠᏍᏆᏂᎪᏗ' (humanities/human knowledge/learning), representing the interdisciplinary field that applies computational methods to humanities subjects.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:10:01.688614,202.0,72.0,130.0
cho,,Choctaw,Digital Humanities,,2026-04-07 01:09:56,False,,False,,False,,False,"{""translated_term"": ""Okla Homa Digital Humaniti"", ""translation_rationale"": ""Literally 'digital humanities' in Choctaw, with the word for digital (Okla) derived from the tribe's name and humaniti following the English term.""}",llama3.1,2026-04-07T00:01:16.821298Z,1107654792.0,82937750.0,74.0,378726084.0,55.0,629146501.0,stop,Okla Homa Digital Humaniti,"Literally 'digital humanities' in Choctaw, with the word for digital (Okla) derived from the tribe's name and humaniti following the English term.","[{'translated_term': 'Okla Homa Digital Humaniti', 'translation_rationale': ""Literally 'digital humanities' in Choctaw, with the word for digital (Okla) derived from the tribe's name and humaniti following the English term.""}]",Okla Homa Digital Humaniti,False,Tek Ishi Holisso Pisa Holba,94.0,1775520347.0,stop,gpt-4o-2024-08-06,70.0,164.0,"The Choctaw translation 'Tek Ishi Holisso Pisa Holba' conveys 'Digital Humanities' by combining terms for technology ('Tek Ishi' for 'electronic'), book/knowledge ('Holisso'), and seeing/imagining ('Pisa Holba'). This reflects the interdisciplinary nature of Digital Humanities, incorporating technology and humanities study.",,False,Tikonoli Isht Nana Ithana,"Combines 'tikonoli' (digital/electronic), 'isht' (with/by means of), and 'nana ithana' (knowledge/learning/humanities). This constructs a term for digital-based humanistic knowledge following Choctaw compound formation patterns.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:09:56.469584,169.0,75.0,94.0
ceb,,Cebuano,Digital Humanities,,2026-04-07 01:09:50,False,Digital nga mga Humanidad,False,Digital nga mga Tawhanon,False,Digital Humanities,False,"{""translated_term"": ""Dagatang-tudloan"", ""translation_rationale"": ""From English 'Digital Humanities', Cebuano equivalent is a combination of the words for 'digital' (dagatan, but using dagata) and 'humanities' (tudloan), using the grammatical rules of Cebuano language""}",llama3.1,2026-04-07T00:01:13.692928Z,1265142250.0,80910500.0,76.0,339553875.0,72.0,824108672.0,stop,Dagatang-tudloan,"From English 'Digital Humanities', Cebuano equivalent is a combination of the words for 'digital' (dagatan, but using dagata) and 'humanities' (tudloan), using the grammatical rules of Cebuano language","[{'translated_term': 'Dagatang-tudloan', 'translation_rationale': ""From English 'Digital Humanities', Cebuano equivalent is a combination of the words for 'digital' (dagatan, but using dagata) and 'humanities' (tudloan), using the grammatical rules of Cebuano language""}]",Dagatang-tudloan,False,Digital nga Humanidades,83.0,1775520344.0,stop,gpt-4o-2024-08-06,69.0,152.0,"The term 'Digital Humanities' refers to the application of digital tools and methods to the study of humanities subjects. In Cebuano, 'Digital' remains the same as it is a loanword, and 'Humanidades' is the equivalent term used for 'Humanities', reflecting the systematic study of human culture.",,False,Digital nga Kaalamang Pantawo,"Direct translation where 'Digital' remains as a loanword commonly used in Cebuano, 'nga' is a linking particle, 'Kaalamang' means 'studies/knowledge', and 'Pantawo' means 'human/humanities', forming a natural Cebuano phrase for the interdisciplinary field of Digital Humanities.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:09:50.943487,184.0,76.0,108.0
cdo,,Min Dong Chinese,Digital Humanities,,2026-04-07 01:09:46,False,,False,,False,,False,"{
  ""translated_term"": ""\u56fe\u5b66\u5e2d\u4e50"",
  ""translation_rationale"": ""The term 'Digital Humanities' is composed of two words. The first word 'digital' is the same in Min Dong Chinese as it is in English, \u5f15\u516b. The second word 'humanities' translates to \u5e2d\u4e50, which refers to the study of human culture and society.""
}",llama3.1,2026-04-07T00:01:10.410483Z,1659966500.0,85922000.0,75.0,348100250.0,104.0,1196294173.0,stop,图学席乐,"The term 'Digital Humanities' is composed of two words. The first word 'digital' is the same in Min Dong Chinese as it is in English, 引八. The second word 'humanities' translates to 席乐, which refers to the study of human culture and society.",[],,False,數位人文,60.0,1775520336.0,stop,gpt-4o-2024-08-06,71.0,131.0,"Min Dong Chinese uses the term '數位' for 'digital' and '人文' for 'humanities', similar to its usage in Mandarin Chinese, reflecting contemporary technology and academic fields.",,False,數字人文,Direct translation using standard Chinese characters common in Min Dong: 數字 (digital/numeric) + 人文 (humanities/humanistic studies),claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:09:46.279374,131.0,76.0,55.0
bxr,,Buriat (Russia),Digital Humanities,,2026-04-07 01:09:43,False,Тоон хүнэй эрдэм ухаан,False,,False,,False,"{""translated_term"": ""Хүннээ дигиталлашилал"", ""translation_rationale"": ""Combining the Buriat word 'хүннээ' (meaning 'humanities') with the Buriat equivalent of 'digital', which is derived from the Russian 'дигитальный'""}",llama3.1,2026-04-07T00:01:06.732381Z,1302191916.0,81480833.0,78.0,361510000.0,73.0,839149754.0,stop,Хүннээ дигиталлашилал,"Combining the Buriat word 'хүннээ' (meaning 'humanities') with the Buriat equivalent of 'digital', which is derived from the Russian 'дигитальный'","[{'translated_term': 'Хүннээ дигиталлашилал', 'translation_rationale': ""Combining the Buriat word 'хүннээ' (meaning 'humanities') with the Buriat equivalent of 'digital', which is derived from the Russian 'дигитальный'""}]",Хүннээ дигиталлашилал,False,Тооной хүмүүжил судлал,70.0,1775520333.0,stop,gpt-4o-2024-08-06,74.0,144.0,"The term 'Digital Humanities' is translated to emphasize the 'digital' aspect ('тооной') which relates to numbers or digital technology, and 'хүмүүжил судлал' which collectively represents humanities and academic study.",,False,Цифровые гуманитарные науки,"Buriat uses Russian loanwords for modern academic terminology. 'Цифровые' (digital) and 'гуманитарные науки' (humanities) are standard terms used in academic Russian, which Buriat speakers in Russia would recognize and use.",claude-sonnet-4-5-20250929,end_turn,2026-04-07T01:09:43.021891,174.0,79.0,95.0
