language_code,language_name,term_source,gemini_translated_term,gemini_translation_rationale,gemini_model,gemini_created,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation,exclude_openai,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,exclude_claude,claude_translated_term,claude_translation_rationale,claude_model,claude_stop_reason,claude_created,claude_total_tokens,claude_input_tokens,claude_output_tokens,exclude_gemini
ne,Nepali,Digital Humanities,डिजिटल मानविकी,"This is a direct and widely accepted translation. 'डिजिटल' (digital) is a common loanword, and 'मानविकी' (manaviki) is the standard term for humanities in Nepali.",gemini-2.5-flash,2026-04-03T17:29:17.637742,,,2026-04-03 17:29:17,False,डिजिटल मानविकी,True,,False,डिजिटल मानविकी,False,"{
  ""translated_term"": ""डिजिटल मानवशास्त्र"",
  ""translation_rationale"": ""direct loan from English, combining digital and humanities""
}",llama3.1,2026-04-03T21:44:35.896516Z,823055791.0,88582250.0,73.0,282932459.0,37.0,440451584.0,stop,डिजिटल मानवशास्त्र,"direct loan from English, combining digital and humanities",[],,False,डिजिटल मानवीकी,80.0,1775244900.0,stop,gpt-4o-2024-08-06,69.0,149.0,The term 'Digital Humanities' can be translated as 'डिजिटल मानवीकी' in Nepali where 'डिजिटल' is the phonetic translation of 'digital' and 'मानवीकी' means 'humanities.' This captures the interdisciplinary nature of the field involving digital technology and humanities.,,False,डिजिटल मानविकी,Direct translation where 'Digital' is transliterated as 'डिजिटल' (commonly used in Nepali for digital technology) and 'Humanities' is translated as 'मानविकी' (the standard Nepali term for humanities in academic contexts),claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:08.120001,170.0,74.0,96.0,False
nd,North Ndebele,Digital Humanities,Ubuntu Olwedijithali,"There isn't a direct, single-word equivalent for 'Digital Humanities' in North Ndebele. 'Ubuntu' refers to humanity, humaneness, and community, which aligns with the human-centered aspect of the humanities. 'Olwedijithali' is a loanword from 'digital' with the appropriate Ndebele prefix 'olu-' for abstract concepts or qualities. This combination conveys 'Digital Humanity' or 'Digital Humaneness', which is the closest conceptual translation, emphasizing the human aspect within the digital realm.",gemini-2.5-flash,2026-04-03T17:29:15.909656,,,2026-04-03 17:29:15,True,,True,,False,,False,"{
  ""translated_term"": ""Iintambelo Zomculo Wenyaka"",
  ""translation_rationale"": ""Combining the North Ndebele words 'iintambelo' (digital) and 'zomculo wenyaka' (humanities)""
}",llama3.1,2026-04-03T21:44:33.061303Z,1137016083.0,83097792.0,76.0,304007792.0,58.0,732946168.0,stop,Iintambelo Zomculo Wenyaka,Combining the North Ndebele words 'iintambelo' (digital) and 'zomculo wenyaka' (humanities),[],,False,Ezokwethekeli zomnotho,68.0,1775244898.0,stop,gpt-4o-2024-08-06,71.0,139.0,"The term 'Digital Humanities' is translated with an emphasis on 'digital' (computing/technology) and 'humanities' (culture, social sciences) within the context of North Ndebele-speaking areas.",,False,Amalimi Ezakudijithali,"In North Ndebele, 'Amalimi' means knowledge/studies/humanities, and 'Ezakudijithali' means digital/relating to digital technology. This compound captures both the humanities aspect and the digital component of the term.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:04.676024,160.0,76.0,84.0,False
nb,Norwegian Bokmål,Digital Humanities,Digital humaniora,"This is the standard and widely accepted translation of 'Digital Humanities' into Norwegian Bokmål. 'Digital' translates directly, and 'humaniora' is the established term for 'humanities'.",gemini-2.5-flash,2026-04-03T17:29:13.768388,,,2026-04-03 17:29:13,False,Digital humaniora,True,,False,,False,"{
  ""translated_term"": ""Digitale humaniora"",
  ""translation_rationale"": ""Termbase fra engelsk, med overføring av grensesnitt og nøkkelord""
}",llama3.1,2026-04-03T21:44:29.913292Z,991582750.0,78753625.0,76.0,290834875.0,46.0,607721796.0,stop,Digitale humaniora,"Termbase fra engelsk, med overføring av grensesnitt og nøkkelord",[],,False,Digitale humaniora,66.0,1775244896.0,stop,gpt-4o-2024-08-06,70.0,136.0,"The term is translated by combining 'digitale' (the Norwegian word for 'digital') and 'humaniora' (the Norwegian word for 'humanities'), reflecting the interdisciplinary field that uses digital tools and methods in the study of the humanities.",,False,Digital humaniora,"This is the established Norwegian Bokmål term, where 'digital' remains unchanged and 'humanities' is translated to 'humaniora', the standard academic term for humanities in Norwegian.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:11:00.599226,139.0,76.0,63.0,False
na,Nauru,Digital Humanities,Digital Humanities,"Nauru does not have a direct equivalent for 'Digital Humanities'. A loanword is the most appropriate approach, as creating a descriptive phrase would be overly long and not easily understood within the Nauruan linguistic context for such a specialized, modern academic field. The term 'Digital Humanities' is increasingly used internationally as a proper noun.",gemini-2.5-flash,2026-04-03T17:29:12.032609,,,2026-04-03 17:29:12,True,,True,,False,,False,"{""translated_term"": ""Māna ɛlau Mānebua"", ""translation_rationale"": ""The term Digital Humanities is translated directly into Nauru, combining the concepts of 'digital' and 'humanities' into a single phrase. 'Māna' means digital or computer, and 'ɛlau Mānebua' means studies or humanities.""}",llama3.1,2026-04-03T21:44:26.905157Z,1621663042.0,82683625.0,74.0,287497917.0,83.0,1225409792.0,stop,Māna ɛlau Mānebua,"The term Digital Humanities is translated directly into Nauru, combining the concepts of 'digital' and 'humanities' into a single phrase. 'Māna' means digital or computer, and 'ɛlau Mānebua' means studies or humanities.","[{'translated_term': 'Māna ɛlau Mānebua', 'translation_rationale': ""The term Digital Humanities is translated directly into Nauru, combining the concepts of 'digital' and 'humanities' into a single phrase. 'Māna' means digital or computer, and 'ɛlau Mānebua' means studies or humanities.""}]",Māna ɛlau Mānebua,False,Digital Humanities,49.0,1775244894.0,stop,gpt-4o-2024-08-06,70.0,119.0,"The Nauruan language has limited vocabulary for modern academic terms, and 'Digital Humanities' might be used as is due to lack of direct equivalent.",,False,Digital Humanities,"Nauru has limited native vocabulary for modern academic terms. The English term 'Digital Humanities' is typically borrowed directly, as Nauruan relies heavily on English loanwords for technical and academic concepts.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:57.226669,139.0,74.0,65.0,False
my,Burmese,Digital Humanities,ဒစ်ဂျစ်တယ်လူမှုသိပ္ပံ,"This translation combines 'ဒစ်ဂျစ်တယ်' (digital) with 'လူမှုသိပ္ပံ' (humanities/social sciences). 'လူမှုသိပ္ပံ' is a common term used in Burmese to encompass fields like history, literature, philosophy, etc., which are the core of the humanities. While 'လူမှု' literally means 'social', in this context, 'လူမှုသိပ္ပံ' is the closest and most widely understood equivalent for 'humanities' in an academic sense.",gemini-2.5-flash,2026-04-03T17:29:10.038681,,,2026-04-03 17:29:10,False,ဒစ်ဂျစ်တယ် လူသားပညာ,True,,False,ဒစ်ဂျစ်တယ်လူ့ပညာ,False,"{""translated_term"": ""\u1017\u1004\u1005\u100b\u100f\u1008\u100a\u1002\u1000\u1009\u1001\u100c\u100d\u100e\u1003\u1006\u1008\u1009"", ""translation_rationale"": ""Digital Humanities is translated to Burmese as \""\u1017\u1004\u1005\u100b\u100f\u1008\u100a\u1002\u1000\u1009\u1001\u100c\u100d\u100e\u1003\u1006\u1008\u1009\"", which is a direct transliteration of the English term, with each word separated by spaces. The term \""Digital Humanities\"" is widely used in Myanmar (Burma) among scholars and academics.""}",llama3.1,2026-04-03T21:44:23.269542Z,6279580000.0,84662709.0,74.0,288109000.0,172.0,5856542003.0,stop,ဗငစဋဏဈညဂကဉခဌဍဎဃဆဈဉ,"Digital Humanities is translated to Burmese as ""ဗငစဋဏဈညဂကဉခဌဍဎဃဆဈဉ"", which is a direct transliteration of the English term, with each word separated by spaces. The term ""Digital Humanities"" is widely used in Myanmar (Burma) among scholars and academics.","[{'translated_term': 'ဗငစဋဏဈညဂကဉခဌဍဎဃဆဈဉ', 'translation_rationale': 'Digital Humanities is translated to Burmese as ""ဗငစဋဏဈညဂကဉခဌဍဎဃဆဈဉ"", which is a direct transliteration of the English term, with each word separated by spaces. The term ""Digital Humanities"" is widely used in Myanmar (Burma) among scholars and academics.'}]",ဗငစဋဏဈညဂကဉခဌဍဎဃဆဈဉ,False,ဒစ်ဂျစ်တယ် လူ့ဘောင်သာသနာ,66.0,1775244892.0,stop,gpt-4o-2024-08-06,68.0,134.0,"The term is translated by combining 'digital' and 'humanities' as understood in the Burmese language, ensuring it reflects the technological and academic domains within the cultural context.",,False,ဒစ်ဂျစ်တယ် လူသားပညာရပ်,Direct translation where 'ဒစ်ဂျစ်တယ်' is the common Burmese transliteration of 'Digital' and 'လူသားပညာရပ်' means 'Humanities' (human knowledge/studies). This is the standard term used in Burmese academic contexts.,claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:53.520635,200.0,75.0,125.0,False
mt,Maltese,Digital Humanities,Umanitajiet Diġitali,This is a direct and accurate translation. 'Umanitajiet' means 'Humanities' and 'Diġitali' means 'Digital'. This term is commonly understood and used in Maltese academic contexts.,gemini-2.5-flash,2026-04-03T17:29:07.820037,,,2026-04-03 17:29:07,False,Umanistika Diġitali,False,L-istudji umanistiċi diġitali,False,Umanistika Diġitali,False,"{
  ""translated_term"": ""Umanitarji Digitali"",
  ""translation_rationale"": ""Literal translation of 'Digital Humanities' into Maltese, combining the adjective 'digital' and the noun 'umanitarju'""
}",llama3.1,2026-04-03T21:44:14.976134Z,996574584.0,80562667.0,74.0,293711875.0,49.0,607386749.0,stop,Umanitarji Digitali,"Literal translation of 'Digital Humanities' into Maltese, combining the adjective 'digital' and the noun 'umanitarju'",[],,False,Xjenzi Umanistiċi Diġitali,96.0,1775244889.0,stop,gpt-4o-2024-08-06,69.0,165.0,"The term 'Digital Humanities' is translated into Maltese as 'Xjenzi Umanistiċi Diġitali' to maintain the original meaning, where 'Xjenzi Umanistiċi' refers to 'Humanities' and 'Diġitali' means 'Digital'. The translation follows the structure and preserves the technical connotation of the subject matter.",,False,Xjenzi Diġitali tal-Umanità,"Direct translation where 'Xjenzi' means 'Sciences/Studies', 'Diġitali' is 'Digital', and 'tal-Umanità' means 'of Humanities'. This follows Maltese academic terminology conventions for interdisciplinary fields.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:48.954579,168.0,74.0,94.0,False
ms,Malay,Digital Humanities,Kemanusiaan Digital,This is a direct and accurate translation. 'Kemanusiaan' means 'Humanities' and 'Digital' means 'Digital'.,gemini-2.5-flash,2026-04-03T17:29:06.093520,,,2026-04-03 17:29:06,False,Kemanusiaan Digital,True,,False,Kemanusiaan Digital,False,"{
  ""translated_term"": ""Humaniti Digital"",
  ""translation_rationale"": ""Combination of Malay term 'digital' and the existing phrase 'humaniti', which is commonly used in Malaysian academia to refer to humanities""
}",llama3.1,2026-04-03T21:44:11.963931Z,975849208.0,86947208.0,72.0,287342125.0,48.0,587808451.0,stop,Humaniti Digital,"Combination of Malay term 'digital' and the existing phrase 'humaniti', which is commonly used in Malaysian academia to refer to humanities",[],,False,Kemanusiaan Digital,65.0,1775244449.0,stop,gpt-4o-2024-08-06,68.0,133.0,"The term 'Digital Humanities' translates to 'Kemanusiaan Digital' in Malay, where 'Kemanusiaan' means 'Humanities' and 'Digital' keeps its form because it is a recognized loanword from English.",,False,Kemanusiaan Digital,"Direct translation where 'Kemanusiaan' means 'Humanities' (the study of human culture, literature, history, etc.) and 'Digital' remains the same as it is commonly used in Malay academic discourse.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:44.044760,148.0,74.0,74.0,False
mr,Marathi (Marāṭhī),Digital Humanities,डिजिटल मानविकी,"This is a direct and widely accepted transliteration of 'Digital Humanities' into Marathi. 'डिजिटल' (Digital) is a common loanword, and 'मानविकी' (Manaviki) is the standard term for 'Humanities'.",gemini-2.5-flash,2026-04-03T17:29:04.488977,,,2026-04-03 17:29:04,False,डिजिटल मानविकी,False,मानवी क्षमता,False,डिजिटल मानवता,False,"{
  ""translated_term"": ""डिजिटल मानवविज्ञान"",
  ""translation_rationale"": ""Combining Marathi words 'Digital' and 'Mānava Vijnan'""
}",llama3.1,2026-04-03T21:44:08.974451Z,940686375.0,74850333.0,81.0,299514334.0,44.0,552733835.0,stop,डिजिटल मानवविज्ञान,Combining Marathi words 'Digital' and 'Mānava Vijnan',[],,False,डिजिटल मानविकी,68.0,1775244885.0,stop,gpt-4o-2024-08-06,75.0,143.0,"The term 'डिजिटल मानविकी' is a direct translation where 'डिजिटल' corresponds to 'Digital' and 'मानविकी' translates to 'Humanities', reflecting the interdisciplinary field that combines the study of humanities with digital technology.",,False,डिजिटल मानविकी,"Direct translation where 'डिजिटल' (Digital) is the standard transliteration used in Marathi, and 'मानविकी' (mānvikī) is the established Marathi term for 'Humanities', derived from 'मानव' (human).",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:40.946957,179.0,83.0,96.0,False
mn,Mongolian,Digital Humanities,Дижитал Хүмүүнлэг,"This is a direct and widely accepted translation. 'Дижитал' (Digital) is a common loanword, and 'Хүмүүнлэг' (Humanities) accurately conveys the meaning of the field.",gemini-2.5-flash,2026-04-03T17:29:02.792910,,,2026-04-03 17:29:02,False,Дижитал хүмүүнлэгийн ухаан,True,,False,Дижитал хүмүүнлэг,False,"{
  ""translated_term"": ""\u00d6riin s\u00e4s bolon \u00fchi\u0308uragch"",
  ""translation_rationale"": ""Mongolian word for 'digital' is 'öriin', meaning 'computerized' or 'electronic'. 'S\u00e4s bolon' means 'humanities'""
}",llama3.1,2026-04-03T21:44:06.02258Z,3007992292.0,78743417.0,73.0,307799208.0,81.0,2594819126.0,stop,Öriin säs bolon ühïuragch,"Mongolian word for 'digital' is 'öriin', meaning 'computerized' or 'electronic'. 'Säs bolon' means 'humanities'",[],,False,Дижитал хүмүүнлэгийн ухаан,71.0,1775244461.0,stop,gpt-4o-2024-08-06,69.0,140.0,"The translation is a direct adaptation of the English term 'Digital Humanities,' incorporating the understood meaning of each component, where 'дижитал' reflects 'digital' and 'хүмүүнлэгийн ухаан' represents 'humanities.'",,False,Дижитал хүмүүнлэг ухаан,"Direct translation where 'Дижитал' means 'Digital' (commonly used loanword in Mongolian), 'хүмүүнлэг' means 'humanities/humanistic', and 'ухаан' means 'science/studies'. This is the established term used in Mongolian academic contexts.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:37.215304,185.0,74.0,111.0,False
ml,Malayalam,Digital Humanities,ഡിജിറ്റൽ ഹ്യുമാനിറ്റീസ്,"ഇതൊരു സാങ്കേതിക പദമായതുകൊണ്ട്, 'Digital' എന്നതിന് 'ഡിജിറ്റൽ' എന്നും 'Humanities' എന്നതിന് 'ഹ്യുമാനിറ്റീസ്' എന്നും നേരിട്ടുള്ള ലിപ്യന്തരണം (transliteration) ഉപയോഗിച്ചു. ഇത് മലയാളത്തിൽ സാധാരണയായി ഉപയോഗിക്കുന്ന രീതിയാണ്.",gemini-2.5-flash,2026-04-03T17:29:01.021626,,,2026-04-03 17:29:01,False,ഡിജിറ്റൽ മാനവികത,False,മാനവരാശി,False,ഡിജിറ്റൽ ഹ്യുമാനിറ്റീസ്,False,"{
  ""translated_term"": ""ഡിജിറ്റൽ മാനവശാസ്ത്രം"",
  ""translation_rationale"": ""Digital Humanities + Malayalam translation""
}",llama3.1,2026-04-03T21:44:00.999861Z,1325256375.0,76316666.0,73.0,297147917.0,59.0,934280668.0,stop,ഡിജിറ്റൽ മാനവശാസ്ത്രം,Digital Humanities + Malayalam translation,[],,False,ഡിജിറ്റൽ ഹ്യൂമാനിറ്റീസ്,58.0,1775244881.0,stop,gpt-4o-2024-08-06,68.0,126.0,The term 'Digital Humanities' is translated by retaining the original English term because it is a field-specific term that is often used as-is in academic contexts.,,False,ഡിജിറ്റൽ മാനവികശാസ്ത്രം,Direct translation where 'Digital' is transliterated as 'ഡിജിറ്റൽ' (commonly used in Malayalam) and 'Humanities' is translated as 'മാനവികശാസ്ത്രം' (the standard Malayalam term for humanities/human sciences),claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:32.469379,190.0,72.0,118.0,False
mk,Macedonian,Digital Humanities,Дигитални хуманистики,This is a direct and accurate translation of 'Digital Humanities' into Macedonian. 'Дигитални' means 'Digital' and 'хуманистики' means 'Humanities'. This term is widely accepted and used in academic contexts in North Macedonia.,gemini-2.5-flash,2026-04-03T17:28:59.105997,,,2026-04-03 17:28:59,False,Дигитални хуманистички науки,False,Дигитални хуманости,False,Дигитални хуманистички науки,False,"{""translated_term"": ""Дигитални Уметности"", ""translation_rationale"": ""Combining the Macedonian words for 'digital' (дигитален) and 'humanities' (уметности), which is a direct translation of the English term.""}",llama3.1,2026-04-03T21:43:57.663092Z,1196571333.0,81731583.0,73.0,313172583.0,59.0,783908664.0,stop,Дигитални Уметности,"Combining the Macedonian words for 'digital' (дигитален) and 'humanities' (уметности), which is a direct translation of the English term.","[{'translated_term': 'Дигитални Уметности', 'translation_rationale': ""Combining the Macedonian words for 'digital' (дигитален) and 'humanities' (уметности), which is a direct translation of the English term.""}]",Дигитални Уметности,False,Дигитални хуманистички науки,85.0,1775244878.0,stop,gpt-4o-2024-08-06,69.0,154.0,"In Macedonian, 'Digital Humanities' translates to 'Дигитални хуманистички науки', where 'Дигитални' means 'Digital' and 'хуманистички науки' means 'Humanities', accurately reflecting the field of study that combines digital technology with humanities disciplines.",,False,Дигитални хуманистички науки,"Direct translation of 'Digital Humanities' in Macedonian, where 'дигитални' means 'digital' and 'хуманистички науки' means 'humanities/humanistic sciences', following standard academic terminology in Macedonian.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:28.357163,160.0,74.0,86.0,False
mi,Māori,Digital Humanities,Mātauranga Matihiko Tangata,"This translation combines 'Mātauranga' (knowledge, learning, scholarship), 'Matihiko' (digital), and 'Tangata' (human, people). 'Mātauranga Matihiko' directly translates to 'Digital Knowledge/Scholarship', and adding 'Tangata' specifies that it is human-focused or pertaining to the humanities, distinguishing it from purely technical digital knowledge. It reflects the interdisciplinary nature of DH, bridging digital methods with humanistic inquiry.",gemini-2.5-flash,2026-04-03T17:28:57.145403,,,2026-04-03 17:28:57,False,Ngā Tikanga Mamati,True,,False,Mamati Tangata,False,"{
  ""translated_term"": ""Humaritati Tiketronikī"",
  ""translation_rationale"": ""Breakdown of the terms: 'Humari' from Humaritati (from English Digital Humanities) meaning people or community, and 'Tiketronikī' directly translating the Māori word for 'digital', 'tiketronika'.""
}",llama3.1,2026-04-03T21:43:54.454177Z,1526982583.0,108083667.0,74.0,284334417.0,79.0,1112529332.0,stop,Humaritati Tiketronikī,"Breakdown of the terms: 'Humari' from Humaritati (from English Digital Humanities) meaning people or community, and 'Tiketronikī' directly translating the Māori word for 'digital', 'tiketronika'.",[],,False,Matihiko Tāngata,71.0,1775244876.0,stop,gpt-4o-2024-08-06,68.0,139.0,"The term 'Digital Humanities' is translated as 'Matihiko Tāngata', where 'Matihiko' means digital and 'Tāngata' means humanities or people, reflecting the interdisciplinary study of digital technology and human culture.",,False,Hangarau Matihiko,"Combines 'hangarau' (scholarship/humanities/knowledge) with 'matihiko' (digital), following standard Māori neologism patterns for academic terminology",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:24.178375,137.0,74.0,63.0,False
mh,Marshallese,Digital Humanities,Jukjukun Pija im Armej,"This translation combines 'jukjukun pija' (digital/computer) with 'armej' (human/people). While 'humanities' as a direct concept doesn't have a single word, this phrase conveys the idea of 'digital aspects of human studies' or 'digital for people'.",gemini-2.5-flash,2026-04-03T17:28:54.942139,,,2026-04-03 17:28:54,False,Digital Humanities,False,Ta ko Rej Wal̦o̦k ñan Armej?,False,,False,"{""translated_term"": ""Bwein Ijebu Teenaan"", ""translation_rationale"": ""Marshallese phrase combining 'bwein' (technology/computer), 'ijebu' (new/innovative) and 'teenaan' (humanities)""}",llama3.1,2026-04-03T21:43:50.915198Z,1112766083.0,83574708.0,74.0,282203958.0,61.0,728813251.0,stop,Bwein Ijebu Teenaan,"Marshallese phrase combining 'bwein' (technology/computer), 'ijebu' (new/innovative) and 'teenaan' (humanities)","[{'translated_term': 'Bwein Ijebu Teenaan', 'translation_rationale': ""Marshallese phrase combining 'bwein' (technology/computer), 'ijebu' (new/innovative) and 'teenaan' (humanities)""}]",Bwein Ijebu Teenaan,False,Humanities eo Eṃōjlōk,68.0,1775244873.0,stop,gpt-4o-2024-08-06,69.0,137.0,"Marshallese often borrows terms for digital and technical concepts due to limited native vocabulary for modern technology, thus combining 'humanities' with a term indicating 'digital' or 'modern' as adapted by speakers.",,False,Dijital Kautiej,"Marshallese uses many English loanwords. 'Dijital' is the phonetic adaptation of 'digital', and 'kautiej' means knowledge/learning/wisdom, making it the appropriate term for humanities/liberal arts studies.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:20.747120,154.0,76.0,78.0,False
mg,Malagasy,Digital Humanities,Fahaiza-manao nomerika momba ny maha-olona,This translation combines 'fahaiza-manao nomerika' (digital skills/knowledge) with 'maha-olona' (humanity/humanities). It directly reflects the two core components of the field.,gemini-2.5-flash,2026-04-03T17:28:52.949006,,,2026-04-03 17:28:52,False,Siansa momba ny maha-olona nomerika,False,Maha-olombelona nomerika,False,Digital Humanities,False,"{
  ""translated_term"": ""Tehniko Fitenyantsika"",
  ""translation_rationale"": ""Combining 'digital' from French (technique) and 'humanities' from English, considering the influence of French in Malagasy language.""
}",llama3.1,2026-04-03T21:43:47.787321Z,1052794458.0,83850042.0,74.0,275369041.0,56.0,677332170.0,stop,Tehniko Fitenyantsika,"Combining 'digital' from French (technique) and 'humanities' from English, considering the influence of French in Malagasy language.",[],,False,Siansa Niomerika sy Fampianarana Kolontsaina,91.0,1775244871.0,stop,gpt-4o-2024-08-06,68.0,159.0,"The term 'Siansa Niomerika sy Fampianarana Kolontsaina' in Malagasy captures the essence of 'Digital Humanities', combining the translation of 'digital' as 'siansa niomerika' meaning digital sciences and 'fampianarana kolontsaina' referring to cultural studies.",,False,Maha-olombelona Nomerika,"Direct translation where 'Maha-olombelona' means 'Humanities' (literally 'what makes human') and 'Nomerika' means 'Digital' (derived from 'numérique' in French, which heavily influences Malagasy academic vocabulary)",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:14.915350,168.0,75.0,93.0,False
lv,Latvian,Digital Humanities,Digitālās humanitārās zinātnes,This is the direct and widely accepted translation used in academic and professional contexts in Latvian. 'Digitālās' means 'digital' and 'humanitārās zinātnes' means 'humanities'.,gemini-2.5-flash,2026-04-03T17:28:51.146764,,,2026-04-03 17:28:51,False,Digitālās humanitārās zinātnes,True,,False,Digitālās humanitārās zinātnes,False,"{""translated_term"": ""Dzeltskrātīšu māksla"", ""translation_rationale"": ""Combining 'dzelts' (digital) and 'krātīšu' (humanities or sciences)""}",llama3.1,2026-04-03T21:43:44.720514Z,998168500.0,86556625.0,74.0,285367167.0,52.0,611331461.0,stop,Dzeltskrātīšu māksla,Combining 'dzelts' (digital) and 'krātīšu' (humanities or sciences),"[{'translated_term': 'Dzeltskrātīšu māksla', 'translation_rationale': ""Combining 'dzelts' (digital) and 'krātīšu' (humanities or sciences)""}]",Dzeltskrātīšu māksla,False,Digitālās humanitārās zinātnes,63.0,1775244441.0,stop,gpt-4o-2024-08-06,69.0,132.0,"The term 'Digitālās humanitārās zinātnes' accurately reflects the integration of digital technologies and methodologies within the field of humanities, as is understood in Latvian academic contexts.",,False,Digitālās humanitārās zinātnes,"This is the standard Latvian translation used in academic contexts, where 'digitālās' means 'digital' and 'humanitārās zinātnes' refers to 'humanities' or 'human sciences'.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:10.218379,152.0,75.0,77.0,False
lu,Luba-Katanga,Digital Humanities,Buntu bwa Dijitaale,No rationale provided,gemini-2.5-flash,2026-04-03T17:28:49.282296,,,2026-04-03 17:28:49,True,,False,BISHINTE BYA KWIFUNDA,False,,False,"{""translated_term"": ""Mukanda wa digitali"", ""translation_rationale"": ""Combining Luba words 'mukanda' (digital) and '-wa' to make a possessive noun phrase, similar to how it's structured in other Bantu languages.""}",llama3.1,2026-04-03T21:43:41.709062Z,1085711333.0,80909625.0,76.0,282526750.0,57.0,705717705.0,stop,Mukanda wa digitali,"Combining Luba words 'mukanda' (digital) and '-wa' to make a possessive noun phrase, similar to how it's structured in other Bantu languages.","[{'translated_term': 'Mukanda wa digitali', 'translation_rationale': ""Combining Luba words 'mukanda' (digital) and '-wa' to make a possessive noun phrase, similar to how it's structured in other Bantu languages.""}]",Mukanda wa digitali,False,biyambilayi ya numériki,94.0,1775244867.0,stop,gpt-4o-2024-08-06,71.0,165.0,"The translation 'biyambilayi ya numériki' is a compound of 'biyambilayi', meaning 'humanities', and 'numériki', yet 'digital' is commonly understood in the context even though a direct translation may be lacking. This approach mirrors the practice in other languages, integrating digital as a concept with the study of humanities.",,False,Bumanyi bwa Numériki,"Combines 'bumanyi' (knowledge/humanities) with 'numériki' (digital/numeric), following Luba-Katanga morphology where 'bwa' indicates possession or relation.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:06.990011,152.0,78.0,74.0,False
lt,Lithuanian,Digital Humanities,Skaitmeninė humanitarika,This is the most direct and widely accepted translation in Lithuanian academic discourse. 'Skaitmeninė' means 'digital' and 'humanitarika' means 'humanities'.,gemini-2.5-flash,2026-04-03T17:28:47.187348,,,2026-04-03 17:28:47,False,Skaitmeniniai humanitariniai mokslai,True,,False,Skaitmeniniai humanitariniai mokslai,False,"{
  ""translated_term"": ""Žmogaus Mokslas Dėl Digitalinės Prisijungimo"",
  ""translation_rationale"": ""Literal translation of 'Digital Humanities' into Lithuanian, combining 'humanities' with the adjective 'digital', as no single word equivalent exists in the language.""
}",llama3.1,2026-04-03T21:43:38.608115Z,1308912250.0,133469875.0,74.0,279226250.0,72.0,874762370.0,stop,Žmogaus Mokslas Dėl Digitalinės Prisijungimo,"Literal translation of 'Digital Humanities' into Lithuanian, combining 'humanities' with the adjective 'digital', as no single word equivalent exists in the language.",[],,False,Skaitmeninės humanitarikos,82.0,1775244864.0,stop,gpt-4o-2024-08-06,69.0,151.0,"The term 'Digital Humanities' translates to 'Skaitmeninės humanitarikos' in Lithuanian, where 'skaitmeninės' means 'digital' and 'humanitarikos' refers to 'humanities'. This maintains the original meaning while adapting it to the grammatical and linguistic context of Lithuanian.",,False,Skaitmeninės humanitarinės mokslai,"Direct translation where 'Skaitmeninės' means 'Digital', 'humanitarinės' means 'Humanities', and 'mokslai' means 'sciences/disciplines'. This is the standard term used in Lithuanian academic contexts for Digital Humanities.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:10:03.392814,164.0,72.0,92.0,False
