language_code,language_name,term_source,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,exclude_openai,term,coding_dh_date,wikipedia_translated_term,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation
nds,Low German / Low Saxon,Digital Humanities,Digitale Geesteswetenschappen,64.0,1775520438.0,stop,gpt-4o-2024-08-06,75.0,139.0,"The term 'Geesteswetenschappen' is commonly used in Low German to refer to humanities, while 'Digitale' is a direct translation of 'Digital', matching the concept of 'Digital Humanities'.",,False,,2026-04-07 01:07:20,,False,,False,,False,,False,"{
  ""translated_term"": ""Digitale Humanisten"",
  ""translation_rationale"": ""Low German / Low Saxon translation, combining 'digital' (from English) and 'Humanitists' (from English, using the plural form)""
}",llama3.1,2026-04-07T00:03:13.285944Z,1046113209.0,81051625.0,79.0,355173167.0,52.0,594168998.0,stop,Digitale Humanisten,"Low German / Low Saxon translation, combining 'digital' (from English) and 'Humanitists' (from English, using the plural form)",[],
nap,Neapolitan,Digital Humanities,Umanistiche Digitali,56.0,1775520436.0,stop,gpt-4o-2024-08-06,70.0,126.0,"In Neapolitan, 'Digital' translates to 'Digitali' and 'Humanities' to 'Umanistiche', capturing the essence of technological and scholarly integration.",,False,,2026-04-07 01:07:17,,False,,False,,False,,False,"{
  ""translated_term"": ""Dumannità Digitale"",
  ""translation_rationale"": ""Combination of Italian and Neapolitan language""
}",llama3.1,2026-04-07T00:03:10.216594Z,797855625.0,65468667.0,74.0,360027084.0,32.0,361979169.0,stop,Dumannità Digitale,Combination of Italian and Neapolitan language,[],
nah,Nahuatl,Digital Humanities,Ticuiltiztli Tlamaniliztli,88.0,1775520433.0,stop,gpt-4o-2024-08-06,70.0,158.0,"Nahuatl does not have direct equivalents for modern concepts like 'digital'. 'Ticuiltiztli' means 'technology' or 'innovation', and 'Tlamaniliztli' refers to 'human endeavors or studies', which together approximate the digital aspect within humanistic studies.",,False,,2026-04-07 01:07:15,,False,,False,,False,,False,"{
  ""translated_term"": ""Tonalpohualli tlamachyotl"",
  ""translation_rationale"": ""The term 'Digital Humanities' is composed of two parts. 'Digital' is derived from the Spanish word 'digital', which is equivalent to the Nahuatl term 'tlayolli', meaning 'of the fingers' or 'hand-made'. However, I chose to use 'tonalpohualli', a Nahuatl word referring to a system of divination and time-reckoning. It conveys a sense of modernity and connection to the digital age while being grounded in traditional Mesoamerican knowledge systems. The term 'Humanities' is equivalent to 'tlamachyotl', which encompasses arts, sciences, and humanistic studies.""
}",llama3.1,2026-04-07T00:03:07.392171Z,2429178125.0,80320208.0,74.0,399442541.0,164.0,1902621208.0,stop,Tonalpohualli tlamachyotl,"The term 'Digital Humanities' is composed of two parts. 'Digital' is derived from the Spanish word 'digital', which is equivalent to the Nahuatl term 'tlayolli', meaning 'of the fingers' or 'hand-made'. However, I chose to use 'tonalpohualli', a Nahuatl word referring to a system of divination and time-reckoning. It conveys a sense of modernity and connection to the digital age while being grounded in traditional Mesoamerican knowledge systems. The term 'Humanities' is equivalent to 'tlamachyotl', which encompasses arts, sciences, and humanistic studies.",[],
mwl,Mirandese,Digital Humanities,Humanidades Digitais,55.0,1775520431.0,stop,gpt-4o-2024-08-06,71.0,126.0,"The Mirandese language often borrows terms from Portuguese due to historical and linguistic influences, translating 'Digital Humanities' similarly to Portuguese as 'Humanidades Digitais'.",,False,,2026-04-07 01:07:12,,False,,False,,False,,False,"{
  ""translated_term"": ""Humanidades Digitales"",
  ""translation_rationale"": ""Direct translation of the English term, combining 'digitals' (digital) and 'humanidades' (humanities)""
}",llama3.1,2026-04-07T00:03:02.93911Z,954913709.0,80294292.0,75.0,345254416.0,45.0,515265835.0,stop,Humanidades Digitales,"Direct translation of the English term, combining 'digitals' (digital) and 'humanidades' (humanities)",[],
mus,Creek / Muskogee,Digital Humanities,Mvskoke Vhvmke Enhecvlke,85.0,1775520427.0,stop,gpt-4o-2024-08-06,73.0,158.0,"Based on combining the Muskogee terms for 'knowledge' (vhvmke), 'books' or 'records' (enhecvlke), and 'Mvskoke' to denote cultural context since there is no direct term for 'Digital Humanities'.",,False,,2026-04-07 01:07:10,,False,,False,,False,,False,"{""translated_term"": ""ᎤᏁᎶᏗ ᎯᏍᎩ ᎤᏕᏗ"", ""translation_rationale"": ""Using Muskogee orthography, combining 'digital' with the suffix '-woni', which is a common way to form nouns in Muskogee, and adding 'ᎯᏍᎩ', which means 'study' or 'knowledge', to convey the idea of studying or exploring digital things.""}",llama3.1,2026-04-07T00:02:59.964379Z,1726246125.0,111676916.0,77.0,340095125.0,108.0,1243623084.0,stop,ᎤᏁᎶᏗ ᎯᏍᎩ ᎤᏕᏗ,"Using Muskogee orthography, combining 'digital' with the suffix '-woni', which is a common way to form nouns in Muskogee, and adding 'ᎯᏍᎩ', which means 'study' or 'knowledge', to convey the idea of studying or exploring digital things.","[{'translated_term': 'ᎤᏁᎶᏗ ᎯᏍᎩ ᎤᏕᏗ', 'translation_rationale': ""Using Muskogee orthography, combining 'digital' with the suffix '-woni', which is a common way to form nouns in Muskogee, and adding 'ᎯᏍᎩ', which means 'study' or 'knowledge', to convey the idea of studying or exploring digital things.""}]",ᎤᏁᎶᏗ ᎯᏍᎩ ᎤᏕᏗ
mrh,Mara,Digital Humanities,Digital Humanities,51.0,1775520425.0,stop,gpt-4o-2024-08-06,69.0,120.0,"Mara, like many languages with limited digital terminology, may use the English term directly or adapt it with minor modifications due to the lack of a native equivalent.",,False,,2026-04-07 01:07:06,,False,,False,,False,,False,"{""translated_term"": ""Dizitāli Manukṣiya Sādhana"", ""translation_rationale"": ""Combination of Hindi 'dizitālī' (digital) and Marathi 'manukṣiya sādhana' (humanities)""}",llama3.1,2026-04-07T00:02:56.221008Z,1156010583.0,87762083.0,73.0,348187750.0,61.0,701941757.0,stop,Dizitāli Manukṣiya Sādhana,Combination of Hindi 'dizitālī' (digital) and Marathi 'manukṣiya sādhana' (humanities),"[{'translated_term': 'Dizitāli Manukṣiya Sādhana', 'translation_rationale': ""Combination of Hindi 'dizitālī' (digital) and Marathi 'manukṣiya sādhana' (humanities)""}]",Dizitāli Manukṣiya Sādhana
mo,Moldovan,Digital Humanities,Științe umaniste digitale,72.0,1775520422.0,stop,gpt-4o-2024-08-06,69.0,141.0,"Moldovan, often equated with Romanian, employs similar terminology used in Romanian for Digital Humanities. 'Științe umaniste' translates to 'Humanities,' and 'digitale' translates to 'Digital'.",,False,,2026-04-07 01:07:04,,False,Științe Umaniste Digitale,False,,False,,False,"{
  ""translated_term"": ""Umanitățile Digitale"",
  ""translation_rationale"": ""Literal translation of the phrase, combining 'Digital' and 'Humanities'""
}",llama3.1,2026-04-07T00:02:53.046674Z,899308667.0,84401833.0,73.0,352212458.0,40.0,450893754.0,stop,Umanitățile Digitale,"Literal translation of the phrase, combining 'Digital' and 'Humanities'",[],
min,Minangkabau,Digital Humanities,Humaniora Digital,83.0,1775520419.0,stop,gpt-4o-2024-08-06,71.0,154.0,"The term 'Digital Humanities' is translated into Minangkabau as 'Humaniora Digital' because 'Humaniora' is used for 'Humanities' and 'Digital' retains its meaning. The Minangkabau language often borrows terms from Indonesian, which Minangkabau speakers are generally familiar with.",,False,,2026-04-07 01:07:01,,False,Kamanusiaan Digital,False,,False,,False,"{
  ""translated_term"": ""Si Manuik Digital"",
  ""translation_rationale"": ""Minangkabau language uses the term 'Si Manuik' to refer to digital or electronic, hence 'Digital Humanities' is translated as 'Si Manuik Digital'""
}",llama3.1,2026-04-07T00:02:50.127666Z,1132507583.0,89889750.0,76.0,350314709.0,59.0,674766037.0,stop,Si Manuik Digital,"Minangkabau language uses the term 'Si Manuik' to refer to digital or electronic, hence 'Digital Humanities' is translated as 'Si Manuik Digital'",[],
map-bms,Banyumasan,Digital Humanities,Humaniora Digital,66.0,1775520416.0,stop,gpt-4o-2024-08-06,72.0,138.0,"The Banyumasan language often borrows terms from Indonesian. 'Humaniora' is used in Indonesian to refer to humanities, and 'Digital' is also commonly used and understood in the same form as in English.",,False,,2026-04-07 01:06:58,,False,,False,,False,,False,"{""translated_term"": ""Manusia Digital"", ""translation_rationale"": ""Literally 'Digital Person', drawing from the Indonesian language, which is closely related to Banyumasan.""}",llama3.1,2026-04-07T00:02:46.977698Z,943941541.0,82900416.0,77.0,392523084.0,40.0,455895375.0,stop,Manusia Digital,"Literally 'Digital Person', drawing from the Indonesian language, which is closely related to Banyumasan.","[{'translated_term': 'Manusia Digital', 'translation_rationale': ""Literally 'Digital Person', drawing from the Indonesian language, which is closely related to Banyumasan.""}]",Manusia Digital
man,Mandarin,Digital Humanities,数字人文,74.0,1775520412.0,stop,gpt-4o-2024-08-06,68.0,142.0,"The term 'Digital Humanities' is commonly translated into Mandarin as '数字人文', where '数字' means 'digital' and '人文' means 'humanities'. This translation is widely accepted and used within academic and professional contexts related to the digital humanities field.",,False,,2026-04-07 01:06:55,,False,,False,,False,,False,"{
  ""translated_term"": ""\u5DE6\u4E45\u4F1A\u6212"",
  ""translation_rationale"": ""Literally, \u5DE6 means \""digital\"" and \u4E45\u4F1A means \""humanities\""""
}",llama3.1,2026-04-07T00:02:44.011124Z,1219490250.0,90286708.0,72.0,399012292.0,62.0,711975546.0,stop,左久会戒,"Literally, 左 means ""digital"" and 久会 means ""humanities""",[],
lzz,Laz,Digital Humanities,ჀარკჇფა ინიშინა,65.0,1775520410.0,stop,gpt-4o-2024-08-06,69.0,134.0,"The Laz term 'ჀარკჇფა' denotes 'digital', and 'ნიშინა' means 'humanities'. This translation reflects the academic discipline that combines computing and humanities.",,False,,2026-04-07 01:06:51,,False,,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""Laz does not have a direct equivalent for the term Digital Humanities. However, it can be translated as ""}",llama3.1,2026-04-07T00:02:40.777263Z,872100709.0,85240667.0,73.0,383888000.0,34.0,392183380.0,stop,,"Laz does not have a direct equivalent for the term Digital Humanities. However, it can be translated as ","[{'translated_term': '', 'translation_rationale': 'Laz does not have a direct equivalent for the term Digital Humanities. However, it can be translated as '}]",
lmo,Lombard,Digital Humanities,Umanità Digital,55.0,1775520408.0,stop,gpt-4o-2024-08-06,70.0,125.0,"In Lombard, 'Umanità' aligns with 'Humanities', and 'Digital' remains the same, reflecting the integrated nature of the term in academic contexts.",,False,,2026-04-07 01:06:49,Informatega umanistega,False,Scienzi umanistich digitai,False,,False,,False,"{
  ""translated_term"": ""Umànitè digital"",
  ""translation_rationale"": ""The term is composed of 'umànità' (humanity) and 'digital', which are combined to form a new compound word in Lombard.""
}",llama3.1,2026-04-07T00:02:37.88835Z,1064393625.0,82598625.0,74.0,360562500.0,53.0,604711540.0,stop,Umànitè digital,"The term is composed of 'umànità' (humanity) and 'digital', which are combined to form a new compound word in Lombard.",[],
lij,Ligurian,Digital Humanities,Umaniștie Digitâ,64.0,1775520405.0,stop,gpt-4o-2024-08-06,70.0,134.0,"In Ligurian, 'Umaniștie' corresponds to 'Humanities', and 'Digitâ' translates to 'Digital'. The translation follows the structural adaptability of Ligurian for contemporary terms.",,False,,2026-04-07 01:06:46,,False,Sciense umañe digitale,False,,False,,False,"{
  ""translated_term"": ""Omnium Sciencias Digital"",
  ""translation_rationale"": ""Combining 'Digital' and 'Humanities' into a single phrase, while trying to maintain the original meaning""
}",llama3.1,2026-04-07T00:02:34.80681Z,1001109125.0,88594208.0,74.0,373429250.0,46.0,524910541.0,stop,Omnium Sciencias Digital,"Combining 'Digital' and 'Humanities' into a single phrase, while trying to maintain the original meaning",[],
lan,Lango,Digital Humanities,Dijita Humaniti,81.0,1775520403.0,stop,gpt-4o-2024-08-06,69.0,150.0,"The term 'Digital Humanities' involves modern scholarly activities that combine computing technologies with disciplines in the humanities. 'Dijita' is a transliteration of 'Digital' as technical terms often use transliterations, and 'Humaniti' is a direct translation, maintaining the idea of human-centered studies.",,False,,2026-04-07 01:06:44,,False,,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""Lango language has limited resources and documentation, making it challenging to find a suitable translation for 'Digital Humanities'. I couldn't find any reliable source or expert opinion on how to translate this term into Lango. Further research is needed.""}",llama3.1,2026-04-07T00:02:31.791084Z,1157430750.0,86344291.0,73.0,364753917.0,60.0,687742953.0,stop,,"Lango language has limited resources and documentation, making it challenging to find a suitable translation for 'Digital Humanities'. I couldn't find any reliable source or expert opinion on how to translate this term into Lango. Further research is needed.","[{'translated_term': '', 'translation_rationale': ""Lango language has limited resources and documentation, making it challenging to find a suitable translation for 'Digital Humanities'. I couldn't find any reliable source or expert opinion on how to translate this term into Lango. Further research is needed.""}]",
lad,Ladino / Judeo-Spanish,Digital Humanities,Humanidades Digitales,70.0,1775520400.0,stop,gpt-4o-2024-08-06,75.0,145.0,"The term 'Digital Humanities' is translated directly as 'Humanidades Digitales' in Ladino, following the structure and vocabulary used in Spanish, which heavily influences modern Ladino. This reflects the integration of digital technology with the study of humanities.",,False,,2026-04-07 01:06:41,,False,,False,,False,,False,"{
  ""translated_term"": ""Humanidades Digitales"",
  ""translation_rationale"": ""Ladino / Judeo-Spanish translation, retaining Spanish roots with the addition of 'Digitales' to adapt to the digital context""
}",llama3.1,2026-04-07T00:02:28.615053Z,1009962791.0,82460208.0,80.0,340403000.0,50.0,572087251.0,stop,Humanidades Digitales,"Ladino / Judeo-Spanish translation, retaining Spanish roots with the addition of 'Digitales' to adapt to the digital context",[],
ksh,Ripuarian,Digital Humanities,Digitaal Minscheit-Wessenschaft,84.0,1775520396.0,stop,gpt-4o-2024-08-06,71.0,155.0,"Ripuarian often uses terms similar to German, where 'Digital' is rendered as 'Digitaal' and 'Humanities' can be translated as 'Minscheit-Wessenschaft' (Humanities as a scientific discipline). This maintains the meaning while adapting to local linguistic conventions.",,False,,2026-04-07 01:06:38,,False,,False,,False,,False,"{
  ""translated_term"": ""Digitale Mäännerschaft"",
  ""translation_rationale"": ""combination of 'digitale' (digital) and 'Mäännerschaft' (humanities)""
}",llama3.1,2026-04-07T00:02:25.585185Z,937493292.0,84276417.0,75.0,353163541.0,43.0,486333422.0,stop,Digitale Mäännerschaft,combination of 'digitale' (digital) and 'Mäännerschaft' (humanities),[],
khw,Khowar,Digital Humanities,ڈیجیٹل علوم انسانی,50.0,1775520394.0,stop,gpt-4o-2024-08-06,71.0,121.0,The translation directly maps 'Digital Humanities' into Khowar using transliterations and adaptations where necessary due to potential lack of direct native terminology.,,False,,2026-04-07 01:06:35,,False,,False,,False,,False,"{""translated_term"": ""ڈیجیٹل انساییکلوپیڈیا"", ""translation_rationale"": ""Literally 'Digital Encyclopedia', combining the two words as a direct translation of the concept.""}",llama3.1,2026-04-07T00:02:22.630127Z,992272458.0,92264958.0,75.0,346092375.0,47.0,539467787.0,stop,ڈیجیٹل انساییکلوپیڈیا,"Literally 'Digital Encyclopedia', combining the two words as a direct translation of the concept.","[{'translated_term': 'ڈیجیٹل انساییکلوپیڈیا', 'translation_rationale': ""Literally 'Digital Encyclopedia', combining the two words as a direct translation of the concept.""}]",ڈیجیٹل انساییکلوپیڈیا
jbo,Lojban,Digital Humanities,mucti tadni,66.0,1775520392.0,stop,gpt-4o-2024-08-06,71.0,137.0,"In Lojban, 'mucti' means 'digital' or 'pertaining to computing', and 'tadni' means 'student' or 'scientist', reflecting the interdisciplinary nature of Digital Humanities.",,False,,2026-04-07 01:06:33,,False,,False,,False,,False,"{""translated_term"": ""Cmevla da ci'i ciska"", ""translation_rationale"": ""Cmevla means \""personal name\"" or \""noun\"", da means \""to deal with\"" or \""about\"", ci'i means \""digital\"", and ciska means \""humanities\""""}",llama3.1,2026-04-07T00:02:19.619858Z,1125107458.0,81254458.0,75.0,350868666.0,59.0,676395668.0,stop,Cmevla da ci'i ciska,"Cmevla means ""personal name"" or ""noun"", da means ""to deal with"" or ""about"", ci'i means ""digital"", and ciska means ""humanities""","[{'translated_term': ""Cmevla da ci'i ciska"", 'translation_rationale': 'Cmevla means ""personal name"" or ""noun"", da means ""to deal with"" or ""about"", ci\'i means ""digital"", and ciska means ""humanities""'}]",Cmevla da ci'i ciska
inh,Ingush,Digital Humanities,Цифравой гуманитарий,70.0,1775520389.0,stop,gpt-4o-2024-08-06,69.0,139.0,The term 'Digital Humanities' is translated by combining the Ingush word for 'digital' (Цифравой) with the adapted form of 'humanities'. This reflects the interdisciplinary field that combines humanities disciplines with digital technology.,,False,,2026-04-07 01:06:31,,False,,False,,False,,False,"{
  ""translated_term"": ""Дигиталон гьорзам"",
  ""translation_rationale"": ""Combination of Russian loanwords and Ingush adaptation, using the suffix -on (-гон) to form a noun""
}",llama3.1,2026-04-07T00:02:16.475423Z,1056543292.0,89589583.0,73.0,355457833.0,52.0,595834498.0,stop,Дигиталон гьорзам,"Combination of Russian loanwords and Ingush adaptation, using the suffix -on (-гон) to form a noun",[],
ilo,Ilokano,Digital Humanities,Digital a Humanidades,67.0,1775520387.0,stop,gpt-4o-2024-08-06,70.0,137.0,"Ilokano often adopts English terms with slight adaptations for modern concepts that do not have direct translations. 'Digital' remains the same, while 'Humanities' is adapted to 'Humanidades', reflecting common usage for academic disciplines.",,False,,2026-04-07 01:06:28,,False,Digital a Humanities,False,Digital Humanies,False,,False,"{
  ""translated_term"": ""Digitong Pangyubak"",
  ""translation_rationale"": ""Translation of 'Digital Humanities' from English to Ilokano, considering the language's characteristics and vocabulary.""
}",llama3.1,2026-04-07T00:02:13.400655Z,1001354833.0,89822375.0,75.0,395587459.0,44.0,502044794.0,stop,Digitong Pangyubak,"Translation of 'Digital Humanities' from English to Ilokano, considering the language's characteristics and vocabulary.",[],
haw,Hawaiian,Digital Humanities,Nā ʻIkea ʻIkepili,83.0,1775520385.0,stop,gpt-4o-2024-08-06,68.0,151.0,"The term 'Nā ʻIkea ʻIkepili' reflects 'Digital Humanities' by combining 'Nā ʻIkea', meaning 'knowledge or science', with 'ʻIkepili', meaning 'digital data', thus representing the interdisciplinary field of study that combines digital technology and the humanities.",,False,,2026-04-07 01:06:26,,False,Nā Humanities Kikohoʻe,False,,False,Digital Humanities,False,"{
  ""translated_term"": ""Nā Kānaka o na Mea Ha'aha'a"",
  ""translation_rationale"": ""Combining \""Digital\"" (na mea haelea, literally 'virtual things') and \""Humanities\"" (nā kānaka, people or humans) to create a term that reflects the interdisciplinary nature of the field.""
}",llama3.1,2026-04-07T00:02:10.376617Z,1344782125.0,79148541.0,73.0,357695833.0,77.0,885421328.0,stop,Nā Kānaka o na Mea Ha'aha'a,"Combining ""Digital"" (na mea haelea, literally 'virtual things') and ""Humanities"" (nā kānaka, people or humans) to create a term that reflects the interdisciplinary nature of the field.",[],
hak,Hakka Chinese,Digital Humanities,數位人文,69.0,1775520382.0,stop,gpt-4o-2024-08-06,70.0,139.0,"The term '數位人文' is commonly used in Mandarin Chinese for 'Digital Humanities', and it is understood in Hakka as well, due to the standardization and spread of digital and academic terminology from Mandarin into other Chinese languages.",,False,,2026-04-07 01:06:23,,False,,False,,False,,False,"{
  ""translated_term"": """",
  ""translation_rationale"": ""The word 'Digital Humanities' is a term that doesn't directly translate to Hakka Chinese as it's a specific concept. However, I can attempt to break it down into its components: \u5df1\u7c73 (digital) and \u6a18\u6d0b\u516b (humanities). A possible translation could be: ""
}",llama3.1,2026-04-07T00:02:07.008346Z,1494286750.0,71654375.0,74.0,348231583.0,91.0,1046711708.0,stop,,"The word 'Digital Humanities' is a term that doesn't directly translate to Hakka Chinese as it's a specific concept. However, I can attempt to break it down into its components: 己米 (digital) and 樘洋八 (humanities). A possible translation could be: ",[],
got,Gothic,Digital Humanities,Teknodomeiþos,112.0,1775520379.0,stop,gpt-4o-2024-08-06,68.0,180.0,"The term 'Digital Humanities' is a compound of 'digital' and 'humanities'. In Gothic, 'tekno' can be understood as a stem related to technology (from Greek 'techne') and 'domeiþos' is related to humanistic disciplines or learning ('doms' being wisdom or judgment). Due to the lack of direct equivalents in the ancient language, this compound term is the closest approximation for modern concepts.",,False,,2026-04-07 01:06:21,,False,,False,,False,,False,"{""translated_term"": ""Kunsthistorikos saƕa wairþja"", ""translation_rationale"": ""Combining Gothic words for 'art' (kunst), 'history' (historikos), and 'new' or 'digital' concepts, using the word for 'saƕa' (together) and 'wairþja' (way/means) to convey the idea of a new way of studying art and history.""}",llama3.1,2026-04-07T00:02:03.496171Z,1629769125.0,85286583.0,72.0,374389667.0,99.0,1141772919.0,stop,Kunsthistorikos saƕa wairþja,"Combining Gothic words for 'art' (kunst), 'history' (historikos), and 'new' or 'digital' concepts, using the word for 'saƕa' (together) and 'wairþja' (way/means) to convey the idea of a new way of studying art and history.","[{'translated_term': 'Kunsthistorikos saƕa wairþja', 'translation_rationale': ""Combining Gothic words for 'art' (kunst), 'history' (historikos), and 'new' or 'digital' concepts, using the word for 'saƕa' (together) and 'wairþja' (way/means) to convey the idea of a new way of studying art and history.""}]",Kunsthistorikos saƕa wairþja
gil,Gilbertese,Digital Humanities,Te Matanibonganga Internet,75.0,1775520377.0,stop,gpt-4o-2024-08-06,69.0,144.0,"The term 'Digital Humanities' does not have a direct equivalent in Gilbertese. 'Te Matanibonganga' means 'Humanities' and 'Internet' is widely understood to reference digital technology, thus the compound term conveys the interdisciplinary nature of Digital Humanities.",,False,,2026-04-07 01:06:18,,False,,False,Aroia Aomata n Tokanikai i Aoni Bwaai ni Kabane,False,,False,"{""translated_term"": ""Nauru Kaburea Bwibwen ni"", ""translation_rationale"": ""Literally 'humanities of the digital' in Gilbertese, following a direct loan from English into the language.""}",llama3.1,2026-04-07T00:01:59.846082Z,1006700500.0,95990500.0,74.0,348607042.0,48.0,547236666.0,stop,Nauru Kaburea Bwibwen ni,"Literally 'humanities of the digital' in Gilbertese, following a direct loan from English into the language.","[{'translated_term': 'Nauru Kaburea Bwibwen ni', 'translation_rationale': ""Literally 'humanities of the digital' in Gilbertese, following a direct loan from English into the language.""}]",Nauru Kaburea Bwibwen ni
gbm,Garhwali,Digital Humanities,डिजिटल मानविकी,86.0,1775520374.0,stop,gpt-4o-2024-08-06,71.0,157.0,"The term 'Digital Humanities' combines the words 'digital' referring to technology and 'humanities' relating to human culture and studies. In Garhwali, 'डिजिटल' is used phonetically from English, and 'मानविकी' translates to 'humanities', reflecting the study of human culture.",,False,,2026-04-07 01:06:16,,False,,False,,False,,False,"{""translated_term"": """", ""translation_rationale"": ""Unfortunately, I couldn\u0027t find any available language data for Garhwali (ISO code: gbm). As a result, I am unable to provide an accurate translation of the term Digital Humanities.""}",llama3.1,2026-04-07T00:01:56.818545Z,1125226166.0,80311750.0,75.0,400394208.0,55.0,628119630.0,stop,,"Unfortunately, I couldn't find any available language data for Garhwali (ISO code: gbm). As a result, I am unable to provide an accurate translation of the term Digital Humanities.","[{'translated_term': '', 'translation_rationale': ""Unfortunately, I couldn't find any available language data for Garhwali (ISO code: gbm). As a result, I am unable to provide an accurate translation of the term Digital Humanities.""}]",
gan,Gan Chinese,Digital Humanities,数字人文,97.0,1775520372.0,stop,gpt-4o-2024-08-06,69.0,166.0,"The term 'Digital Humanities' combines 'digital,' referring to technology or computing, and 'humanities,' which pertains to the study of human culture. In Gan Chinese, '数字' translates to 'digital' and '人文' translates to 'humanities.' This combination effectively conveys the concept of integrating digital technology with humanities study, aligning with the established translation in Chinese cultural contexts.",,False,,2026-04-07 01:06:13,,False,,False,,False,,False,"{""translated_term"": ""Hoi6 Cig5 Ze2 Jou4"", ""translation_rationale"": ""Using the romanization system for Gan Chinese, Hanyu Pinyin was adapted to fit the local phonetic and orthographic characteristics.""}",llama3.1,2026-04-07T00:01:53.673348Z,1038605542.0,82327250.0,73.0,355573625.0,51.0,584861169.0,stop,Hoi6 Cig5 Ze2 Jou4,"Using the romanization system for Gan Chinese, Hanyu Pinyin was adapted to fit the local phonetic and orthographic characteristics.","[{'translated_term': 'Hoi6 Cig5 Ze2 Jou4', 'translation_rationale': 'Using the romanization system for Gan Chinese, Hanyu Pinyin was adapted to fit the local phonetic and orthographic characteristics.'}]",Hoi6 Cig5 Ze2 Jou4
fur,Friulian,Digital Humanities,Umanitâts Digitâls,96.0,1775520369.0,stop,gpt-4o-2024-08-06,70.0,166.0,"The term 'Umanitâts Digitâls' reflects the translation of 'Digital Humanities' into Friulian, where 'Umanitâts' corresponds to 'Humanities' referring to academic disciplines that study aspects of human society and culture, and 'Digitâls' corresponds to 'Digital', denoting the digitization aspect relevant to the field.",,False,,2026-04-07 01:06:11,,False,Lis siencis umanis digjitâls,False,,False,,False,"{""translated_term"": ""Umanitàs digitalis"", ""translation_rationale"": ""Combining 'umanitàs' (humanities) and 'digital', following the usual Friulian language pattern of combining words with hyphens or using Latin-derived roots.""}",llama3.1,2026-04-07T00:01:50.613538Z,1094894292.0,74074542.0,74.0,363293250.0,56.0,640709793.0,stop,Umanitàs digitalis,"Combining 'umanitàs' (humanities) and 'digital', following the usual Friulian language pattern of combining words with hyphens or using Latin-derived roots.","[{'translated_term': 'Umanitàs digitalis', 'translation_rationale': ""Combining 'umanitàs' (humanities) and 'digital', following the usual Friulian language pattern of combining words with hyphens or using Latin-derived roots.""}]",Umanitàs digitalis
frp,Arpitan / Franco-Provençal,Digital Humanities,Umanitât numerica,76.0,1775520366.0,stop,gpt-4o-2024-08-06,77.0,153.0,"The translation 'Umanitât numerica' derives from using 'Umanitât' for 'Humanities' and 'numerica' as an equivalent for 'Digital,' reflecting the meaning in Arpitan/Franco-Provençal.",,False,,2026-04-07 01:06:08,,False,,False,,False,,False,"{
  ""translated_term"": ""Lètimenàs d'ôssethique digitâla"",
  ""translation_rationale"": ""Digital Humanities in Arpitan / Franco-Provençal, translating 'digital' as 'ôssethique' (from French 'scientifique') and 'humanities' as 'lètimenàs' (from Latin 'literae')""
}",llama3.1,2026-04-07T00:01:47.503573Z,1437074125.0,80044209.0,82.0,342820667.0,86.0,988871039.0,stop,Lètimenàs d'ôssethique digitâla,"Digital Humanities in Arpitan / Franco-Provençal, translating 'digital' as 'ôssethique' (from French 'scientifique') and 'humanities' as 'lètimenàs' (from Latin 'literae')",[],
fiu-vro,Võro,Digital Humanities,digihumanita,72.0,1775520364.0,stop,gpt-4o-2024-08-06,72.0,144.0,"The term 'Digital Humanities' is translated into Võro as 'digihumanita' by combining 'digi-' from 'digital' and 'humanita-' from 'humanities', following the pattern used in many languages to reflect the same concept.",,False,,2026-04-07 01:06:05,,False,,False,,False,,False,"{""translated_term"": ""Digitaalsed humanitaarsed teadused"", ""translation_rationale"": ""direct translation of 'Digital Humanities' using a combination of Estonian and Võro language knowledge, where 'digitaalne' is already used in some contexts in Võro""}",llama3.1,2026-04-07T00:01:44.043994Z,1165948916.0,88753166.0,77.0,363581542.0,61.0,695961379.0,stop,Digitaalsed humanitaarsed teadused,"direct translation of 'Digital Humanities' using a combination of Estonian and Võro language knowledge, where 'digitaalne' is already used in some contexts in Võro","[{'translated_term': 'Digitaalsed humanitaarsed teadused', 'translation_rationale': ""direct translation of 'Digital Humanities' using a combination of Estonian and Võro language knowledge, where 'digitaalne' is already used in some contexts in Võro""}]",Digitaalsed humanitaarsed teadused
