language_code,language_name,language_family,term_source,has_wikipedia,n_services_with_data,mean_rationale_similarity,category,evidence,loan_words_found,absence_signals,construction_signals,debate_signals,n_unique_raw,n_unique_normalized,max_edit_distance,has_script_disagreement,scripts_found,script_per_service,script_signals,claude_rationale_snippet,openai_rationale_snippet,gemini_rationale_snippet,first_ollama_rationale_snippet,service_translations
lan,Lango,Nilo-Saharan,Digital Humanities,False,5,0.4309,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 1; services with data: 5,True,Gemini:borrowing,First Ollama:combining; First Ollama:suffix; First Ollama:prefix; Second Ollama:combining; Second Ollama:suffix; Second Ollama:prefix,,5,5,23,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"In Lango, 'ngeyo' means knowledge or wisdom, 'me dano' refers to humanity/human affairs, and 'ki komputa' indicates digital/computer technology. This translation better captures the essence of Digital Humanities as the study of human culture and society using digital tools. The existing suggestions ","The term ""Nguwo"" refers to ""knowledge"" or ""study"" and is contextually appropriate for ""Humanities."" ""Acep"" is ""digital,"" referring to the digital nature of the field. This translation acknowledges the digital aspect of the humanities and maintains linguistic accuracy.","Let's break down the existing suggestions and then my proposed translation:

*   **OpenAI: 'Nguwo Acep Digitali'**
    *   'Nguwo' means 'knowledge' or 'wisdom'. This is a good start for 'Humanities'.
    *   'Acep' means 'new' or 'modern'. While 'digital' is modern, 'acep' doesn't directly convey '","The term ""Digital Humanities"" is translated by combining the Lango word for digital, which has been adapted from English, with the word for humanities, which is a direct translation of the Luganda word ""omwana"" meaning human or person, and the prefix ""mw-"" indicating a field of study or profession. ","{'OpenAI': 'Dijita Humaniti', 'Claude': 'Lok me tyen pi komputa', 'Gemini': 'Jamiro me Konyo ki Kompyuta', 'First Ollama': 'Omwana wa Digitali', 'Second Ollama': 'Gatuzi Saida Digitale'}"
lb,Luxembourgish,Germanic,Digital Humanities,False,7,0.4189,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 2; services with data: 7,True,Claude:borrowed; Gemini:borrowing,,,7,7,20,False,['Latin'],"[('Google Translate', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"In Luxembourgish, 'Geesteswëssenschaften' is the established term for 'humanities' (literally 'sciences of the mind/spirit'), borrowed from German but adapted to Luxembourgish orthography. The term 'Digital' remains unchanged as it is commonly used in Luxembourgish for digital technology. The plural","The term ""Digital Geeschteswëssenschaften"" effectively combines the Luxembourgish word for humanities, ""Geeschteswëssenschaften,"" with ""Digital,"" reflecting the interdisciplinary field that integrates technology with humanities disciplines. It captures both the domain of study and the digital aspect","The term 'Digital Humanities' combines 'digital' and 'humanities'. In Luxembourgish, 'digital' translates directly to 'digital'. For 'humanities', the most accurate and commonly accepted translation is 'Geeschteswëssenschaften'. This term literally means 'spiritual sciences' or 'sciences of the mind","I modified the Lingvanex suggestion to make it more accurate and idiomatic in Luxembourgish. I replaced 'Geeschte' with 'Hëmmesse', which is a more common term for Humanities in Luxembourgish, and added the plural ending '-n' to agree with 'Digital'. This translation should be understandable and usa","{'Google Translate': 'Digital Humanities', 'Lingvanex': 'Digital Geeschteswëssenschaft', 'OpenAI': 'Digital Humanwissenschaften', 'Claude': 'Digital Geisteswëssenschaften', 'Gemini': 'Digital Humanitéiten', 'First Ollama': 'Digitall Hëmmessenschaften', 'Second Ollama': 'Digitale Geisteswëssenschaften'}"
lg,Luganda,African (Niger-Congo),Digital Humanities,False,7,0.4358,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 2; services with data: 7,True,Claude:untranslated; Gemini:borrowing,Gemini:compound; Gemini:construct,Claude:either; Gemini:both terms,7,6,20,False,['Latin'],"[('Google Translate', 'Latin'), ('EasyNMT', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; EasyNMT:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"This translation captures the essence of Digital Humanities more accurately than the existing suggestions. 'Ebyenjigiriza' means 'disciplines/studies' (more appropriate than 'eby'obuntubulamu' which means 'life sciences'), 'eby'obuntu' refers to 'humanities/human affairs', and 'etekinologiya' is the","The term ""Digital Humanities"" translates to ""Eby’obuntubulamu ebya Kikonakona"" in Luganda to more accurately convey the concept of ""digital"" (kikonakona) as refers to computerized or electronic interaction. ""Eby’obuntubulamu"" captures ""Humanities"" in the context of human cultural and academic studie","My translation, 'Eby'obuntu n'Ebya Kompyuta', aims for a balance of accuracy, conciseness, and naturalness in Luganda. Let's break down the components and compare it with the provided suggestions:

*   **Eby'obuntu:** This directly translates to 'things of humanity' or 'humanities'. It's a common an","I have accepted the Google Translate suggestion as a viable option. In Luganda, 'eby'obuntubulamu' directly translates to 'digital things' or 'digital objects', which aligns with the concept of digital humanities. Adding 'Digital' at the end maintains the accuracy and clarity of the translation.","{'Google Translate': 'Eby’obuntubulamu ebya Digital', 'EasyNMT': ""Obusobozi bw'Abantu"", 'OpenAI': 'Bunnakatemba bwa Dijito', 'Claude': 'Obuyiiya bwa Dijitulo', 'Gemini': 'Obuntu bwa Digito', 'First Ollama': ""Eby'obuntubulamu ebya Digital"", 'Second Ollama': 'Okusoma kya Digitale'}"
li,Limburgish,Romance,Digital Humanities,False,6,0.4583,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 3; services with data: 6,True,Claude:loanword; First Ollama:borrowed; Second Ollama:borrowed,Claude:morpholog; Gemini:compound,Gemini:variant,5,5,19,False,['Latin'],"[('Google Translate', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"In Limburgish, 'Digital' becomes 'Digitaal' (following standard Limburgish orthography for loanwords). For 'Humanities', the term 'Geistesweitesjappe' is most appropriate - it combines 'Geistes-' (related to mind/spirit/intellectual pursuits) with 'weitesjappe' (sciences/disciplines). The word 'weit","The term ""Digitale Geisteswetesjappe"" closely aligns with Limburgish language structure. ""Digitale"" accurately reflects the notion of technology-based activities, while ""Geisteswetesjappe"" encapsulates the idea of humanities or human sciences. This translation ensures that the term is comprehensible","The term 'Digitale Geistesweitesjappe' is a direct and accurate translation of 'Digital Humanities' into Limburgish. Let's break down the components and compare it with the provided suggestions:

1.  **'Digitale'**: This is the correct Limburgish adjective for 'Digital'. It matches the gender and nu","I modified Google Translate's suggestion to conform to Limburgish grammar and spelling. In Limburgish, the adjective 'digitale' is in agreement with the noun 'Geisteswissenschaften', which is borrowed from German. The term 'Geestesweitesjappe' is not a standard combination of words in Limburgish.","{'Google Translate': 'Digitale geestesweitesjappe', 'OpenAI': 'Digitale Geesteswetenschappen', 'Claude': 'Digitaal Geisteswetenschafte', 'Gemini': 'Digitale Humaniora', 'First Ollama': 'Digitale Geisteswissenschaften', 'Second Ollama': 'Digitale Geisteswissenschaften'}"
lij,Ligurian,Romance,Digital Humanities,False,6,0.4325,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 2; services with data: 6,True,OpenAI:borrowing; Gemini:borrowing,First Ollama:prefix; Second Ollama:prefix,Gemini:variant,6,6,15,False,['Latin'],"[('Google Translate', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"In Ligurian, 'Sciençe Umàne' (Humanities) should use 'ç' for the soft 'c' sound and maintain the grave accent on 'à'. The adjective 'Digitâli' should be plural with circumflex accent 'â' to match Ligurian orthographic conventions and agree in number with the plural noun 'Sciençe'. This follows stand","The term 'Scienze umane digitali' closely follows standard Italian translation practices, which is a valid approach considering the influence of Italian on Ligurian. 'Sciençe' is the Ligurian word for 'sciences', and 'umàne' means 'humanities'. 'Digitale' is a direct borrowing from Italian, a common","My translation 'Sciense Umane Digitâli' is a refinement of the existing suggestions, aiming for greater accuracy and naturalness in Ligurian. Here's a breakdown of the choices:

*   **Sciense**: This is the most common and accurate Ligurian term for 'sciences'. It's widely understood and aligns with","In Ligurian, the word for 'digital' is not a direct equivalent of the Italian word. Instead, I used the prefix 'digital-' and combined it with the adjective 'scienze', which means 'sciences' or 'arts'. To maintain the nuance of 'humanities', I chose to keep 'umane' as part of the term, rather than t","{'Google Translate': 'Sciense umañe digitale', 'OpenAI': 'Umaniștie Digitâ', 'Claude': 'Umanitæ Digitâ', 'Gemini': 'Umanitæ Digitæ', 'First Ollama': 'Scienze umane digitali', 'Second Ollama': 'Omnium Sciencias Digital'}"
lmo,Lombard,Romance,Digital Humanities,True,7,0.4623,PRODUCTIVE_DISAGREEMENT,Wikipedia translation present; 6 distinct outputs; debate signals: 0,True,,Claude:compound; Claude:construct; Claude:morpholog; Gemini:compound,,6,6,20,False,['Latin'],"[('Wikipedia', 'Latin'), ('Google Translate', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Wikipedia:Latin; Google Translate:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"In Lombard, the term should follow the natural word order and morphological patterns of the language. 'Umanistega' (from 'umanistich' meaning humanistic/humanities) is the standard Lombard form for humanities-related fields, and 'digitala' is the appropriate feminine singular adjective form agreeing","The term 'Digital Humanities' generally refers to the integration of digital technologies with the humanities. In Lombard, 'Scienzi umanistich digital' combines the concept of 'scienzi umanistich' (humanities) with 'digital', reflecting the widespread use of 'digital' across various languages. This ","The term 'Umanìstega Digitál' (or 'Umanìstega Digitala' if we want to be more explicit about the feminine adjective) is the most concise and idiomatic translation. Let's break down why and compare it to the other suggestions:

*   **'Umanìstega'**: This directly translates to 'Humanities' in a singu","I've modified Google Translate's suggestion to match the Lombard language's orthography and grammar. 'Digital' is translated as 'digital', which directly corresponds to the English term, while 'umanistich' is used to convey a sense of humanistic inquiry. In Lombard, it's common to place adjectives a","{'Wikipedia': 'Informatega umanistega', 'Google Translate': 'Scienzi umanistich digitai', 'OpenAI': 'Umanità Digital', 'Claude': 'Umanistega Digitai', 'Gemini': 'Umanìstega Digitál', 'First Ollama': 'Scienz umanistich digital', 'Second Ollama': 'Umanità Digital'}"
ln,Lingala,African (Niger-Congo),Digital Humanities,False,7,0.4333,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 1; services with data: 7,True,Gemini:borrowing,,,6,6,29,False,['Latin'],"[('Google Translate', 'Latin'), ('EasyNMT', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; EasyNMT:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"This translation captures both core concepts: 'Boyekoli' means knowledge/studies/learning (representing 'Humanities'), 'ya bato' emphasizes the human aspect (people/humanity), and 'na nimero' refers to digital/numerical. This is more accurate than the suggestions provided: Google Translate's 'Humani","The Lingala term 'Mayele ma kimpe' combines 'Mayele', which refers to knowledge or intellectual activities, and 'kimpe', which refers to something involving digital or computational aspects. This captures the essence of 'Digital Humanities' as the intersection of humanities disciplines with digital ","My translation 'Boyekoli bwa bato na nimero' aims to capture the essence of 'Digital Humanities' in Lingala. Let's break down the components and compare it with the provided suggestions:

*   **Boyekoli:** This means 'study' or 'learning'. It's a good starting point as 'Humanities' fundamentally inv","I modified Google Translate's suggestion to make it more idiomatic in Lingala. 'Humanités numériques' translates to ' Biloko oyo bato bazali na yango' which is a correct translation but not very natural in Lingala. In Lingala, we use the word 'kisicho rahisi' (digital) instead of 'numérique', and I ","{'Google Translate': 'Humanités numériques', 'EasyNMT': 'Biloko oyo bato bazali na yango', 'OpenAI': 'Bozwi ya Mayele ya Numerike', 'Claude': 'Mateya ya nimero', 'Gemini': 'Humanités Numériques', 'First Ollama': 'Biloko ya kipimo kisicho rahisi', 'Second Ollama': 'Umwana wa Digital'}"
lo,Lao,Mainland SE Asian,Digital Humanities,False,7,0.3823,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 3; services with data: 7; script disagreement: Lao+Latin,True,Claude:transliterat; Gemini:loanword; Gemini:transliterat,OpenAI:combining; Gemini:combining,,7,7,18,True,"['Lao', 'Latin']","[('Google Translate', 'Lao'), ('Lingvanex', 'Latin'), ('OpenAI', 'Lao'), ('Claude', 'Lao'), ('Gemini', 'Lao'), ('First Ollama', 'Lao'), ('Second Ollama', 'Lao')]",Google Translate:Lao; Lingvanex:Latin; OpenAI:Lao; Claude:Lao; Gemini:Lao; First Ollama:Lao; Second Ollama:Lao,"The term combines 'ມະນຸດສາດ' (manut-sat, meaning 'humanities' or 'human sciences') with 'ດິຈິທັລ' (digital). I've slightly modified the existing suggestions by using 'ດິຈິທັລ' instead of 'ດິຈິຕອນ' because 'ດິຈິທັລ' is the more standard transliteration of 'digital' in Lao, commonly used in technology","The term ""ມະນຸດສາດດິຈິຕອນ"" is a direct translation from English, combining ""ມະນຸດສາດ"" (humanities) with ""ດິຈິຕອນ"" (digital). This term captures the combination of humanities disciplines with digital technology, which is the essence of Digital Humanities.","The term 'Digital Humanities' combines 'Digital' and 'Humanities'. In Lao, 'Humanities' is widely understood as 'ມະນຸດສາດ' (manut-sat). For 'Digital', the most common and accepted transliteration/loanword is 'ດິຈິຕອລ' (digit-ol), which is phonetically close to the English and widely used in technica","I've adapted the existing suggestions to provide a more accurate and idiomatic translation. 'ສະຫຼອດ' (khaad) means 'digital' or 'computer', 'ຮົບ' (muuak) refers to 'humanities' or 'arts', and 'ພູມານ' (phumarn) conveys the sense of 'study' or 'scholarship'. This translation reflects the nuanced meani","{'Google Translate': 'ມະນຸດສາດດິຈິຕອນ', 'Lingvanex': 'Digital Humanities', 'OpenAI': 'ມະນຸດດິຈິຕອນ', 'Claude': 'ມະນຸດສາດດິຈິທັລ', 'Gemini': 'ມະນຸດສາດດິຈິຕອລ', 'First Ollama': 'ສະຫຼອດຮົບ ພູມານ', 'Second Ollama': 'ພະລັດເກາົມສິນ'}"
lt,Lithuanian,Baltic,Digital Humanities,False,7,0.4373,TRANSMOGRIFICATION,No Wikipedia; 5 distinct outputs; absence signals: 2; construction signals: 1,False,First Ollama:loanword; Second Ollama:loanword,OpenAI:combining,Claude:either,5,5,35,False,['Latin'],"[('Google Translate', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"While 'Skaitmeniniai humanitariniai mokslai' is grammatically correct and literally translates to 'Digital Humanities,' I propose 'Skaitmeninės humanitarinės disciplinos' for several reasons: (1) 'Disciplinos' better captures the interdisciplinary nature of Digital Humanities, (2) it aligns with how","The term ""Skaitmeniniai humanitariniai mokslai"" accurately conveys the meaning of ""Digital Humanities"" by combining ""Skaitmeniniai"" (Digital) and ""humanitariniai mokslai"" (Humanities) to represent the interdisciplinary field that applies digital technologies to the study of humanities.","While 'Skaitmeniniai humanitariniai mokslai' (Digital Humanities Sciences) is a direct and understandable translation, it leans slightly more towards the 'sciences' aspect, which might not fully capture the interdisciplinary and methodological breadth of Digital Humanities. The term 'disciplinos' (d","Both Google Translate and Lingvanex provided the same suggestion, which seems to accurately convey the meaning of Digital Humanities. The word 'skaitmeninis' comes from the Lithuanian word for 'digital', while 'humanitariniai mokslai' translates 'humanities'. This phrase is a direct combination of E","{'Google Translate': 'Skaitmeniniai humanitariniai mokslai', 'Lingvanex': 'Skaitmeniniai humanitariniai mokslai', 'OpenAI': 'Skaitmeninės humanitarikos', 'Claude': 'Skaitmeninės humanitarinės mokslai', 'Gemini': 'Skaitmeninė humanitarika', 'First Ollama': 'Skaitmeniniai humanitariniai mokslai', 'Second Ollama': 'Žmogaus Mokslas Dėl Digitalinės Prisijungimo'}"
lu,Luba-Katanga,African (Niger-Congo),Digital Humanities,False,6,0.4324,TRANSMOGRIFICATION,No Wikipedia; 6 distinct outputs; absence signals: 3; construction signals: 2,False,Claude:borrowed; Claude:loanword; Gemini:loanword,First Ollama:prefix; Second Ollama:prefix,,6,6,19,False,['Latin'],"[('EasyNMT', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",EasyNMT:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"The existing suggestions translate 'Digital Humanities' as 'Bishinte bya Kwifunda' (literally 'sciences/studies of learning'), which focuses on the 'humanities' aspect but loses the crucial 'digital' component. A more accurate translation should preserve both elements. 'Bishinte' correctly captures ","The term ""Digital Humanities"" refers to the intersection of digital technology and the study of human culture. ""Bishinte"" corresponds to ""digital"" and ""bya Kwifunda"" translates to ""of Humanities."" Both components appropriately convey the integration of digital tools with humanistic studies in Luba-K","The term 'Digital Humanities' combines 'digital' and 'humanities'. In Luba-Katanga, 'bishinte' (or 'bishinthe') refers to 'studies' or 'disciplines', which is a good equivalent for 'humanities' in this context. The key is how to translate 'digital'.

Let's analyze the existing suggestions:
- EasyNMT","I refine the existing suggestion from EasyNMT by changing 'BYA' to 'bya'. In Luba-Katanga, 'bisha' is a prefix that means 'digital' or 'computer-related', and 'kwifunda' is derived from the word for 'science' or 'knowledge'. The phrase 'Bishinthe bya kwifunda' literally translates to 'digital scienc","{'EasyNMT': 'BISHINTE BYA KWIFUNDA', 'OpenAI': 'biyambilayi ya numériki', 'Claude': 'Bumanyi bwa Numériki', 'Gemini': 'Buntu bwa Kidijito', 'First Ollama': 'Bishinthe bya kwifunda', 'Second Ollama': 'Mukanda wa digitali'}"
lv,Latvian,Baltic,Digital Humanities,False,7,0.4793,TRANSMOGRIFICATION,No Wikipedia; 2 distinct outputs; absence signals: 0; construction signals: 0,False,,,,2,2,23,False,['Latin'],"[('Google Translate', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"This translation is accurate and widely accepted in Latvian academic discourse. 'Digitālās' (digital) is the correct adjectival form, 'humanitārās' (humanities) properly refers to the humanities disciplines, and 'zinātnes' (sciences/scholarly disciplines) is the appropriate term for academic fields ","The phrase ""Digitālās humanitārās zinātnes"" precisely conveys the meaning of ""Digital Humanities"" in Latvian. ""Digitālās"" translates to ""Digital,"" indicating the study's technological aspect, while ""humanitārās zinātnes"" translates to ""Humanities,"" covering disciplines like history, literature, and ","The existing suggestions, 'Digitālās humanitārās zinātnes', are accurate and well-formed in Latvian. 'Digitālās' is the correct feminine plural adjective for 'digital', agreeing with 'humanitārās zinātnes'. 'Humanitārās' is the correct feminine plural adjective for 'humanities' (or 'humanitarian', b","The existing suggestions provided by Google Translate and Lingvanex are correct. The term 'Digitālās humanitārās zinātnes' accurately reflects the combination of digital technology and humanities studies, with 'digitāli' meaning 'digital', 'humanitāri' meaning 'humanitarian' or 'related to humanity'","{'Google Translate': 'Digitālās humanitārās zinātnes', 'Lingvanex': 'Digitālās humanitārās zinātnes', 'OpenAI': 'Digitālās humanitārās zinātnes', 'Claude': 'Digitālās humanitārās zinātnes', 'Gemini': 'Digitālās humanitārās zinātnes', 'First Ollama': 'Digitālās humanitārās zinātnes', 'Second Ollama': 'Dzeltskrātīšu māksla'}"
lzz,Laz,Caucasian / Isolate,Digital Humanities,False,5,0.3168,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 5; services with data: 5; script disagreement: Georgian+Latin,True,Claude:loanword; Gemini:loanword; Gemini:transliterat; First Ollama:loanword; Second Ollama:loanword,Claude:formation; Claude:morpholog; Gemini:compound; Gemini:combining; Gemini:morpholog; Gemini:suffix; First Ollama:combining; Second Ollama:combining,,5,5,32,True,"['Georgian', 'Latin']","[('OpenAI', 'Georgian'), ('Claude', 'Georgian'), ('Gemini', 'Georgian'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",OpenAI:Georgian; Claude:Georgian; Gemini:Georgian; First Ollama:Latin; Second Ollama:Latin,"In Laz, 'dijitali' (digital) is an established loanword from Turkish/international usage. For 'Humanities', I use 'insanişişalepe' which combines 'insan' (human, widely understood in Laz through Turkish contact) with 'işişalepe' (sciences/knowledge systems). This formation follows Laz morphological ","The term ""Digital Humanities"" encompasses the study of human culture through digital means. ""Dijitali"" is derived from the concept of digital technology. ""Insanbilimler"" translates to ""Humanities,"" referring to the academic disciplines that study aspects of human society and culture. This translatio","Laz (ლაზური) is a South Caucasian language closely related to Georgian. When translating 'Digital Humanities', it's helpful to consider how similar concepts are expressed in Georgian and adapt them to Laz phonology and morphology.

Let's break down the components:

1.  **Digital:** The most straight","Combining ""digital"" from English and ""Hazmanut"" (humanities) in Laz, using the Georgian loanword.","{'OpenAI': 'ჀარკჇფა ინიშინა', 'Claude': 'ციფრული ჰუმანიტარული მეცნიერებეფე', 'Gemini': 'ციფრული ჰუმანიტარია', 'First Ollama': 'Digital Hazmanutnili', 'Second Ollama': 'Dijital İnsani Bilimler'}"
man,Mandarin,Sino-Tibetan,Digital Humanities,False,5,0.38,TRANSMOGRIFICATION,No Wikipedia; 3 distinct outputs; absence signals: 0; construction signals: 1,False,,Gemini:suffix,,3,3,4,False,['CJK'],"[('OpenAI', 'CJK'), ('Claude', 'CJK'), ('Gemini', 'CJK'), ('First Ollama', 'CJK'), ('Second Ollama', 'CJK')]",OpenAI:CJK; Claude:CJK; Gemini:CJK; First Ollama:CJK; Second Ollama:CJK,"The term '数字人文学' (shùzì rénwénxué) is the established and widely accepted translation for 'Digital Humanities' in Chinese academic circles. It directly corresponds to the English term: '数字' (shùzì) means 'digital', '人文' (rénwén) means 'humanities', and '学' (xué) indicates a field of study or discipl","The term '数字人文学' directly translates to 'Digital Humanities' in Mandarin. '数字' means 'digital', '人文' refers to 'humanities', and '学' denotes 'study' or 'discipline'. This term is widely accepted and used in academic and scholarly contexts for consistency with existing translations.","The existing suggestions '数字人文学' (shùzì rénwénxué) are very close and widely accepted. '数字' (shùzì) directly translates to 'digital'. '人文' (rénwén) is a concise and accurate term for 'humanities', often used in academic contexts (e.g., 人文科学 - humanities sciences). The addition of '学' (xué), meaning ","In Mandarin, 国文 means 'computer' or 'digital', 家 refers to 'humanities' or '明内' (the humanities), and 共 is a classifier for abstract concepts.","{'OpenAI': '数字人文', 'Claude': '数字人文', 'Gemini': '数字人文', 'First Ollama': '国文家共', 'Second Ollama': '左久会戒'}"
map-bms,Banyumasan,Austronesian,Digital Humanities,False,5,0.3809,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 3; services with data: 5,True,Claude:loanword; First Ollama:borrowing; Second Ollama:borrowing,First Ollama:combining; First Ollama:suffix; Second Ollama:combining; Second Ollama:suffix,,4,4,17,False,['Latin'],"[('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"In Banyumasan, 'Kawruh' means knowledge or learning, and 'Kamanungsan' (from 'manungsa' meaning human) better captures the concept of 'humanities' as the study of human culture, society, and expression. 'Digital' is maintained as a loanword. The suggested 'Budaya' (culture) is too narrow as it doesn","The term ""Kawruh Budaya Digital"" accurately captures the essence of ""Digital Humanities"" in Banyumasan. ""Kawruh"" translates to ""knowledge"" or ""science,"" while ""Budaya"" means ""culture"" or ""humanities."" ""Digital"" remains the same. This translation is concise and understandable to native speakers.","The term 'Digital Humanities' combines 'digital' and 'humanities'. In Banyumasan, 'digital' can be directly adopted as 'Digital'. For 'humanities', the core concept refers to the study of human culture, society, and condition. 'Kawruh' means 'knowledge' or 'study of'. 'Kamanungsan' directly translat","I've translated the term 'Digital Humanities' by combining words from Banyumasan language. ""Kawruh"" means knowledge, ""Budaya"" means culture, and ""Dhuwur"" is a suffix used to denote something high or superior. ""Digital"" has been added as it's a direct borrowing from English.","{'OpenAI': 'Humaniora Digital', 'Claude': 'Kamanungsan Digital', 'Gemini': 'Humaniora Digital', 'First Ollama': 'Kawruh Budaya Dhuwur Digital', 'Second Ollama': 'Manusia Digital'}"
mg,Malagasy,Austronesian,Digital Humanities,False,8,0.398,STRUCTURAL_ABSENCE,Loan word detected: True; absence signals: 1; services with data: 8,True,Gemini:borrowing,Claude:construct,,7,7,35,False,['Latin'],"[('Google Translate', 'Latin'), ('EasyNMT', 'Latin'), ('Lingvanex', 'Latin'), ('OpenAI', 'Latin'), ('Claude', 'Latin'), ('Gemini', 'Latin'), ('First Ollama', 'Latin'), ('Second Ollama', 'Latin')]",Google Translate:Latin; EasyNMT:Latin; Lingvanex:Latin; OpenAI:Latin; Claude:Latin; Gemini:Latin; First Ollama:Latin; Second Ollama:Latin,"This translation balances accuracy and naturalness in Malagasy. 'Maha-olona' captures the essence of 'humanities' as it relates to human nature, culture, and society - the core subjects of humanistic study. 'Nomerika' is the standard Malagasy adaptation of 'digital'. While 'Humaniora nomerika' borro","The term ""Digital Humanities"" often encompasses a blend of digital technologies with traditional humanities disciplines. ""Humaniora"" directly refers to the humanities, aligning with scholarly usage in many languages, and ""nomerika"" refers to the digital aspect. This translation is straightforward an","My translation 'Fahaizana Olombelona Nomerika' aims for a balance between directness and capturing the essence of 'Digital Humanities' in Malagasy. Let's break down the components and compare with the suggestions:

*   **'Digital'**: 'Nomerika' is the most widely accepted and understood translation ","I adjusted the translation to better reflect the nuances of Malagasy language and Digital Humanities. In Malagasy, 'siansa' refers to 'arts' or 'humanities', 'momba' is a preposition indicating 'about' or 'concerning', 'ny' is a definite article, 'fianarana' means 'studies' or 'education', and 'nome","{'Google Translate': 'Siansa momba ny maha-olona nomerika', 'EasyNMT': 'Maha-olombelona nomerika', 'Lingvanex': 'Digital Humanities', 'OpenAI': 'Siansa Niomerika sy Fampianarana Kolontsaina', 'Claude': 'Maha-olombelona Nomerika', 'Gemini': 'Fahaiza-manao nomerika momba ny maha-olona', 'First Ollama': 'Siansa momba ny fianarana nomerika', 'Second Ollama': 'Tehniko Fitenyantsika'}"
